,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,31-10-2020,7.274721709794138,5841631567.557734,2561569120.8427234,30897.564769230772,29493.73029045643,281042
1,30-10-2020,7.279841109742828,5855224686.123551,2049859918.4061432,30876.5,28118.726141078838,218974
2,29-10-2020,7.8745481122393794,6303824076.757217,2300212283.0266376,30795.31033333333,28045.725571725572,218974
3,28-10-2020,8.199980625798116,6587833639.092791,1925306104.357522,30740.076923076922,28042.725571725572,218974
4,27-10-2020,8.307304988056517,6667377341.361323,1917678755.4337847,1428.3906923076925,27971.719334719335,218974
5,26-10-2020,8.675937693137488,6969732309.370625,1588557526.5392506,30682.01215384615,27083.71278825996,218974
6,26-08-2020,16.62876312352179,13356554859.23871,9738475625.86529,26358.984666666667,10857.654411764706,193719
7,25-08-2020,18.5594417734812,14777698836.109196,8290907160.961358,26193.78066666667,10837.654411764706,193719
8,24-08-2020,18.15548590387299,14612379938.290167,8468646081.462558,26092.25,10636.65601965602,193719
9,23-08-2020,16.6612594437082,13299811536.362305,9193459515.37815,1225.9038461538462,21912.65601965602,193719
10,22-08-2020,15.657357820245677,12556486186.513283,9615605762.295761,25798.265333333333,21915.65601965602,193719
11,21-08-2020,18.48227607183832,14799773727.584501,10538240737.435093,25639.14776923077,21719.65601965602,193719
12,20-08-2020,17.444918937036036,13979148615.509398,9711274092.057209,25456.384615384617,21505.65763546798,193719
13,19-08-2020,16.422856495693107,13189012920.418354,9076113481.797892,25170.65992307692,20406.659259259257,193719
14,18-08-2020,17.43839887093079,13914303423.383959,9424720387.409788,24861.552666666666,20359.68733850129,193719
15,17-08-2020,18.68937651234664,15008714508.233614,9125924855.661858,24612.30366666667,20173.68733850129,193719
16,16-08-2020,18.771915362728194,15072627803.122345,10077388432.34094,1178.2115384615386,24218.68733850129,193719
17,15-08-2020,18.77082867854725,15154453213.395823,11482204150.909056,24403.763636363637,24219.684754521964,217668
18,14-08-2020,19.201555727666115,15735887392.858402,16317849788.512571,24250.90133333333,24228.68831168831,217668
19,13-08-2020,15.834990983588762,12642565699.62518,4838760866.128157,23950.205461538462,23768.68831168831,217668
20,12-08-2020,12.864766827482034,10355627274.55214,6262982656.32344,23607.643666666667,23412.695538057742,217668
21,11-08-2020,13.737859425026299,11067285563.098234,5704537732.6428,23474.659,22351.68947368421,217668
22,11-06-2020,7.27720300175965,5840712673.345504,1871332683.0304601,19380.811333333335,16468.629080118695,281799
23,10-06-2020,7.166216691129805,5757238407.411466,1585295246.3219545,19342.55769230769,16432.617910447763,281799
24,09-06-2020,6.962230701083269,5589413281.897546,1752122406.3035421,19318.27630769231,15755.618618618619,281799
25,08-06-2020,6.901755687530654,5532266274.107766,1367650781.5279443,19270.546000000002,15684.612612612613,281799
26,08-04-2020,5.509325856894585,3852418376.7417836,2566962842.6493917,17351.856333333333,2580.515873015873,317295
27,07-04-2020,5.636635584856094,3950340806.195978,2509414155.4141855,838.682,2573.5119047619046,317295
28,06-04-2020,5.195989925532845,3636481133.454278,2846770245.5877695,17235.15992307692,2848.5119047619046,317295
29,05-04-2020,5.288116441924412,3645658468.0113163,2629161323.416034,840.75,2563.5119047619046,317295
30,04-04-2020,4.816599214465874,3374573232.2147117,2238726330.4474397,17220.727,2848.5119047619046,317295
31,03-04-2020,4.745834976351085,3301896900.9239397,2180361232.319069,17191.39069230769,2566.5139442231075,317295
32,02-04-2020,4.708617766705566,3278807412.314554,1959966048.9338915,17163.782384615384,2555.516,317295
33,01-04-2020,4.666294089247277,3246861969.7006273,1879547254.5378056,17150.795538461538,2535.516,317295
34,31-03-2020,4.646441413239545,3239750890.13728,1786462709.3327851,17156.856333333333,2260.516,316746
35,30-03-2020,4.333606165963138,3014657639.5885205,1577712330.9836743,17162.836363636365,2261.5180722891564,354014
36,29-03-2020,4.5041801437276066,3128869608.613164,1708415638.6179512,935.090909090909,4025.5180722891564,354014
37,28-03-2020,4.72081408296796,3252799040.20315,1987659896.322217,17154.39069230769,4028.5180722891564,354014
38,27-03-2020,4.790264203089187,3315951441.1005363,1908562770.3018239,17105.084,4031.5180722891564,354014
39,26-03-2020,4.667699320635283,3228102913.8114104,1627388696.9417214,17056.173076923078,4036.5204918032787,354014
40,25-03-2020,4.8200433580506,3339232756.024068,1807359965.00849,17038.71153846154,3975.5163934426228,354014
41,24-03-2020,4.789765586163163,3309043381.668102,2243117735.6494455,17060.01923076923,3949.5163934426228,354014
42,23-01-2020,7.3713694406919315,4111056687.539046,1628708808.7070777,14792.763153846154,8269.524590163935,452232
43,22-01-2020,7.473546071394665,4167606991.4637003,1813008660.9687886,14760.097666666667,7240.527472527472,452232
44,21-01-2020,7.095305409893433,3937069234.961872,1701117032.343616,14680.424333333334,7185.0,452232
45,20-01-2020,7.176724764453323,3985371566.6613846,1689823857.4921713,14678.153846153846,7179.0,452232
46,19-01-2020,7.762036391332323,4292940574.8865733,1962655384.4154632,14674.273,7512.0,452232
47,18-01-2020,7.80600572199568,4303508859.56536,2040492425.3223007,14659.698384615385,7513.0,452232
48,17-01-2020,7.185469327695764,3950307959.717698,1777815590.5518892,14636.384615384615,7458.0,452232
49,16-01-2020,7.414013035785639,4060061174.8030186,2269894812.416266,14623.265333333335,7407.0,452232
50,15-01-2020,6.881606822305403,3760710632.9655604,1843051216.3190322,14601.530666666666,4578.0,440890
51,14-01-2020,6.78625673481274,3713072828.0164604,1403151170.2033484,14581.012153846155,4573.0,440890
52,13-01-2020,6.792549698892488,3712129404.0707793,1446740981.7140443,14577.76923076923,4390.0,440890
53,12-01-2020,6.77310687461846,3699064425.393068,1505508095.9343371,14565.5,4392.0,440890
54,11-01-2020,6.787409514261363,3684444753.652311,1450035727.2278044,14538.461538461539,5609.0,440890
55,11-11-2019,8.157956079068683,3760830529.1401176,3675573169.793393,13584.843,20621.0,351418
56,10-11-2019,7.918925815887335,3635038301.7734575,3480875899.687999,676.9291538461538,20621.0,351418
57,09-11-2019,7.868073823859137,3607788018.648,3810614183.2331767,13559.018333333333,29065.0,351418
58,08-11-2019,8.246706348487999,3771076708.400047,3851328003.5868907,13543.577705882353,28565.0,351418
59,07-11-2019,8.673292046904225,3948282113.333459,4337386707.59915,677.491,28436.0,351418
