,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,2021-06-11,1017711.9620581656,19074718391205.293,1184534816207.2556,3084454.493923077,21035.90684713376,4989
1,2021-06-10,1043784.7514461495,19603258020934.883,1515116769210.892,5795427.530666667,21031.90684713376,4989
2,2021-06-09,926294.8088807252,17365641740881.24,1289841524544.1658,5770829.813769232,20577.90712123626,4989
3,2021-06-08,924515.9875047028,17315704622165.57,921590418818.842,5749656.519230769,19503.906802612717,4989
4,2021-06-07,987275.6062443088,18490332371958.23,762867437884.6273,5729381.114,19484.907236212945,4989
5,2021-06-06,979379.893207308,18264393499757.184,938636077519.1927,5713474.992333333,19400.906902598435,4989
6,2021-06-05,1017724.540403372,19058818571608.125,1084035140946.8691,5692123.106333333,29417.906872907035,4989
7,2021-06-04,1082592.6194563515,20272717081941.824,923469371130.2692,5673194.763153845,29416.90684319668,4989
8,2021-06-03,1042763.8165549738,19494381999145.51,864429936688.1931,3129519.0613333336,27992.90666879388,4989
9,2021-06-02,1012645.019561335,19014014253486.266,925870139089.4108,3121146.5373333334,25104.906768837805,4989
10,2021-06-01,1027312.996555992,19234630871576.0,1044098540266.7424,3115282.265333333,25004.906768837805,4989
11,2021-05-31,986977.1363629424,18478537310847.55,847020309515.1349,3109675.570846154,24474.906869009585,4958
12,2021-05-30,961009.3195913216,18079917103936.27,1193390532112.297,3105348.7054615384,24471.906999041228,4866
13,2021-05-29,986851.9555810036,18474595918367.65,1381517591521.9397,3100320.674333333,25793.906984177724,4866
14,2021-05-28,1074349.7822018266,20104668350940.09,1135345190563.326,3094428.356333333,25797.90682435672,4866
15,2021-05-27,1090823.3074044515,20419407287010.48,1301737347119.0557,3088548.7955384613,21627.906779661014,4866
16,2021-05-26,1063582.4789096382,19908661186392.707,1356235155469.85,3082876.25,21043.906894896816,4866
17,2021-05-25,1082664.5884232689,20260660308376.527,1993814821162.4111,3077637.076923077,21037.906545047208,4866
18,2021-05-24,978085.6341284493,18303601131389.56,2358925493596.9727,3069719.563769231,20024.906615409254,4866
19,2021-05-23,1049229.4195722712,19634964589049.61,1710826099673.0278,3062703.686230769,20815.906420545747,4866
20,2021-05-22,1044176.7326967068,19540410122666.367,2480601503079.87,3054556.932,20812.906566061967,4866
21,2021-05-21,1130893.7316286447,21245575886215.145,2656849273587.2983,3048673.296,20816.90669664365,4866
22,2021-05-20,1040538.2530243886,19472320705622.508,3938959153619.686,3043183.9693333334,20575.90672660138,4866
23,2021-05-19,1205713.1943278604,22399655565872.59,1819776152958.208,3032526.269230769,15901.906536052677,4866
24,2021-05-18,1227955.8402026708,22978345919799.56,2357554433080.4136,3023994.492333333,15901.906536052677,4866
25,2021-05-17,1303170.5841233528,24384813291104.777,1975984217737.1152,3015628.4626666666,11208.906576620037,4866
26,2021-05-16,1308616.2144397297,24485623986295.16,1759433284804.277,2999705.853230769,19916.90656159537,4866
27,2021-05-15,1396238.6839057216,26181965556461.176,1589448415747.3972,2991562.8256666665,19923.906471345785,5071
28,2021-05-14,1396839.5769753056,26134135144430.062,2912697662246.191,2987129.2576666665,19889.906441223837,5071
29,2021-05-13,1401683.488755507,26223350695510.76,2117011244109.812,2976750.320846154,19824.905797101448,5071
30,2021-05-12,1590139.998935626,29747385016088.33,1891742344055.5596,2964344.9396666666,19812.905751570805,5071
31,2021-05-11,1551103.5148446304,29015435599601.37,2127445064639.188,2957925.2576666665,19558.90664301838,5071
32,2021-05-10,1616472.720753359,30236455235072.05,1885608182999.9517,2950416.9166666665,18920.90627520568,5071
33,2021-05-09,1629133.0516805258,30471374651353.78,1852006559292.6436,2942808.711538461,18933.90671400904,5071
34,2021-05-08,1590039.7492523503,29738473679272.99,1889223958931.0725,2935604.769230769,20605.9072997416,5071
35,2021-05-07,1580069.9129498736,29550270003249.426,2446976977887.923,2928845.659923077,20396.907269789983,5071
36,2021-05-06,1601953.5716341534,29872540530408.0,2012713365807.7607,2922777.318,20393.90710823909,5071
37,2021-05-05,1492137.1084561257,27902720709780.86,1989821384219.0684,2917045.8256666665,20398.90709322992,5071
38,2021-05-04,1597467.1638225974,29870559256169.598,1511790030958.7285,2910774.090076923,18912.906416680136,5071
39,2021-05-03,1576981.6082237116,29473295687119.195,1088622999938.7988,2904177.390692308,18728.90637128073,5071
40,2021-05-02,1610756.0402423963,30115429433126.188,1224988522081.7026,2898086.560333333,18484.906340989968,5071
41,2021-05-01,1611189.0819176268,30166251406507.56,1501151039416.64,2893508.096153846,19456.90598705501,5071
42,2021-04-30,1494120.6777102868,27932118410021.69,1309053875783.8057,2890293.5263076923,19456.90598705501,4955
43,2021-04-29,1526470.1694906482,28535728022016.48,1338826359744.821,2886300.545,19215.90581000162,4955
44,2021-04-28,1535255.9875948117,28689035706431.95,1353140411590.7827,2880850.227,18719.906088082906,4955
45,2021-04-27,1502176.1255967163,28062478998098.777,1676055087357.688,2876733.5076666665,18728.906088082906,4955
46,2021-04-26,1373782.4377740943,25677976130055.543,1296709025396.1277,2871280.3775384617,18646.905926165804,4955
47,2021-04-25,1406093.2897673424,26280647094407.965,1382621972196.6309,2865098.333,22527.90557175251,4955
48,2021-04-24,1435767.7125850946,26833996029516.02,2556171894514.6045,2862129.980769231,22527.9056726094,4955
49,2021-04-23,1460144.1271992717,27288359086131.28,2188785795815.882,2857200.8076923075,22190.90596627756,4955
50,2021-04-22,1517051.017008043,28350515905356.81,1570949792168.3298,2846952.083,22190.90580415045,4955
51,2021-04-21,1578554.7977437554,29587336977610.08,1911458416085.0945,2840107.6206666664,22176.905773597144,4955
52,2021-04-20,1570523.4093828113,29356270553506.816,1864641145454.4883,2835206.319846154,21776.90572773,4955
53,2021-04-19,1591288.428473194,29785784423143.57,2885404520479.873,2827989.173076923,14535.90571243103,4955
54,2021-04-18,1703731.252423935,31816557928587.56,1803634828244.3445,2819450.591,14811.905550146055,4955
55,2021-04-17,1738313.4182796157,32495249516439.15,2438287320979.853,2809958.697333333,14822.905798278382,4955
56,2021-04-16,1787482.122044625,33371331371813.88,1711535201876.4316,2801803.063636364,14372.905721716515,4955
57,2021-04-15,1782403.4130248814,33300286484861.246,2274779428727.005,2795341.0454545454,14344.905721716515,5018
58,2021-04-14,1807020.790111904,33758693734080.566,2046238852141.8584,2790996.153846154,13332.906901041666,5018
59,2021-04-13,1701958.3240715044,31775618242770.848,1590699084355.5938,2784468.978,12533.906692721055,5018
60,2021-04-12,1710558.4776204987,31954100870286.92,1334288195326.8074,2779470.4463333334,12500.90684039088,5018
61,2021-04-11,1706713.7425300442,31762085735831.348,1758183280557.4763,2776439.477,12416.906662322854,5018
62,2021-04-10,1654813.2068661617,30897590072321.57,1305595470188.1614,2773097.7346666665,15264.906764466175,5018
63,2021-04-09,1650271.99763483,30764254728704.28,1384501015615.86,2769876.364,15239.906897113971,5018
64,2021-04-08,1592235.9650386637,29803222235999.555,1917953390181.016,2767040.5323846154,15122.907132364942,5018
65,2021-04-07,1651776.0271592378,30847784489613.027,1749511225474.6797,2763157.923076923,14894.907428571429,5018
66,2021-04-06,1667385.0470872484,31134346568697.53,1552736739728.3333,2759432.8486666665,14907.907337800294,5018
67,2021-04-05,1662170.2852881518,31038786147871.098,1317568020321.0596,2756069.9423076925,11166.90698054602,5018
68,2021-04-04,1628817.838162049,30460955213274.66,1486302926003.0496,2752587.1153846155,11167.90678659035,5018
69,2021-04-03,1685897.9945437806,31489509631258.42,1490786418237.5164,2749121.352230769,12058.907231675392,5018
70,2021-04-02,1675886.974125883,31284370453882.64,1548188308529.4404,2746222.923076923,12048.907216494845,5018
71,2021-04-01,1669789.954267881,31175175481395.94,1632272527221.4238,2742895.326923077,12055.907349811752,5018
72,2021-03-31,1669480.3548137064,31167767479707.816,1490745148151.95,2738714.265333333,11587.9074680642,5008
73,2021-03-30,1644497.4780743923,30699858799610.203,1637424461303.2495,2733855.204,11435.907616707616,5036
74,2021-03-29,1594213.794684559,29732215855256.992,1410778380244.3044,2730755.3036666666,11261.907823519765,5036
75,2021-03-28,1597214.734587285,29814078219723.496,1352717613623.1174,2729334.897769231,12921.90780839895,5036
76,2021-03-27,1574348.4153742928,29385704369666.777,1586061888219.103,2726905.948384616,12922.9081063341,5036
77,2021-03-26,1470950.3378613614,27439896391520.645,1813813151989.4248,2724951.813769231,12909.9081063341,5036
78,2021-03-25,1495818.1379842774,27987319871168.453,2079662969720.78,2721433.5445384616,0.0,5036
79,2021-03-24,1556563.985356479,29010801576849.145,1721916580561.682,2715626.5,12754.908091252257,5036
80,2021-03-23,1539958.0825049418,28909882671647.3,1756111887812.15,2710297.546,12672.908045977012,5036
81,2021-03-22,1634944.6411168948,30509047970025.93,1580722012342.445,2704936.083333333,12658.908314163657,5036
82,2021-03-21,1657947.114361285,30957832943154.133,1549254802876.976,2700875.431,12651.908314163657,5036
83,2021-03-20,1654172.9528911004,30864644092499.24,1475391388861.356,2696790.022,13591.90808944426,5036
84,2021-03-19,1646270.841286527,30726808002595.09,1659475609142.765,2694412.8716666666,12768.907760605063,5036
85,2021-03-18,1663459.6692981047,31034802752427.168,1786167787964.0332,2690898.341,12786.907684712853,5036
86,2021-03-17,1605107.9921705583,29944803210778.37,1785576653769.5625,2686271.0516153844,12017.90763911755,5036
87,2021-03-16,1575741.5988130802,29631216918182.42,1993334220720.4043,2682772.569,11936.907352456314,5036
88,2021-03-15,1673918.1384579102,31312492162963.74,1354933337042.65,2678478.9626666666,11914.907502061003,5495
89,2021-03-14,1726678.8944252688,32249390712329.54,1896137560229.5813,2673827.102230769,11914.907502061003,5495
90,2021-03-13,1615124.8867537726,30125651794207.367,1689218792321.4663,2668502.5576923075,11917.907486807388,5495
91,2021-03-12,1618839.5043887396,30193420777218.098,1809786204664.11,2662764.8936666665,11925.906992084432,5495
92,2021-03-11,1580567.6985896465,29478259319968.8,1793303637283.2417,2658381.4554615384,11645.90666226913,5495
93,2021-03-10,1546218.0993353983,28803475300101.63,1623047463846.262,2654416.319846154,11302.906781059231,5495
94,2021-03-09,1480792.9092556706,27567770125491.664,1515894051611.857,2650416.840076923,10767.906765676567,5495
95,2021-03-08,1433943.5009509774,26688598774158.105,1289558262844.3794,2645460.410923077,10575.90491911522,5495
96,2021-03-07,1369723.706892184,25609436840992.145,1159020992709.0315,2641095.819846154,11006.905367464906,5495
97,2021-03-06,1371748.0373495,25466216091740.625,1580654477782.5923,2637342.256076923,11009.905367464906,5495
98,2021-03-05,1355987.5120158931,25282217663097.324,1690539530304.913,2634736.6216666666,10986.905367464906,5495
99,2021-03-04,1402295.4125524631,26144500843784.062,1641701582801.5293,2630796.480769231,10863.905651024455,5495
100,2021-03-03,1346575.3934380296,25129744453021.99,1484398111667.456,2626681.679153846,10544.90569159497,5495
