,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,2019-10-21,250781.8948199723,4516963266666587.0,564527597614.6394,1239936.0486666667,115920.0,11740
1,2019-10-20,242882.35891056788,4369451127009324.0,510348787538.5816,1238846.976888889,116087.0,11740
2,2019-10-19,243111.8601997597,4376302966286361.0,576454126205.4913,1237951.1806470589,116090.0,11740
3,2019-10-18,247423.6530722576,4451998657605145.0,525301521944.53046,1237329.761529412,115899.0,11740
4,2019-10-17,245748.0605739053,4422497334467755.0,573700259443.1892,1236584.2777777778,115651.0,11740
5,2019-10-16,249666.3400302176,4492998063967961.5,545987809009.9141,1235734971.0,115559.0,11740
6,2019-10-15,255504.0385184149,4597118087436803.0,532108456632.3902,1234981.216263158,115344.0,11492
7,2019-10-14,253998.47653774248,4574573909862521.0,521086759004.51447,1234107161.0,114883.0,11492
8,2019-10-13,254563.24197119268,4579322122335541.0,551797540145.4623,1233517.2047894737,115653.0,11492
9,2019-10-12,253624.9956288949,4555541613177.66,690056498649243.0,1233006.3306315788,115656.0,11492
10,2019-10-11,261906.88469686607,4710260658432717.0,651835299460.9836,1232550775.0,115569.0,11492
11,2019-10-10,262994.6326280559,4729557043001883.0,663314176198.0927,1232167415.0,115150.0,11492
12,2019-10-09,251597.3356840326,4524103781535824.0,595093322316.7365,1231442.0093333332,115091.0,11492
13,2019-10-08,252021.5313185857,4531233723419077.0,668447488426107.0,1230426.2025555554,114936.0,11492
14,2019-10-07,243515.4190336261,4377794681343.1743,520354836435.5153,1229744.7094444444,117352.0,11492
15,2019-10-06,251452.0903390516,4520036644035032.0,517448928982.2506,1228836.9282222225,117363.0,11492
16,2019-10-05,251954.8890181472,4528583508820817.0,523007057508.9669,1228268.1735555555,117363.0,11492
17,2019-10-04,252567.5960468693,4539564603498965.0,536978023658.0136,1227696.143882353,117350.0,11492
18,2019-10-03,259155.3197281879,4658318925076.03,548599040550.1285,1226620.5661764706,117249.0,11492
19,2019-10-02,259813.3286214369,4668868119086812.0,553781829911.8962,1225941.3980588235,0.0,11492
20,2019-10-01,256805.84741460465,4616795274144705.0,673161737513.2742,1225444.6806470589,112436.0,11492
21,2019-09-30,250381.7395012841,4498403557430805.0,517679290245.68207,1224726.2867647058,10391.0,11154
22,2019-09-29,255381.45193563,4580315520558906.0,556916331229.2703,1223796.3791764707,10378.0,11154
23,2019-09-28,254088.94340960903,4565282135373502.0,613385865849.7772,1223192.7909411765,10379.0,11154
24,2019-09-27,250625.2341834138,4501106900819.83,700241176382.4169,1222618.1076666669,0.0,11154
25,2019-09-26,261773.86952859585,4709962368232382.0,774845990180.0471,1222112.9301578947,10089.0,11154
26,2019-09-25,269974.2997675408,4905631988086015.0,861240130023.3451,1221363.4675555555,9914.0,11154
27,2019-09-24,300549.5389771874,5391199901934954.0,551469358490.4972,1219883.8982222222,9875.0,11154
28,2019-09-23,311300.47266255604,5588477603355693.0,504343097630.7986,1218782.0166666668,9884.0,11154
29,2019-09-22,309923.3436802068,5565971351125978.0,495204519221.5287,1217672.5202173914,10498.0,11154
30,2019-09-21,315542.050872856,5661440023096756.0,535732814380.51776,1216666.551565217,10506.0,11154
31,2019-09-20,317838.04328149365,5697370759163706.0,729481163265403.0,1216046395.0,10337.0,11154
32,2019-09-19,314568.93013054924,5645069711271229.0,583639132902.0083,1215341907.0,10287.0,11154
33,2019-09-18,314978.363492787,5652704748888267.0,533422096213.5979,1214444.0,10062.0,11154
34,2019-09-17,317396.9043822055,5694136013070058.0,543417264620.0252,1213697.6981739132,9868.0,11154
35,2019-09-16,318754.90968343307,5717749536331799.0,426273291087.5541,1212783.4523809524,9398.0,11154
36,2019-09-15,320111.6420681088,5744008011336348.0,511263538450.22784,1211848.5904761904,10842.0,11589
37,2019-09-14,320299.53997431824,5746519283344156.0,515004118154345.0,1211018.4785714287,10810.0,11589
38,2019-09-13,321662.8675656835,5767212119880221.0,556245462572.3395,1210427.238095238,0.0,11589
39,2019-09-12,315147.8151143952,5650730165900933.0,620620307022.9286,1209528.8543333332,10675.0,11589
40,2019-09-11,315667.5251185239,5652359103066656.0,543494288645391.0,1208568.3273333332,10704.0,11589
41,2019-09-10,321951.55475225113,5772963877388785.0,655400049077.4451,1207792.335695652,9125.0,11589
42,2019-09-09,324573.0905459517,5817668198477252.0,524219425710.2701,1206705.8613333332,8979.0,11589
43,2019-09-08,326345.6903959047,5848714268927869.0,582046495315.3037,1205693536.0,10607.0,11589
44,2019-09-07,322889.32720686647,5787039727355907.0,734799834604.3451,1204895.1813333333,10572.0,11589
45,2019-09-06,329644.7342651042,5905241141510626.0,591057170670.5863,1204193478.0,10524.0,11589
46,2019-09-05,329673.5647201901,5904048492092172.0,660938555679.6201,1203165512.0,10117.0,11589
