,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,18-10-2018,204513.47037689277,3542859763397.7393,86923285167.33752,1034340.1276923078,8848.86197116521,12935
1,17-10-2018,203831.34581652077,3531717638241.795,84374015867.8879,1033271.5630769231,8833.861905887916,12919
2,16-10-2018,205390.33424357907,3554594024027.72,191758558426.32382,1033107.663,8275.863130475966,13023
3,15-10-2018,195597.05965299855,3388165999902.1724,57088865768.99503,1031757.414,8238.862559241707,13110
4,14-10-2018,195174.51754465132,3380388427388.1978,57236160844.213875,1029570.0,8237.861782835467,13122
5,13-10-2018,194269.2371685317,3364088422631.2515,70950729918.64664,1028990.755,8629.861750059285,13142
6,12-10-2018,193004.55717733686,3348303487836.491,110867098161.19734,1028436.3553846154,8629.861717267551,13167
7,11-10-2018,204523.01425790365,3545548498981.4287,64329503126.0176,1027414.34,8650.861856159507,13171
8,10-10-2018,205353.98736672403,3554914362919.026,53906666509.69328,1026428.008,48930.86158594492,13205
9,09-10-2018,206032.56807120176,3569979051536.308,64463711760.54327,1025444.7856666666,48942.86216730038,13254
10,08-10-2018,203444.74373158507,3520986967172.672,46326174208.65388,1023876.315,48940.862036156046,13262
11,07-10-2018,203768.68078091953,3526109611767.7563,45286705003.615685,1022957.9990000001,48926.86241371102,13307
12,06-10-2018,204760.2810792239,3543009660652.8247,56930176681.59415,1022375.9473333334,48926.86303001429,13318
13,05-10-2018,202782.7203284202,3509208104356.0376,63479344765.97785,1022052.0505652174,48936.864439140816,13379
14,04-10-2018,199826.32110827632,3460197151214.687,69116073665.87605,1021069.157,48929.864613180514,13503
15,03-10-2018,200024.85252273295,3458559746545.6206,62414679383.77633,1019727.3640000001,48932.86481967996,13539
16,02-10-2018,201192.07116867547,3482613692084.453,57738875253.9044,1018641.829,48940.865136298424,13550
17,01-10-2018,201841.73211902851,3491469231519.3413,58150578884.55593,1017895.649,48943.86483253588,13588
18,30-09-2018,201230.91691924908,3480700129724.4927,69887547261.00615,1017019.669,48943.865039483135,13625
19,29-09-2018,202104.9234298373,3496022237335.437,95658879376.51085,1015891.775,48944.86521426862,13637
20,28-09-2018,204735.59977447803,3539315250191.274,143222338091.35654,1015323.8236666666,48957.86538922156,13671
21,27-09-2018,197820.12521958112,3420893516030.092,115956307889.23154,1014630.4892727273,48949.86618705036,13756
22,26-09-2018,197143.8053008055,3408327972263.772,140200136856.1742,1013106.886090909,48954.86657067435,13814
23,25-09-2018,202436.71159750165,3499411745552.629,141987020149.43918,1012272.3559130435,48956.866026410564,13783
24,24-09-2018,205558.00665249917,3553122705277.6875,132406650940.40385,1011024.2826086957,48978.866410379625,13802
25,23-09-2018,206732.62146545004,3572917359423.2417,158090849982.80142,1009714.5829130434,48989.86679490262,13854
26,22-09-2018,206941.0474971467,3576081129188.677,181742919325.5284,1009638.2461818182,49012.867420596725,13910
27,21-09-2018,199468.85446854477,3446612362919.262,155443505003.18323,1009616.6552727273,49016.867388688326,13997
28,20-09-2018,195821.18306350347,3383200034112.77,165061092158.19916,1008535.454,49012.867774566475,14019
29,19-09-2018,195059.2748310044,3369158858869.55,137458838163.6826,1007706.2947391304,49019.86791998072,13993
30,18-09-2018,192596.71976223373,3326779779746.486,141777122042.61426,1007410.3670434783,49021.86761514348,14023
31,17-09-2018,200210.53237697334,3457963638791.83,145102700637.16727,942238.5773333332,49014.867583212734,14060
32,16-09-2018,200948.21979055757,3470965545578.1987,132195181669.02917,940707.614,49012.867310012065,14116
33,15-09-2018,200018.63059954092,3456757193043.576,164648764852.4426,941208.3397391303,49006.867519305015,14086
34,14-09-2018,199212.42364588295,3443570166643.93,153166951220.0987,943356.8301304348,49008.86772869901,14080
35,13-09-2018,194532.38668570336,3358639077776.606,154459968399.12173,941761.337,48976.86745533559,14111
36,12-09-2018,193120.45138521964,3335568003942.0054,153831868173.99524,941785.9226666668,48978.86766481526,14086
37,11-09-2018,194264.61464071402,3352016024428.7324,138723962543.37622,1011153.0526666667,48974.86760086978,14094
38,10-09-2018,192956.6836721387,3335309973262.004,128662024212.0347,1009609.07,48985.86756887385,14072
39,09-09-2018,190504.32643545824,3287523388799.55,118690156730.79729,1001284.4743333332,48988.867504835594,14031
40,08-09-2018,197180.68801133972,3402406826836.8374,136315930248.27269,1000926.8076666667,48991.8677146312,13980
41,07-09-2018,200046.28873438216,3448937245908.488,201888130232.33905,1000435.2266666668,48992.86740866199,14003
42,06-09-2018,207988.0592606373,3584797167212.2593,216324239498.14523,1000442.0576666668,48992.86665053243,14019
43,05-09-2018,226149.13701503194,3900885153069.3706,164223086925.63818,998635.2953333333,48988.86616650532,14076
44,04-09-2018,223192.72876423856,3848551196853.9155,138683394471.1204,996926.6556666667,48976.866069266165,14092
45,03-09-2018,224155.9622272815,3866027741488.0415,203747680060.04385,996547.0015217392,48984.86648897504,14121
46,02-09-2018,221292.26605359025,3816869171833.065,192036644167.10226,995576.9756666668,48982.86690909091,14131
47,01-09-2018,215656.92107100433,3718844503251.9497,182890970151.23157,994177.1496666668,48981.866634335594,14102
48,31-08-2018,215626.939582747,3717622591622.457,202234013814.1237,993810.6286666668,48961.86656962639,14054
49,30-08-2018,215800.0837067057,3720200127057.6865,183024502705.0324,993260.8333333333,0.0,14100
50,29-08-2018,216544.80588598276,3734424840222.623,191163451516.93884,928742.0055652175,48964.866715222146,14061
51,28-08-2018,212087.825513941,3637941843512.222,167076291603.76892,990286.6776666667,48950.866682855754,14107
52,27-08-2018,206389.74331562052,3540087585252.766,159971152258.63654,987275.967,48929.8666180758,14129
53,26-08-2018,206627.90606431713,3560551453344.398,161965851161.54102,987721.07,48909.86652078775,14165
54,25-08-2018,205043.33024853969,3533070645995.3677,212079814622.71622,989685.5366666667,48896.86669909998,14133
55,24-08-2018,201037.9350284998,3462942630149.605,187943845410.65768,989170.709,48912.86702386751,14194
56,23-08-2018,194422.5060663635,3348695311016.181,207393562299.66312,989056.179,48912.867202729045,14263
57,22-08-2018,198195.07815994084,3413722850543.936,173410100321.6561,989381.14,48910.866959064326,14347
58,21-08-2018,191799.821196808,3303075825745.299,171381650867.39285,988750.326,48916.86717036315,14348
59,20-08-2018,198958.92563136038,3425549258791.6475,158551717237.6985,988559.843,48917.86738176499,14353
60,19-08-2018,196091.0262460243,3376403820073.763,172583224701.49866,987536.86,48927.86734942697,14379
61,18-08-2018,201764.60204493176,3472535870382.7207,190687469083.15607,986216.2729999999,48932.86707317073,14372
62,17-08-2018,194089.7436765295,3340109261953.1694,184036828135.72656,984906.52,48941.867284703585,14347
63,16-08-2018,193303.891216707,3324308674919.817,204153101497.53027,984541.505,48949.8672523182,14404
64,15-08-2018,191199.15380593238,3290518317084.716,220969326581.82968,985471.075,48945.866943359375,14450
65,14-08-2018,193942.2724741172,3337385194825.9375,166092557476.63748,985730.76,0.0,14342
66,13-08-2018,194273.98132528612,3342733879315.513,169326113487.27374,984578.9138461538,48903.866748166256,14301
67,12-08-2018,190785.64738438406,3282350111646.4814,175526188284.1607,984113.4738461538,48908.866748166256,14338
68,11-08-2018,189597.98897650855,3261509541097.2876,206958860655.28445,984135.103,48902.866960136955,14271
69,10-08-2018,199902.79822263386,3438338124569.2134,178861814238.72925,983976.391,48906.86692759296,14265
70,09-08-2018,191466.43358331293,3292878018052.532,209042047715.21362,984514.804347826,5979.8670095518,14265
