,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,28-04-2021,1535255.9875948117,28689035706431.95,1353140411590.7827,2880850.227,18719.906088082902,4955
1,27-04-2021,1502176.1255967165,28062478998098.777,1676055087357.688,2876733.5076666665,18728.906088082902,4955
2,26-04-2021,1373782.4377740945,25677976130055.543,1296709025396.1277,2871280.3775384617,18646.905926165804,4955
3,25-04-2021,1406093.2897673424,26280647094407.965,1382621972196.6309,2865098.333,22527.90557175251,4955
4,24-04-2021,1435767.7125850946,26833996029516.02,2556171894514.6045,2862129.980769231,22527.9056726094,4955
5,23-04-2021,1460144.1271992717,27288359086131.28,2188785795815.882,2857200.8076923075,22190.90596627756,4955
6,22-04-2021,1517051.017008043,28350515905356.812,1570949792168.3298,2846952.083,22190.905804150454,4955
7,21-04-2021,1578554.7977437554,29587336977610.08,1911458416085.0942,2840107.6206666664,22176.905773597144,4955
8,19-02-2021,1442095.6938033907,26869703805222.3,1630352367935.9417,2547876.1963333334,10801.906005656298,5869
9,18-02-2021,1456529.381166766,27137372317619.418,1912816620158.1965,2538868.568,10668.905610121525,5869
10,17-02-2021,1380735.8351383752,25724040605316.645,1798645661512.1797,2528065.7883333336,10652.905443649077,5869
11,16-02-2021,1341876.1140791457,24999051364585.934,1710647890062.2688,2520691.341,10291.905333333334,5869
12,15-02-2021,1362478.7714731155,25381599321548.65,1618406752999.1746,2512885.076923077,10226.905739072407,6373
13,14-02-2021,1315769.1112948393,24510220688270.492,1550411588869.1091,2505725.8563333335,10775.90547762191,6373
14,13-02-2021,1329029.1235651216,24684068615811.543,1736251837602.8677,2497042.364,10732.905628862536,6373
15,12-02-2021,1338091.4369594746,24923541327905.895,1852195280286.1475,2487270.685230769,10432.905111927832,6373
16,11-02-2021,1257427.2582644264,23540463537516.65,1962606922304.7556,2479128.0323846154,10043.905263157894,6373
17,10-02-2021,1300669.2713063997,24219559014426.715,2201646470898.4717,2469871.795,9874.90528781794,6373
18,09-02-2021,1291791.4106309973,24057806515027.438,2426782124371.6304,2457877.1983846156,9803.905423501841,6373
19,08-02-2021,1086768.7741400765,20245653393609.387,1505689202470.549,2435826.160923077,9465.90532841823,6373
20,07-02-2021,1099375.7750247028,20500339427432.12,1597501643448.0437,2419370.409923077,11947.905584437363,6373
21,06-02-2021,1063786.0131269412,19768912512145.062,1327954294164.1174,2408937.2883333336,11947.90556860114,6373
22,05-02-2021,1027758.5946656379,19183088792495.617,1521260815175.5332,2397908.8783333334,11926.905688873972,6373
23,06-12-2020,540038.7417626879,10023767967311.19,658383618885.0602,1878794.181,23266.8985084862,8767
24,05-12-2020,527965.3239448854,9815122020864.266,744065475885.8135,1876602.4386666666,23266.89866255144,8767
25,04-12-2020,552056.9936906573,10244627395532.516,691451748162.4899,1875379.136,23209.898816669527,8767
26,03-12-2020,546563.4455142927,10144497389229.375,822989515677.945,1874020.7307692308,23119.898645172354,8767
27,02-12-2020,537051.6849050792,9956044902553.041,1099729125063.0798,1872283.6022307693,23117.89895350832,8767
28,01-12-2020,559479.2561925312,10383221658881.734,1031704562025.5741,1869910.083,22952.898918826155,8767
29,30-11-2020,518199.53536205454,9596702900200.4,682768210462.2067,1866807.3936666667,20326.899073120494,9440
30,29-11-2020,505318.52672734304,9377239863191.129,698739210860.1891,1864635.0637692309,21344.899175541053,9440
31,29-09-2020,310705.4390375551,5756446244353.334,578494112694.8936,1746515.4166666667,12816.90260991417,9099
32,28-09-2020,315065.88654204406,5831006294551.308,516264918664.8989,1745349.3706666667,14522.902909218366,9099
33,27-09-2020,314427.4719276446,5815094083641.001,494216988036.4114,1743440.2566666668,14529.902909218366,9099
34,26-09-2020,312636.3231490521,5783773854075.402,559589518784.3053,1741853.6436666667,14518.902892199825,9099
35,25-09-2020,314058.85635055904,5812490690069.273,625054791402.0072,1740388.7813846155,14526.902875175316,9099
36,24-09-2020,298471.0982214252,5521148222009.745,583349753667.4061,1738839.6346153845,14352.902999473776,9099
37,23-09-2020,305805.3822996736,5656548821970.404,577084380776.1678,1737553.8783333332,13529.902965432531,9099
38,22-09-2020,302558.2407701809,5613169856547.311,688527104003.8889,1735313.1743333333,12309.903106898368,9099
39,21-09-2020,316994.9508339489,5862983917088.712,585093538141.8046,1732637.364,12262.903424056189,9099
40,20-09-2020,321657.6324419714,5948935038798.668,532060633229.9083,1730501.743923077,12263.903248463565,9099
41,19-09-2020,317105.9020047114,5864688507542.226,600185020201.3479,1728484.5455384615,14032.903407095188,9099
42,18-09-2020,318711.33901464747,5896321374627.429,686117355698.227,1726297.8936666667,13870.903305203938,9099
43,17-09-2020,319750.93784808164,5912688216508.128,714083039382.2416,1724247.0603333332,13873.903322200738,9099
44,20-05-2020,292152.0445462752,5362191166052.705,1109841985465.4792,1505989.326923077,10563.908923643055,10779
45,19-05-2020,290680.397812125,5342856284232.924,1165390453386.8472,1504366.2423333332,10413.907935923402,10779
46,18-05-2020,289690.16932543495,5311234755482.793,1068395873247.558,1502540.1216666668,10380.908103130754,10779
47,17-05-2020,280968.27904263797,5163940444764.921,1023336242372.28,1501040.227,11253.908588278658,10779
48,16-05-2020,278990.2726260638,5124215416963.621,1344614523249.3853,1499704.9483846156,11240.908940092166,10779
49,15-05-2020,292807.4445112254,5362388483690.221,1556517162505.3994,1498099.9686153845,11249.908738938053,11039
50,14-05-2020,277499.2994594937,5099547183812.128,1322464926880.5813,1496067.3026666667,10944.909074142382,11039
