,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,28-05-2021,880.4234411728858,376987551411.34247,83055866079.61954,399806.137,84997.84236453203,23806
1,27-05-2021,938.0091199168611,398530319025.3653,88607724594.31555,397493.2246923077,84995.84236453203,23806
2,26-05-2021,762.1169391505535,325560980142.0886,63900366958.20669,394476.1896666667,77817.84236453203,23806
3,25-05-2021,734.045261625534,313427387166.6768,79444809886.52249,391123.7176153846,71822.84236453203,23806
4,24-05-2021,561.9314054830387,238854511629.50473,98365191229.6127,388363.3006153846,71774.84236453203,23806
5,23-05-2021,652.8008218889819,280101650823.9875,54920872051.861885,386282.205,79124.84236453203,23806
6,22-05-2021,710.705348134719,302544033067.5183,75784868585.34917,383414.8026666667,79126.84236453203,23806
7,21-05-2021,843.3426191490942,361284465355.8758,97334173244.9007,381036.10633333336,79126.84236453203,23806
8,20-05-2021,765.7280023525208,326590308705.48425,136775425676.62643,377368.4693333333,78729.84653465346,23806
9,19-05-2021,1193.0775852504314,504439719086.37103,77753362895.70454,373886.94838461536,70861.84653465346,23806
10,18-05-2021,1040.8507910411258,445300908357.33124,67847340139.96714,371396.7576666667,70862.84158415842,23806
11,17-05-2021,1132.3280711067173,481862740641.7371,64476669250.36881,367354.4846666667,43409.85,23806
12,16-05-2021,1156.0820331721347,493136710371.9027,71559607322.7423,363369.22369230766,53448.85,23806
13,15-05-2021,1301.9138958300007,555933244955.093,55916591048.61862,359210.6599230769,52504.85,24451
14,15-03-2021,815.5372520341347,336634703285.6967,40226407387.33107,228766.42433333333,50914.8612716763,31090
15,14-03-2021,840.0654162372193,347084986309.4882,53801406733.52972,227275.568,50915.8612716763,31090
16,13-03-2021,799.222170219034,327482662889.18616,44872677776.61639,225605.53238461536,55229.8612716763,31090
17,12-03-2021,843.0342994839443,346305599706.6097,46962812642.437355,224133.85633333333,41489.8612716763,31090
18,10-01-2021,495.4941585106596,200341361245.14166,52982024310.07291,27640.363,0.0,46948
19,09-01-2021,428.3735994794408,170832840964.46375,55992267043.15996,144637.05161538464,21564.87898089172,46948
20,08-01-2021,450.1333636013829,177171755050.6775,62624590889.09583,143981.15133333334,21462.87898089172,46948
21,07-01-2021,480.12267171930324,191173931827.67422,76485530913.32744,143242.31033333336,20380.87898089172,46948
22,06-01-2021,407.4951688006959,162657772949.38336,50359741259.44484,142234.64069230767,7953.87898089172,46948
23,05-01-2021,373.84762078309905,148970061278.28354,76786214359.61072,141379.73076923078,7963.87898089172,46948
24,04-01-2021,383.1351127456674,155781998599.0706,56204151554.745926,140699.85533333334,7638.87898089172,46948
