date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2020-10-05,0.337905,0.352161,0.179774,0.420000,0.505890,0.530505,0.605333,0.916971,0.992710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.413333,0.420000,0.434286,0.437778,0.440909,0.436154,0.436000,0.433000,1.000000
2020-10-06,0.346075,0.359692,0.164674,0.470000,0.497126,0.529963,0.598112,0.902852,0.991593,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.436667,0.424000,0.437143,0.437778,0.441818,0.439231,0.435333,0.435000,1.000000
2020-10-07,0.283972,0.300637,0.184076,0.430000,0.481858,0.522657,0.588865,0.889176,0.990001,1.000000,1.000000,1.000000,1.000000,0.999831,1.000000,0.440000,0.428000,0.428571,0.437778,0.440000,0.442308,0.438000,0.435667,1.000000
2020-10-08,0.316526,0.332320,0.212486,0.460000,0.477041,0.519921,0.580753,0.877748,0.989457,1.000000,1.000000,1.000000,1.000000,0.999994,1.000000,0.453333,0.440000,0.430000,0.438889,0.439091,0.442308,0.440000,0.437333,1.000000
2020-10-09,0.322207,0.336605,0.198638,0.480000,0.473471,0.515964,0.575192,0.864933,0.988788,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.456667,0.452000,0.440000,0.437778,0.443636,0.444615,0.446000,0.440667,1.000000
2020-10-10,0.360973,0.376571,0.216006,0.530000,0.477280,0.514299,0.570715,0.851460,0.988714,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.490000,0.474000,0.458571,0.446667,0.450909,0.449231,0.450667,0.445667,1.000000
2020-10-11,0.359446,0.372145,0.203359,0.550000,0.479488,0.510870,0.568365,0.842145,0.989743,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.520000,0.490000,0.477143,0.462222,0.456364,0.458462,0.457333,0.450333,1.000000
2020-10-12,0.360173,0.372116,0.203350,0.520000,0.492070,0.509464,0.565768,0.831356,0.990001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.533333,0.508000,0.491429,0.475556,0.462727,0.463846,0.460667,0.454000,2.000000
2020-10-13,0.391734,0.406408,0.294187,0.560000,0.504488,0.513441,0.564421,0.819068,0.990964,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.543333,0.528000,0.504286,0.491111,0.476364,0.469231,0.469333,0.460000,2.000000
2020-10-14,0.391504,0.403643,0.239290,0.530000,0.515930,0.517559,0.564778,0.806176,0.991068,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.536667,0.538000,0.518571,0.503333,0.488182,0.475385,0.474667,0.464667,2.000000
2020-10-15,0.364820,0.372523,0.233352,0.560000,0.516565,0.519883,0.563736,0.795541,0.990965,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.550000,0.544000,0.532857,0.513333,0.500909,0.486923,0.479333,0.467667,2.000000
2020-10-16,0.335620,0.349376,0.115540,0.520000,0.512631,0.518980,0.562671,0.785066,0.990317,1.000000,1.000000,1.000000,0.999886,1.000000,1.000000,0.536667,0.538000,0.538571,0.523333,0.510000,0.496154,0.484000,0.470667,1.000000
2020-10-17,0.308760,0.327334,0.147997,0.560000,0.504142,0.521121,0.563225,0.775145,0.990055,1.000000,1.000000,1.000000,0.999105,1.000000,1.000000,0.546667,0.546000,0.542857,0.534444,0.518182,0.506923,0.494000,0.473333,1.000000
2020-10-18,0.334370,0.349675,0.075888,0.550000,0.494670,0.522663,0.563516,0.765220,0.989974,1.000000,1.000000,1.000000,0.998246,1.000000,1.000000,0.543333,0.544000,0.542857,0.542222,0.529091,0.516923,0.504000,0.475333,1.000000
2020-10-19,0.338311,0.351963,0.131502,0.550000,0.485887,0.524054,0.566339,0.755378,0.989397,1.000000,1.000000,1.000000,0.997329,1.000000,1.000000,0.553333,0.548000,0.547143,0.544444,0.537273,0.523077,0.512667,0.477667,1.000000
2020-10-20,0.315773,0.331043,0.131011,0.560000,0.477789,0.520149,0.566620,0.745749,0.988203,1.000000,1.000000,1.000000,0.995984,1.000000,1.000000,0.553333,0.548000,0.547143,0.545556,0.544545,0.533077,0.522000,0.479000,1.000000
2020-10-21,0.286589,0.303130,0.058787,0.610000,0.469693,0.513857,0.564145,0.735970,0.985532,1.000000,1.000000,1.000000,0.994985,1.000000,0.999849,0.573333,0.566000,0.558571,0.555556,0.551818,0.544615,0.531333,0.483333,1.000000
2020-10-22,0.310983,0.325607,0.036710,0.730000,0.470060,0.509608,0.561978,0.726372,0.983211,1.000000,1.000000,1.000000,0.993906,1.000000,0.999836,0.633333,0.600000,0.582857,0.574444,0.568182,0.563846,0.551333,0.494667,1.000000
2020-10-23,0.336604,0.350841,0.074567,0.740000,0.470429,0.504846,0.561542,0.719407,0.978506,1.000000,1.000000,1.000000,0.993451,1.000000,1.000000,0.693333,0.638000,0.614286,0.597778,0.588182,0.580000,0.570000,0.505000,1.000000
2020-10-24,0.323117,0.337783,0.068907,0.730000,0.467920,0.498939,0.559852,0.717192,0.974472,1.000000,1.000000,1.000000,0.992790,1.000000,1.000000,0.733333,0.674000,0.638571,0.616667,0.603636,0.593846,0.586667,0.516333,1.000000
2020-10-25,0.323821,0.339039,0.050119,0.760000,0.469249,0.495398,0.557728,0.713961,0.969092,0.998674,1.000000,1.000000,0.992301,1.000000,1.000000,0.743333,0.714000,0.668571,0.643333,0.624545,0.612308,0.602000,0.526333,1.000000
2020-10-26,0.313609,0.329127,0.049287,0.750000,0.473710,0.493497,0.554508,0.711909,0.964499,0.997247,1.000000,1.000000,0.991467,1.000000,1.000000,0.746667,0.742000,0.697143,0.664444,0.641818,0.626923,0.615333,0.536333,1.000000
2020-10-27,0.289569,0.305987,0.070530,0.610000,0.470175,0.491839,0.551238,0.707861,0.956244,0.995381,1.000000,1.000000,0.990350,1.000000,0.999950,0.706667,0.718000,0.704286,0.671111,0.650000,0.633077,0.621333,0.541000,1.000000
2020-10-28,0.282571,0.299900,0.071023,0.700000,0.461253,0.487365,0.548863,0.703914,0.944179,0.992526,1.000000,1.000000,0.988019,1.000000,0.999910,0.686667,0.710000,0.717143,0.687778,0.662727,0.643846,0.630667,0.550000,1.000000
2020-10-29,0.261349,0.278165,0.095221,0.670000,0.451054,0.480718,0.545758,0.700368,0.932230,0.990121,1.000000,1.000000,0.985774,1.000000,0.999617,0.660000,0.698000,0.708571,0.700000,0.673636,0.655385,0.640000,0.557333,1.000000
2020-10-30,0.222567,0.243833,0.079062,0.740000,0.434335,0.472668,0.541417,0.693246,0.919628,0.987580,0.999889,1.000000,0.982877,1.000000,0.999202,0.703333,0.694000,0.708571,0.714444,0.690909,0.669231,0.652000,0.565667,0.000000
2020-10-31,0.222233,0.242793,0.112091,0.730000,0.419248,0.467109,0.536756,0.686062,0.907110,0.985021,0.999839,1.000000,0.979781,1.000000,0.998889,0.713333,0.690000,0.708571,0.714444,0.706364,0.683077,0.666000,0.575000,0.000000
2020-11-01,0.209689,0.233115,0.054183,0.720000,0.406058,0.458360,0.533960,0.678782,0.895753,0.982748,0.999746,1.000000,0.976190,1.000000,0.998488,0.730000,0.712000,0.702857,0.712222,0.716364,0.696154,0.676667,0.585333,0.000000
2020-11-02,0.226315,0.247012,0.043805,0.710000,0.396769,0.448834,0.530565,0.671826,0.885790,0.981099,0.999921,1.000000,0.974056,1.000000,0.998186,0.720000,0.714000,0.697143,0.710000,0.714545,0.707692,0.687333,0.595667,0.000000
2020-11-03,0.204802,0.227417,0.042410,0.710000,0.387433,0.438615,0.526146,0.665793,0.874344,0.978985,1.000000,1.000000,0.972167,1.000000,0.997964,0.713333,0.722000,0.711429,0.704444,0.711818,0.715385,0.698000,0.605333,0.000000
2020-11-04,0.179541,0.202428,0.044865,0.740000,0.380328,0.426153,0.519318,0.658958,0.861336,0.976485,0.999705,1.000000,0.970019,0.999913,0.997694,0.720000,0.722000,0.717143,0.703333,0.712727,0.716154,0.710000,0.616000,0.000000
2020-11-05,0.193752,0.213846,0.052901,0.720000,0.375626,0.415800,0.513081,0.653768,0.851664,0.975080,0.999662,1.000000,0.968322,0.999982,0.997433,0.723333,0.720000,0.724286,0.715556,0.709091,0.714615,0.717333,0.624333,0.000000
2020-11-06,0.208158,0.229732,0.073641,0.900000,0.375373,0.408769,0.507360,0.648739,0.841134,0.973241,0.999727,1.000000,0.966974,1.000000,0.997345,0.786667,0.756000,0.747143,0.737778,0.722727,0.727692,0.728667,0.640000,0.000000
2020-11-07,0.263748,0.282427,0.112811,0.880000,0.381554,0.407143,0.502543,0.645012,0.829900,0.972290,1.000000,1.000000,0.966194,1.000000,0.997752,0.833333,0.790000,0.768571,0.761111,0.747273,0.736923,0.738000,0.654000,1.000000
2020-11-08,0.228028,0.248960,0.175144,0.820000,0.385389,0.404265,0.496390,0.641509,0.817622,0.970174,1.000000,1.000000,0.964460,1.000000,0.997919,0.866667,0.812000,0.782857,0.770000,0.758182,0.742308,0.744000,0.665333,0.000000
2020-11-09,0.246235,0.266053,0.080685,0.900000,0.396401,0.406309,0.491927,0.638180,0.807768,0.968497,1.000000,1.000000,0.962904,1.000000,0.998400,0.866667,0.844000,0.810000,0.788889,0.779091,0.764615,0.753333,0.677667,0.000000
2020-11-10,0.233913,0.254235,0.076530,0.900000,0.403032,0.407318,0.488099,0.635222,0.798316,0.966610,1.000000,1.000000,0.960926,1.000000,0.998798,0.873333,0.880000,0.837143,0.808889,0.793636,0.780000,0.763333,0.689333,0.000000
2020-11-11,0.283201,0.302456,0.136443,0.860000,0.415423,0.413668,0.487137,0.634976,0.790553,0.966057,1.000000,1.000000,0.959465,1.000000,0.999322,0.886667,0.872000,0.854286,0.825556,0.805455,0.794615,0.780000,0.700667,1.000000
2020-11-12,0.262969,0.281205,0.094586,0.870000,0.415294,0.416833,0.484450,0.633527,0.782017,0.965031,1.000000,1.000000,0.957949,1.000000,0.999677,0.876667,0.870000,0.875714,0.843333,0.819091,0.804615,0.791333,0.711000,1.000000
2020-11-13,0.242119,0.258286,0.081480,0.890000,0.417621,0.420057,0.480829,0.633045,0.773125,0.963276,1.000000,1.000000,0.956752,0.999912,0.999519,0.873333,0.884000,0.874286,0.860000,0.835455,0.816923,0.806000,0.723000,0.000000
2020-11-14,0.269193,0.283485,0.087584,0.900000,0.421412,0.427800,0.479076,0.632155,0.765225,0.961694,1.000000,1.000000,0.956377,1.000000,0.999345,0.886667,0.884000,0.877143,0.880000,0.852727,0.830769,0.816667,0.734333,1.000000
2020-11-15,0.241492,0.262756,0.067000,0.860000,0.422663,0.431924,0.477379,0.629633,0.757240,0.958951,1.000000,1.000000,0.956050,1.000000,0.999142,0.883333,0.876000,0.882857,0.875556,0.863636,0.842308,0.825333,0.745667,0.000000
2020-11-16,0.223707,0.244148,0.084484,0.900000,0.412840,0.433267,0.474094,0.626337,0.748678,0.955920,1.000000,1.000000,0.955529,1.000000,0.998900,0.886667,0.884000,0.882857,0.877778,0.880000,0.856923,0.837333,0.757000,0.000000
2020-11-17,0.249118,0.267199,0.092540,0.860000,0.410553,0.432003,0.470801,0.624083,0.742059,0.950980,1.000000,1.000000,0.955325,1.000000,0.998627,0.873333,0.882000,0.877143,0.882222,0.876364,0.866154,0.847333,0.767333,0.000000
2020-11-18,0.255602,0.274806,0.089986,0.910000,0.412779,0.434384,0.468260,0.621525,0.739287,0.946845,1.000000,1.000000,0.956956,1.000000,0.998350,0.890000,0.886000,0.884286,0.883333,0.879091,0.880769,0.860667,0.779333,0.000000
2020-11-19,0.244392,0.264257,0.112729,0.940000,0.408684,0.434225,0.465271,0.618434,0.735563,0.941473,1.000000,1.000000,0.958326,1.000000,0.998163,0.903333,0.894000,0.894286,0.887778,0.890000,0.883846,0.874000,0.792000,0.000000
2020-11-20,0.238721,0.258012,0.079931,0.860000,0.408226,0.434641,0.462452,0.614783,0.732787,0.936792,1.000000,1.000000,0.959707,1.000000,0.998000,0.903333,0.894000,0.890000,0.887778,0.886364,0.882308,0.883333,0.800333,0.000000
2020-11-21,0.277283,0.294982,0.078745,0.910000,0.417072,0.434129,0.461990,0.612527,0.729589,0.930023,1.000000,1.000000,0.961370,1.000000,0.998022,0.903333,0.896000,0.891429,0.892222,0.887273,0.889231,0.884000,0.806333,1.000000
2020-11-22,0.333771,0.345800,0.235981,0.940000,0.431050,0.440245,0.463917,0.612256,0.727533,0.921061,1.000000,1.000000,0.963709,1.000000,0.998244,0.903333,0.912000,0.902857,0.897778,0.894545,0.892308,0.888000,0.813000,1.000000
2020-11-23,0.302282,0.322847,0.180856,0.900000,0.438758,0.445441,0.465457,0.611311,0.725600,0.912054,1.000000,1.000000,0.965666,1.000000,0.998114,0.916667,0.910000,0.902857,0.897778,0.897273,0.892308,0.893333,0.818667,1.000000
2020-11-24,0.367706,0.373976,0.241511,0.880000,0.459119,0.453950,0.470920,0.611989,0.722777,0.903925,1.000000,1.000000,0.968085,1.000000,0.998270,0.906667,0.898000,0.905714,0.900000,0.896364,0.893846,0.892000,0.822667,1.000000
2020-11-25,0.407905,0.414317,0.403937,0.940000,0.487054,0.468324,0.477908,0.613395,0.720590,0.896410,1.000000,1.000000,0.970519,1.000000,0.998873,0.906667,0.914000,0.910000,0.904444,0.900000,0.899231,0.894667,0.829000,1.000000
2020-11-26,0.389431,0.399136,0.395390,0.930000,0.505571,0.482638,0.484673,0.615795,0.718232,0.889743,1.000000,1.000000,0.972823,1.000000,0.999275,0.916667,0.918000,0.908571,0.912222,0.906364,0.902308,0.899333,0.839667,1.000000
2020-11-27,0.306666,0.322176,0.379444,0.860000,0.501096,0.487608,0.487697,0.615571,0.714442,0.882854,1.000000,1.000000,0.974618,1.000000,0.999364,0.910000,0.902000,0.908571,0.906667,0.902727,0.899231,0.898667,0.845000,1.000000
2020-11-28,0.303578,0.318807,0.163805,0.870000,0.501310,0.491752,0.491415,0.615147,0.711644,0.875027,1.000000,1.000000,0.976487,1.000000,0.999459,0.886667,0.896000,0.902857,0.898889,0.903636,0.900000,0.897333,0.851667,1.000000
2020-11-29,0.328727,0.342690,0.146251,0.890000,0.494874,0.499036,0.497030,0.614413,0.709101,0.866629,1.000000,1.000000,0.978369,1.000000,0.999880,0.873333,0.898000,0.895714,0.902222,0.901818,0.899231,0.896667,0.856667,1.000000
2020-11-30,0.338527,0.348406,0.122949,0.880000,0.483418,0.507657,0.502479,0.613937,0.707700,0.860840,1.000000,1.000000,0.980306,1.000000,1.000000,0.880000,0.886000,0.892857,0.898889,0.896364,0.900769,0.898000,0.861667,1.000000
