,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,11-06-2021,353.6443515200782,84821051063.12794,12748836114.195953,30555.53846153846,39.47142857142857,42655
1,10-06-2021,388.8336241708238,92817077574.99309,16406112741.9301,30539.743923076923,39.47142857142857,42655
2,09-06-2021,374.6515016968862,89762545731.60896,17888272575.39788,187691.66363636366,39.47142857142857,42655
3,08-06-2021,369.7190870501021,89950290191.37941,14758783682.75705,30398.481818181815,39.47142857142857,42655
4,07-06-2021,416.57432775929243,99045617771.9939,13297479941.799274,186950.23784615382,39.47142857142857,42655
5,06-06-2021,410.9588014086881,97066601066.8356,17653523419.278564,186519.53846153847,39.47142857142857,42655
6,05-06-2021,414.8755323630368,99511803555.67747,19226007849.539234,186114.57566666664,39.47142857142857,42655
7,04-06-2021,459.19464656358974,110556081189.68422,20685766832.703495,185732.48784615382,39.47142857142857,42655
8,03-06-2021,412.3361210344655,98242092710.57542,15387725900.528193,185222.99292307696,39.47142857142857,42655
9,02-06-2021,379.0677247004055,90825728029.00505,14683663919.24761,29943.788333333334,39.47142857142857,42655
10,01-06-2021,382.9753256153586,91335886610.01021,14782796259.22529,184243.54599999997,39.47142857142857,42655
11,31-05-2021,346.14628844892053,82486845231.59215,14213429440.471668,183799.87833333336,39.47142857142857,43185
12,30-05-2021,337.9504028065443,81012422540.71904,16791445359.241236,183537.3137692308,39.47142857142857,40023
13,29-05-2021,352.48726418560557,84077428952.72456,17944243574.72127,183125.37833333336,39.47142857142857,40023
14,28-05-2021,402.684188255469,94762354858.10951,18117350613.631332,29495.167,39.47142857142857,40023
15,27-05-2021,419.18743871058905,99774442274.4015,20945583959.20147,181484.65992307695,39.47142857142857,40023
16,26-05-2021,386.6121178935175,92244203963.62177,21135152238.58781,181113.09766666667,39.47142857142857,40023
17,25-05-2021,401.1475264186642,95115634822.07977,23888930702.88653,180585.39776923077,39.47142857142857,40023
18,24-05-2021,331.96334749483384,77854200614.2403,26111095586.68798,180164.14776923077,0.0,40023
19,23-05-2021,344.9764189080529,82414147778.16396,19269348196.595562,179795.40133333334,39.47142857142857,40023
20,22-05-2021,372.01747024993244,89230251119.08652,25251787828.44233,179205.99233333336,39.47142857142857,40023
21,21-05-2021,457.25815369340484,109560333823.21175,32124897783.785503,28885.424333333332,39.47142857142857,40023
22,20-05-2021,393.0020930975172,95966925841.33638,37546661887.073586,177761.56033333336,39.47142857142857,40023
23,19-05-2021,643.4813342723555,151892609842.53992,28055135330.923416,28641.76923076923,39.47142857142857,40023
24,18-05-2021,588.9344816356808,141650721964.2211,32977108961.30196,176018.417,39.47142857142857,40023
25,17-05-2021,681.8382461137318,161155154202.916,35987707946.09861,174819.932,39.47142857142857,40023
26,16-05-2021,688.8123419376085,164414526461.61133,49657030337.80947,174005.4362307692,39.47142857142857,40023
27,15-05-2021,717.598393167876,171454614549.03555,28347188209.843697,172253.3076923077,39.47142857142857,41486
28,14-05-2021,653.2707433071134,155078689247.9266,33464907130.58476,170575.90133333334,39.47142857142857,41486
29,13-05-2021,651.1510282900393,161405443119.0272,31226611654.95712,27990.673333333332,39.47142857142857,41486
30,12-05-2021,754.5242767436165,179471824531.3963,31997526364.290527,167277.20400000003,39.47142857142857,41486
31,11-05-2021,705.8596091846986,168695008511.4596,32816566406.417133,27675.478,39.47142857142857,41486
32,10-05-2021,796.5931255573676,189912304649.78345,35775223186.45076,164165.67433333333,0.0,41486
33,09-05-2021,813.7367698948044,192243355158.74747,49182130442.87143,162963.03846153847,39.47142857142857,41486
34,08-05-2021,791.5011084323436,187907576313.19595,66350987221.52135,161664.5637692308,39.47142857142857,41486
35,07-05-2021,712.625387431234,169724128567.97253,45106885626.772766,160294.57084615383,39.47142857142857,41486
36,06-05-2021,690.0436993987793,163161391331.13123,33574401605.691864,158951.28833333333,0.0,41486
37,05-05-2021,588.1776194673387,141315666669.2179,29142385187.415535,157629.67333333334,39.47142857142857,41486
38,04-05-2021,643.461251103926,153754720846.3498,23999587440.084087,156403.49292307693,39.47142857142857,41486
39,03-05-2021,642.8849155527791,153235596388.80725,22848805795.348045,26441.007076923077,39.47142857142857,41486
40,02-05-2021,662.33933211958,158134439833.72913,25639582371.053543,153983.24233333333,39.47142857142857,41486
41,01-05-2021,634.6735022421067,151204951290.2022,24596536873.362514,152673.7753076923,39.47142857142857,41486
42,30-04-2021,614.7864540604411,146920219343.5507,24138940140.13797,26097.865384615387,39.47142857142857,44770
43,29-04-2021,639.6670086393214,152462133632.13315,29882784665.726864,139155.18866666665,39.47142857142857,44770
44,28-04-2021,641.1489423987553,153254236454.40186,26817405621.249535,137060.887,39.47142857142857,44770
45,27-04-2021,615.1851800922176,147328846144.1009,30787101738.089256,135987.21266666666,39.47142857142857,44770
46,26-04-2021,520.560766119561,123951322720.34904,21252868094.729366,134812.23076923078,39.47142857142857,44770
47,25-04-2021,516.7102647628685,123985152143.54279,23430039960.787674,134091.23684615383,39.47142857142857,44770
48,17-04-2021,721.7985234304658,172365262855.46292,39870850896.56337,24131.56133333333,39.47142857142857,44770
49,16-04-2021,784.6899075844346,186563975673.6848,50840700226.12367,126910.99090909092,39.47142857142857,44770
50,15-04-2021,754.95713711612,179912464732.0696,55684326103.95356,126068.58181818182,39.457142857142856,47588
51,14-04-2021,685.4555723420991,163310845183.91315,38121638844.42894,125200.25766666667,39.46376811594203,47588
52,13-04-2021,628.4138967566922,149927270877.12833,33435886922.315243,23564.044538461538,39.470588235294116,47588
53,12-04-2021,664.2442917490492,158128417412.789,26920491915.360485,23426.235666666667,39.470588235294116,47588
54,11-04-2021,600.2886333863297,143500543947.36438,26277038340.348473,123099.205,39.470588235294116,47588
55,10-04-2021,608.3707710580271,143947075810.31583,20125357457.085644,122642.08333333333,39.470588235294116,47588
56,09-04-2021,583.2197310600299,138932425679.77148,23543676246.39618,121965.35633333333,39.470588235294116,47588
57,08-04-2021,556.753127574939,133695515378.43817,37450897374.374756,121104.1993846154,39.470588235294116,47588
58,07-04-2021,617.1556923911666,147197810046.839,35579573321.91722,23025.432,39.470588235294116,47588
59,06-04-2021,607.7152734319932,144913741296.94073,28357096465.4619,119852.659,39.470588235294116,47588
60,05-04-2021,616.9133021285243,146444524157.7166,29414911661.626915,119152.114,39.470588235294116,47588
61,04-04-2021,574.6005812192923,137956478865.77335,39025726575.61768,118454.659,39.470588235294116,47588
62,03-04-2021,576.1132322677553,137762531344.6604,22393794867.50105,117564.99292307692,39.470588235294116,47588
63,02-04-2021,555.6302081123245,132158680030.8391,22875201134.99976,116773.417,39.470588235294116,47588
64,01-04-2021,540.9294291987178,129107420220.9882,25369073988.670597,22416.64069230769,39.470588235294116,47588
65,31-03-2021,564.7846922446784,134279105263.28014,20910423506.57854,115322.417,39.470588235294116,48084
66,30-03-2021,576.1571227497749,136486719103.34015,15839605288.190437,114543.87166666667,39.470588235294116,52553
67,29-03-2021,552.3183354403321,131529497044.40285,22839703021.73888,114545.93966666667,39.470588235294116,52553
68,28-03-2021,534.8700198516938,128054492615.82349,21630804759.740192,114914.82692307692,39.470588235294116,52553
69,27-03-2021,542.9606277599885,128605624877.03561,24701603367.446003,114061.09007692308,39.470588235294116,52553
70,26-03-2021,487.4697768748917,116346091004.19781,29573946705.65455,113328.59007692308,39.470588235294116,52553
71,25-03-2021,498.93072762334594,119682641997.78665,24763571214.61229,112620.89776923077,0.0,52553
72,24-03-2021,536.5202512551671,127650569475.1425,22843620339.79388,21909.833333333332,39.470588235294116,52553
73,23-03-2021,548.7451887810399,131272670764.7301,23876746985.371677,110894.59615384616,39.47761194029851,52553
74,22-03-2021,584.3293742666658,139445792274.62936,22504803583.261948,21727.49233333333,39.47761194029851,52553
75,21-03-2021,600.3664002880761,143359768954.28522,19854842761.94236,109456.33333333333,39.47761194029851,52553
76,20-03-2021,632.2970716751482,151120011196.73062,30462028223.99422,108259.65384615384,39.47761194029851,52553
77,19-03-2021,634.0893274450027,151815337244.95706,45315899490.56393,107187.387,39.47761194029851,52553
78,18-03-2021,592.4533457048127,141505317098.86734,30616195134.468105,21267.62166666667,39.47761194029851,52553
79,17-03-2021,595.5891633925032,142063579653.10477,34638441622.38155,105162.31376923076,39.47761194029851,52553
80,16-03-2021,566.633777020161,136430146902.49567,35027333559.0682,105230.08333333333,39.47761194029851,52553
81,15-03-2021,525.883634045853,125983936586.15497,19736601255.826843,104280.89366666667,39.47761194029851,61581
