,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,06-06-2021,72316.84571704279,8341095809097.114,956925085227.275,2336058.727,19375.96613190731,4018
1,05-06-2021,74237.99136304099,8623436817322.343,1101973860669.9922,2324630.8486666665,19375.966304154037,4018
2,04-06-2021,79035.63822806017,9234655147273.527,1053651094071.1176,2312984.8653846155,19377.966113786337,4018
3,03-06-2021,75183.65219575936,8724720234811.617,1083248860054.9441,2302921.814769231,18648.966274089937,4018
4,02-06-2021,72681.0670809017,8461390318562.574,1101501945460.009,991096.1293333333,18073.965012495537,4018
5,01-06-2021,74514.04891630706,8651480688638.817,1222789196603.9163,2285646.7813846157,18076.965012495537,4018
6,01-04-2021,54389.33619315266,6280282109711.4795,822031299942.989,1609017.173076923,8300.965175953079,6152
7,31-03-2021,52367.617183191694,6034965268390.957,810908063024.3107,1603840.5603333332,8301.964992668622,6102
8,30-03-2021,51829.62009160694,5962367893761.686,930117127439.1271,1598959.2193333332,7916.964770642202,6707
9,29-03-2021,48318.27568627657,5568289393459.888,568114197872.8308,1596991.6283333332,9722.964574155652,6707
10,28-03-2021,49028.27426103893,5662626056603.451,604139811573.2201,1594347.334,9722.964554637281,6707
11,27-03-2021,48642.905141788564,5593062034289.824,709583890435.1663,1589655.2883333333,9718.964731814842,6707
12,26-03-2021,45409.896348036295,5229906345094.354,753117060882.0541,1584956.1791538463,9285.964364437914,6707
13,25-03-2021,45059.08873405982,5211471391806.816,1094368326143.0768,1580628.3906923078,0.0,6707
14,24-03-2021,47732.43802215013,5484616916257.03,820100849990.3015,1575319.2796666666,7536.963208241354,6707
15,23-03-2021,47778.83319871684,5535726354512.264,888702015764.4862,1569525.3137692309,7536.963385464582,6707
16,22-03-2021,50842.26316816775,5850260692186.676,830023676294.73,1564025.0961538462,15499.962417096536,6707
17,21-03-2021,51629.22771103509,5948772258620.628,837703869682.9104,1558187.1743333333,15499.962587541468,6707
18,20-03-2021,51608.57499001849,5941191606593.572,776656006785.775,1550924.5,15387.962403243642,6707
19,18-01-2021,34454.19709914402,3982094970091.276,995161324827.6603,1132073.659,6336.965464895636,7694
20,17-01-2021,34566.35885626946,3957950672068.3813,1071680616855.0726,1129461.7883333333,5841.965464895636,7694
21,16-01-2021,32808.91647368218,3750583857025.1855,1105865580441.4688,1126378.417,6325.965451784358,7694
22,15-01-2021,34074.467134243496,3870727986169.224,961540320988.2725,1123715.659923077,6323.96528831563,7761
23,14-01-2021,31732.659915358177,3604416752609.5425,901684805586.839,1120572.7044615385,6307.965261958998,7761
24,13-01-2021,29266.163792375424,3340653205357.2915,1049696691544.3989,1117651.7193333332,6294.965261958998,7761
25,12-01-2021,30644.225119834347,3497276105075.707,1881637670642.4895,1114938.318,6127.965261958998,7761
26,11-01-2021,35527.47932403321,4057246527695.1206,1248248133445.1514,1111579.3653846155,5872.965255363584,7761
