,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,11-06-2021,625.4290251383899,630235937106.1685,39646575792.913536,26135.28846153846,0,17770
1,10-06-2021,644.7366724270685,647721326877.5616,40362017352.92912,490446.6093076923,0,17770
2,09-06-2021,603.5558691071607,604501893151.5122,46891486023.51897,488025.0090909091,0,17770
3,08-06-2021,591.3725982868384,597111306741.5109,35382799680.93541,25908.781818181815,0,17770
4,07-06-2021,665.2434168184477,665541685574.1958,23231130654.256516,25845.12146153846,0,17770
5,06-06-2021,656.1614680214038,652431082087.7477,39006408995.25543,484084.6923076923,0,17770
6,05-06-2021,691.5631168775764,691133118729.387,53788317996.7761,482480.57566666673,0,17770
7,04-06-2021,753.0868928470679,753229313162.9412,56957558615.36997,480704.76533333334,0,17770
8,03-06-2021,724.04875923347,722919691743.5804,59188594366.305046,478858.55266666674,0,17770
9,02-06-2021,632.2820049694021,632193751907.8549,42930052448.710686,476789.864,0,17770
10,01-06-2021,641.7999619681225,639503203350.5518,52726547273.037155,25564.37933333333,0,17770
11,31-05-2021,564.5311455406352,562224674698.6191,38326432634.745514,25487.19230769231,0,17703
12,30-05-2021,550.4399179944216,553719738509.0669,45313472738.64867,470876.17307692306,0,16321
13,29-05-2021,593.1648525201676,591177646100.4668,87428993113.5479,469181.569,0,16321
14,28-05-2021,667.5691550377353,668368333133.5338,54355328652.659386,467479.19733333326,0,16321
15,27-05-2021,682.7123815725755,678978421257.1315,63553704281.30499,465426.57692307694,0,16321
16,26-05-2021,612.2985453594185,610626101367.3915,72191212463.90811,463026.6538461539,0,16321
17,25-05-2021,646.3148475346818,643790479925.2888,92308091666.33238,25150.46153846154,0,16321
18,24-05-2021,504.89261051559265,498587610690.0925,118580022245.40521,25011.083333333332,0,16321
19,23-05-2021,614.8351630347413,611305747094.3518,84652393962.36182,454376.5603333333,0,16321
20,22-05-2021,667.9793805288724,667105784505.1615,126879631889.21893,451774.341,0,16321
21,21-05-2021,810.109402591868,799944711035.3407,136677243037.72922,448974.9243333333,0,16321
22,20-05-2021,712.924082743731,731211428085.1969,207627383284.59183,445429.5306666667,0,16321
23,19-05-2021,1141.1746358484418,1138830241011.5688,82951703391.20059,441771.9233333333,0,16321
24,18-05-2021,1078.9025154553347,1084775295766.6635,100730690088.19801,24254.115384615387,0,16321
25,17-05-2021,1188.7721316137795,1172420112890.2512,98259312473.8871,24139.076923076922,0,16321
26,16-05-2021,1208.167474543154,1199302828513.075,158630527617.19302,427828.07692307694,0,16321
27,15-05-2021,1324.0421279576894,1305328122373.528,122779253797.58005,422562.1666666667,0,16901
28,14-05-2021,1121.002113296369,1109193085801.7917,168510347672.77078,416087.8333333333,0,16901
29,13-05-2021,991.3533540671152,1012977151210.7296,92439047249.51988,410375.23076923075,0,16901
30,12-05-2021,1078.99116883175,1067369093563.7786,55251512658.23788,403593.76923076925,0,16901
31,11-05-2021,1018.24764401354,1009440938307.9603,75991758020.44766,23862.416666666668,0,16901
32,10-05-2021,1119.1836635607876,1109609144558.7559,54447454484.07158,23821.583333333332,0,16901
33,09-05-2021,1098.9316621620178,1086525682523.0521,42684651401.82817,390993.07692307694,0,16901
34,08-05-2021,1106.8314088291238,1094295594111.3972,72471570378.09819,387653.3333333333,0,16901
35,07-05-2021,1160.846775576941,1151939063668.742,100432794607.69838,383960.3333333333,0,16901
36,06-05-2021,1131.5779111333654,1117773788209.2202,80955610300.83934,380617.8653846154,0,16901
37,05-05-2021,967.3760966632634,968664306332.0372,64065699233.27553,376891.0272727273,0,16901
38,04-05-2021,1042.003042901173,1032898456669.1466,45944903548.29311,23570.5,0,16901
39,03-05-2021,1020.5266650504632,1007891706952.9216,36310025419.13495,23478.53846153846,0,16901
40,02-05-2021,1027.9638689438223,1016596413068.2258,39871394011.326805,366116.0,0,16901
41,01-05-2021,1018.4998831424801,1007502923696.4279,57215669668.72099,363067.87933333335,0,16901
42,30-04-2021,997.4896939644276,979183379366.3358,46600541955.52048,360186.4929230769,0,15695
43,29-04-2021,946.7002151089977,932120847704.5085,48099103155.29925,357106.3846153846,0,15695
44,28-04-2021,964.2448664429874,951585496063.3802,47665718583.537605,354145.1436666667,0,15695
45,27-04-2021,931.1765434475959,917564662152.7059,57694962853.695656,23288.492923076923,0,15695
46,26-04-2021,834.9792513185037,824200997208.9121,40018033987.007545,23177.32084615385,0,15695
47,25-04-2021,817.2527432654311,817971841207.2825,50209747441.872055,345423.01533333334,0,15695
48,24-04-2021,908.1040762440493,896254651437.6304,103577593197.186,342840.2643333333,0,15695
49,23-04-2021,933.2474709329414,921851039383.9005,76568797523.6683,340383.0708461539,0,15695
50,22-04-2021,952.2672386190183,942222454140.1458,57869684257.37622,338179.7753076923,0,15695
51,21-04-2021,993.0467509223452,982905421200.2494,71093540028.319,335828.614,0,15695
52,20-04-2021,981.4482643848942,973913346778.1985,61542561118.850006,22735.15133333333,0,15695
53,19-04-2021,1056.546139128663,1044964881347.5391,131867551476.2445,22617.455461538462,0,15695
54,18-04-2021,1198.7528999786678,1188475188350.944,102396637834.40314,327628.15133333334,0,15695
55,17-04-2021,1173.4198390078304,1158025385139.2202,59316573500.0042,324684.90133333334,0,15695
56,16-04-2021,1231.2802375589315,1212704740686.9238,52776779060.24675,321307.00666666665,0,15695
57,15-04-2021,1206.0479642124933,1187050872611.3896,68094616497.49511,318336.6818181818,0,15426
58,03-04-2021,1168.7632685018345,1143044469893.3523,60221659423.488014,286104.569,0,15426
59,02-04-2021,1072.336746345184,1052037830828.0424,60199275621.69987,282381.87166666664,0,15426
60,01-04-2021,1047.2415202792724,1030983229584.7678,78064630579.42586,279469.6538461539,0,15426
61,31-03-2021,965.3722097340578,944742028312.9641,27661735561.72665,276918.1538461539,0,15422
62,30-03-2021,979.435209570597,955016054765.2323,23906373048.557293,20433.51923076923,0,15796
63,29-03-2021,920.308672673314,900223644867.9553,24966058984.234207,20340.477,0,15796
64,28-03-2021,933.2707897676978,913986996024.5526,30952955741.142498,276963.96266666666,0,15796
65,27-03-2021,947.7398135935958,925243413867.4772,37254706511.93145,274275.25,0,15796
66,26-03-2021,849.9623865136097,830984236668.0437,68098464104.12063,271883.3103333333,0,15796
67,25-03-2021,868.6824523450877,853759034942.8877,55113546127.614555,20063.781818181815,0,15796
68,24-03-2021,977.7209390321184,955918737374.5566,32703507029.01955,267039.9013333333,0,15796
69,23-03-2021,1005.9649810077417,984901288482.834,35081909254.47621,263135.666,0,15796
70,22-03-2021,1044.0370118608578,1020967852959.534,36428680112.94888,19726.924333333332,0,15796
