,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,14-04-2021,1228.504882659987,1205652483607.5103,61366355796.31422,315451.568,0,15426
1,13-04-2021,1152.148761587466,1133427143507.7666,40528055992.80564,21881.37246153846,0,15426
2,12-04-2021,1179.9098147144205,1160096996739.6228,34794245615.29792,21795.67915384615,0,15426
3,11-04-2021,1183.4987879573869,1161611995259.307,37045825817.45421,307590.01533333334,0,15426
4,10-04-2021,1160.5694273890874,1140774773275.6018,30276953040.092094,304849.1666666667,0,15426
5,09-04-2021,1176.8762417195583,1155778740933.2039,39402659357.45591,302274.17307692306,0,15426
6,08-04-2021,1127.510716237443,1112732573928.816,68296674873.96585,299832.6346153846,0,15426
7,07-04-2021,1235.3701052384533,1214382165703.318,64025828103.194626,297072.3532307693,0,15426
8,06-04-2021,1295.3669367150198,1253118526513.1316,59684574302.63451,293193.31033333327,0,15426
9,05-04-2021,1262.850605090733,1228560153670.855,62898282496.0991,21253.23076923077,0,15426
10,04-04-2021,1190.3902597032056,1171384128666.476,112861450504.37201,288850.6032307693,0,15426
11,02-02-2021,456.73620083275716,439198764864.3429,26773112833.37808,10681.083333333332,0,24755
12,01-02-2021,452.27502964820485,432777023663.1339,32105400136.290684,10357.129333333332,0,24755
13,31-01-2021,460.4803042429269,441399274549.86053,26444405946.624535,153996.49292307696,0,24755
14,30-01-2021,471.0257579191868,453388740305.7643,52152292860.77604,152313.659,0,32256
15,29-01-2021,474.1308767632956,454267084586.0223,42531463748.89839,150506.0576923077,0,32256
16,28-01-2021,431.8785730102219,413444824262.7663,37352532604.03782,148441.44938461535,0,32256
17,28-11-2020,136.58241160780636,127547851302.76714,9945489811.405937,82654.44838461539,0,30578
18,27-11-2020,136.90053721549603,127825848807.8883,16837860182.571562,82473.96266666667,0,30578
19,26-11-2020,151.1288614389052,140878807340.22998,9640152182.14616,82294.23566666667,0,30578
20,25-11-2020,162.60620826130076,151886821147.70682,14093977092.839148,82042.60223076923,0,30578
21,24-11-2020,168.22146824919542,156062640774.12228,13098127205.913956,5966.794538461538,0,30578
22,23-11-2020,156.7802536545424,147522205837.85504,11478873949.924347,5946.636,0,30578
23,22-11-2020,164.32758206015913,153559996547.98462,12414587130.761343,81220.75,0,30578
24,21-11-2020,149.2457051209225,139339382531.85934,12939684779.23302,80965.19230769231,0,30578
25,20-11-2020,135.32413565858835,126320395784.59834,7247115577.985954,80653.39466666667,0,30578
26,19-11-2020,133.6740740534308,124420476847.67564,6602510632.491311,80335.83333333333,0,30578
27,18-11-2020,137.73160339798605,128422317718.79451,7473711092.374396,80134.24392307692,0,30578
28,17-11-2020,128.0732768026967,119173651466.93564,3849470714.9355702,5777.513153846154,0,30578
29,17-09-2020,148.17226844318284,135304295459.94,7943106440.305237,4816.348666666667,0,35201
30,16-09-2020,149.38033710377988,136513031237.6729,8803062206.930773,66970.833,0,35201
31,15-09-2020,156.23564522924076,142641738013.0998,10785511321.888031,4765.326923076923,0,45901
32,14-09-2020,155.12220785057232,141196044390.82288,12111676693.329973,4741.923076923077,0,45901
33,13-09-2020,150.5657794567525,136624042597.4883,9296157163.03746,66007.99233333333,0,45901
