,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,11-06-2021,1136.369743051064,309722262012.3539,17215231444.440712,22935.449384615385,244542.83514986376,8787
1,10-06-2021,1169.5273131210113,320873549648.8242,35359424815.758644,341839.8113333333,244542.83514986376,8787
2,09-06-2021,1143.6392916814211,314039922640.89154,50400139855.994675,339705.1973333333,243189.83509369678,8787
3,08-06-2021,1055.6107735385683,293994058070.7406,26050777282.758522,337547.5708461539,242456.8349249659,8787
4,07-06-2021,1164.3021481930248,317062618068.5729,22730067466.78321,335557.3036666667,239256.83327639222,8787
5,06-06-2021,1083.8841779941022,292361131114.4289,31728380158.828163,21789.40133333333,239258.83356117568,8787
6,05-06-2021,1035.920837687998,282995327846.3424,30042048533.885036,331227977,290534.8340745809,8787
7,04-06-2021,1097.9491362211636,303854046300.31726,27739322722.798615,329253.16092307697,265994.8358464702,8787
8,03-06-2021,945.9833118264164,257804666802.67776,14569288001.69229,327521.07692307694,265276.8294440631,8787
9,02-06-2021,855.424993111926,233735460526.70258,12454299160.334253,325328.8793333333,0.0,8787
10,01-06-2021,898.5970180383941,245343605000.0395,15309855143.64939,323336841,261681.8237113402,8787
11,31-05-2021,789.318784473425,215171361307.2805,10653473131.873459,321334.96861538466,259051.82500861178,8743
12,12-05-2021,1249.2417792888564,341210145257.0706,16422523050.86583,248254.66666666666,142353.82711267605,15641
13,11-05-2021,1192.0245621477927,325313127415.5145,16946504739.26596,241456.34866666666,141038.82699083863,15641
14,10-05-2021,1231.7553877498272,335174728115936,17531513206.132156,237756.66666666666,137720.82608695654,15641
15,09-05-2021,1266.3885895064461,346028193394.1502,15662194671.407635,14824.090076923076,137532.82725663716,15641
16,08-05-2021,1193.9423348720618,325334415896.61053,17409992421.36175,231327.05061538465,139970.8284296349,15641
17,07-05-2021,1214.6084743248828,330771315592.6764,13887146487.651966,227963.12246153844,138886.82835820894,15641
18,06-05-2021,1252.2030566642425,340201286449.23773,17655942205.294277,224926.53833333333,136652.8291206835,15641
19,05-05-2021,1191.767162315662,326416788364.3877,23749655163.960594,222058.10533333337,111522.82870370371,15641
20,04-05-2021,1287.1219392050366,351793411706.9699,21066212438.532776,218571.21153846153,87372.82822523164,15641
21,03-05-2021,1307.666320163542,354717056903.62354,20513128171.209713,215227.37853846152,83976.82940756602,15641
22,02-05-2021,1383.6966557103678,376287090648.5507,30865082217.439213,13151.416666666668,83978.8293466619,15641
23,01-05-2021,1197.9134493172435,323895686522.5168,19934468545.422646,207151.6093076923,89329.82964285715,15641
24,30-04-2021,1187.061144539513,321171622607.52716,28087641515.635303,203004.3076923077,57697.83053271362,23689
25,29-04-2021,1254.348961147999,338758835901.9107,36997394747.86454,198846.81133333332,53915.83041144902,23689
26,28-04-2021,1206.5548361816855,327481419357.4062,24831579541.333397,194697.90899999999,51393.83094555874,23689
27,27-04-2021,1238.2970099838103,335446683261.8652,50333034961.195816,190182.5,47578.831299353915,23689
28,26-04-2021,1336.7645508979635,363176304354.2387,59345986753.80628,185858.61538461538,46831.8306364617,23689
29,25-04-2021,1142.7809965096671,311942521007.31976,42315420277.4298,10283.5,52554.83087441526,23689
30,24-04-2021,1039.6224689161027,280740423014.5057,60886192718.510735,176346546,52507.83207207207,23689
31,23-04-2021,1096.0712895067109,296079149146.15857,45460640458461,173796.6983846154,51685.83207207207,23689
32,22-04-2021,904.6198449018735,247493158195.67355,25658573177.87747,171702.26923076922,49743.83201153569,23689
33,21-04-2021,888.5478894559111,242238453776.62946,27539055700.734093,169019.64466666663,49732.831651045424,23689
34,20-04-2021,893.8052613915029,243477865811.1444,32080757974.216705,166998.18523076925,45833.83243048032,23689
