,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,30-05-2021,761.5433370425116,208801298312.66284,11110470468.198725,20413.55769230769,315764.82574189093,10872
1,29-05-2021,802.021543847677,218751516256.06216,17247401997.94675,318021.4013333333,315765.8260269244,10872
2,28-05-2021,936.4803610109782,256419762666.3031,18420214236.31941,316395091,251684.82619212163,10872
3,27-05-2021,986.834635492096,266753045137.15356,30964767868.28537,314795.04453846155,251679.82670356278,10872
4,26-05-2021,835.2175199737234,228293142808.7199,26014522553.50375,312840.56799999997,194111.8254243159,10872
5,25-05-2021,868.1353010680176,236925524436.54648,37864065652.98989,309642.89776923077,168567.82524271845,10872
6,24-05-2021,692.5839015341818,188504624596.80026,55593043794.87236,306827.1538461539,165322.8240194377,10872
7,23-05-2021,884.080211759163,242410496195.4181,31732166684.712044,19052.946333333333,161826.82487838776,10872
8,22-05-2021,1074.7128323435975,291670729863168,50544504325.319374,301794977,204736.82510431155,10872
9,21-05-2021,1245.2057105689585,340387824243.4064,70455858510.80049,299045454,203239.82311977714,10872
10,20-05-2021,997.882765019759,276773098483.5509,81515162817.49178,295634.0756666667,189767.8235088943,10872
11,19-05-2021,1572.5659338450173,430106804171.8257,57735048694.890076,291432.5070769231,161833.82465944812,10872
12,18-05-2021,1314.3692613780938,361938143515.8043,59038116997.36173,288035114,159789.82418734708,10872
13,17-05-2021,1319.720106056316,358319674106.6049,62932969950.2829,281005273,159309.82429121458,10872
14,16-05-2021,1215.7875251482212,330082374816.27625,17271110518.172756,16895.43015384615,159310.82573632538,10872
15,15-05-2021,1199.2657237668643,326989758306.64465,15009148234.217842,266701.43623076926,147019.82584269665,15641
16,14-05-2021,1149.1058530278594,310172989316.3564,35604187389.84927,262228.10533333337,146795.8260105448,15641
17,13-05-2021,1222.7564632689807,348674066702.1104,38901533040.28554,256926.21761538464,143106.82711267605,15641
18,13-03-2021,411.1074463700637,109940495792.9262,6608367609.237125,135336.93015384616,56958.828698553945,46450
19,12-03-2021,447.55167917353725,119098241932.1009,8309921632.201759,134693.21861538463,56943.82863501484,46450
20,11-03-2021,401.58652537476377,107220733776.96408,4132250646.4427967,134154.77630769231,51502.828200371056,46450
21,10-03-2021,420.235869140786,111616965395.40411,4748736827.6702795,133215.9746923077,51498.8285077951,46450
22,09-03-2021,385.9911107328862,102660089532.94682,3821184672.4854565,132475.43623076924,47028.82868821999,46450
23,08-03-2021,388.9155553878818,102922288693.21503,4929276604.057042,131768.18015384616,46585.82924107143,46450
24,07-03-2021,365.15525887150693,96554888946.81366,4239563194.5707827,5302.0192307692305,46428.829549683665,46450
25,06-03-2021,352.9436784703648,92998925624.00331,3197463598.5453796,131424818,61347.829858525685,46450
26,04-01-2021,60.284017728948186,2800594225.079272,1999741874.7482927,108352.68966666667,49035.83372456964,92318
27,03-01-2021,50.597992766689906,2360223109.370906,1161105272.6472013,2845.1973333333335,49037.833985904464,92318
28,02-01-2021,51.67898510301764,2422863948.295888,926035445.9186068,108057.99233333333,55696.83463949843,92318
29,01-01-2021,42.583428413137106,1959951647.277887,480708167.5754297,107935.75766666667,55702.83463949843,92318
30,31-12-2020,43.18636618139658,2010309893.0398037,474530734.8758844,107787.24392307692,53508.83496667973,92082
