,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,11-06-2021,243.14512719580716,243186683938.1566,10465623368.321299,19711.955461538462,501.56756756756755,16282
1,10-06-2021,259.707367462973,260953734717.0508,20398210221.073177,191574.28066666666,0.0,16282
2,09-06-2021,248.27274617700337,249462605924.7573,21782827396.871815,191052.92433333336,500.56756756756755,16282
3,08-06-2021,239.56519378810293,242412949003.2678,19227757243.28146,189892.78846153847,500.56756756756755,16282
4,07-06-2021,243.14636226904696,243328829375.4619,9257701763.402025,188605.4362307692,501.56756756756755,16282
5,06-06-2021,246.9467926705378,246053673965.9981,19599626236.40774,187889.1406923077,498.56756756756755,16282
6,05-06-2021,246.57156742409663,246544313197.2852,29946062332.72633,187303.931,500.56756756756755,16282
7,04-06-2021,264.4184910225885,267923945104.1042,15705766488.036854,186411.79599999997,500.56756756756755,16282
8,03-06-2021,220.779855909987,220665748145.1321,8703981552.228508,185322.917,153.56756756756755,16282
9,02-06-2021,208.84092783226106,209093214436.3528,15029471575.83112,18650.591,106.56756756756756,16282
10,01-06-2021,195.0174209476961,194915218730.6827,8139429118.101609,183970.59000000003,106.56756756756756,16282
11,31-05-2021,179.9381510390907,179626141259.7922,7625023933.246303,183177.91600000003,96.56756756756756,16246
12,30-05-2021,174.4464218967305,177427748704.9626,9294306509.70844,182815.8906923077,90.56756756756756,16888
13,29-05-2021,183.05431855617837,185139252673.4539,19969885799.37856,182540.318,90.56756756756756,16888
14,28-05-2021,216.79555651074554,217429920406.3973,11257416768.663666,182251.17433333336,90.56756756756756,16888
15,27-05-2021,210.16903555493056,208493850394.4111,14029802688.891775,181728.49392307692,90.56756756756756,16888
16,26-05-2021,191.59698235345215,192088870824.1212,11862695204.523674,181177.68866666668,90.56756756756756,16888
17,25-05-2021,188.4731568224388,186672434412.6448,12221866253.07639,180716.50607692308,90.56756756756756,16888
18,24-05-2021,168.35759594579724,167973884415.0735,21431991716.301956,180413.45546153845,90.56756756756756,16888
19,23-05-2021,192.23145644732224,192235475302.6178,14811596957.168673,180123.35223076923,90.56756756756756,16888
20,22-05-2021,176.76232917003315,175408613053.9818,15294529797.547028,179519.92307692306,90.56756756756756,16888
21,21-05-2021,202.3835363215467,201275788378.6553,21426563038.19822,178995.637,90.56756756756756,16888
22,20-05-2021,168.26115935622317,171992216605.1376,27665092627.998486,178610.88600000003,90.56756756756756,16888
23,19-05-2021,274.5761916741022,273251602776.2408,9943178027.426287,178054.59615384616,90.6,16888
24,18-05-2021,270.1428740942274,274493173971.9567,17163580048.238682,177656.841,90.6,16888
25,17-05-2021,265.85365956128544,264733804502.9277,11603723841.679544,177089.73466666669,90.6,16888
26,16-05-2021,259.91737465554854,260257910626.3009,8154518965.075657,176521.6032307692,90.6,16888
27,15-05-2021,280.82064486166706,280654912517.2567,10706576304.233887,175838.9362307692,90.6,19506
28,14-05-2021,272.97411047817576,270493762198.171,18474766506.45505,175213.55266666666,90.6,19506
29,13-05-2021,271.18607121602815,271933463295.5104,14360975270.48908,174528.37853846152,89.6,19506
30,12-05-2021,302.7238607596278,303017496874.1411,12489533709.00879,173628.97699999998,89.6,19506
31,11-05-2021,293.6179509726701,293320019268.3776,15621971167.957203,172435.682,89.6,19506
32,10-05-2021,331.8444622533645,331844462253.3645,14962635024.036825,172022.94733333334,89.6,19506
33,09-05-2021,343.9921943614413,345391388568.1208,19981528873.793213,171580.21153846153,86.6,19506
34,08-05-2021,320.1860869373699,319969073426.5846,20990644514.50481,170792.92307692306,87.6,19506
35,07-05-2021,303.5778235744198,303286917757.241,11189110192.379635,170126.083,89.6,19506
36,06-05-2021,305.8745766090867,305709489593.9128,11262353496.67315,169433.85633333333,89.6,19506
37,05-05-2021,285.4477442637865,287593329724.4448,14723465855.265818,168775.55266666666,90.6,19506
38,04-05-2021,323.35430014200136,324351864266.8513,14403712852.952402,168106.87146153848,90.6,19506
39,03-05-2021,305.83281566385875,305150874472.5417,8329086493.080373,167414.6093076923,91.6,19506
40,02-05-2021,319.50944855475643,319284355752.6495,10369570312.420286,166704.205,93.6,19506
41,01-05-2021,312.3566935163859,311656265126.1475,8118534685.964604,165999.12933333332,355.6,19506
42,30-04-2021,304.50458168127665,305055010134.0496,9786694600.52758,165312.167,355.6,21480
43,29-04-2021,307.93688943827266,307306240395.446,11006448639.362238,164460.99233333336,360.6,21480
44,19-04-2021,335.5280057867184,335528005786.7184,34808388552.584175,156990.48076923078,854.6,21480
45,18-04-2021,379.5695847825187,380790935091.3208,22138554207.461838,156084.841,854.5714285714286,21480
46,17-04-2021,398.5592446837581,396097904954.7174,34065684997.78003,154938.89466666663,854.5714285714286,21480
47,16-04-2021,355.40547888629646,354686869681.7658,9023918525.529165,153609.56363636366,853.5714285714286,21480
48,15-04-2021,344.1799726171531,343276875565.1734,15386671187.279776,152060.20909090908,853.5714285714286,23388
49,14-04-2021,354.8411220808535,355020686418.4349,12147656000.482437,150999.10223076923,854.5882352941177,23388
50,13-04-2021,344.1633285709457,343769723700.3835,7452352814.068261,149754.60633333333,854.5882352941177,23388
51,12-04-2021,348.39986205293224,347806191311.4793,7847762148.250908,148515.682,858.5882352941177,23388
52,11-04-2021,352.7260770478052,352487074959.7819,9885615149.10051,147489.00766666667,858.6060606060606,23388
53,10-04-2021,358.59607560690307,359062306312.4912,10628080770.800882,146248.454,876.6060606060606,23388
54,09-04-2021,366.79061212715317,367021947268.691,17104308554.125639,144917.364,732.6060606060606,23388
55,08-04-2021,349.0713783667397,351108775454.2309,40783062616.061104,143473.96153846153,733.625,23388
56,07-04-2021,333.322442771576,332935731605.8573,10726613587.243036,142393.03846153847,733.59375,23388
57,06-04-2021,328.8408047573857,328768137215.3324,9868268464.499811,140931.06033333336,733.59375,23388
58,05-04-2021,337.4319404914456,337348180228.8064,8036474203.604777,139451.51923076922,627.59375,23388
