,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,10-06-2021,1043784.7514461495,19603258020934.883,1515116769210.892,5795427.530666667,21031.90684713376,4989
1,09-06-2021,926294.8088807251,17365641740881.24,1289841524544.1658,5770829.813769232,20577.90712123626,4989
2,04-06-2021,1082592.6194563517,20272717081941.824,923469371130.2693,5673194.763153845,29416.90684319668,4989
3,28-05-2021,1074349.7822018266,20104668350940.09,1135345190563.326,3094428.3563333335,25797.90682435672,4866
4,27-05-2021,1090823.3074044515,20419407287010.477,1301737347119.0557,3088548.7955384613,21627.906779661018,4866
5,26-05-2021,1063582.4789096382,19908661186392.707,1356235155469.8499,3082876.25,21043.906894896816,4866
6,25-05-2021,1082664.5884232689,20260660308376.527,1993814821162.4111,3077637.076923077,21037.906545047208,4866
7,24-05-2021,978085.6341284493,18303601131389.562,2358925493596.9727,3069719.563769231,20024.906615409258,4866
8,23-05-2021,1049229.4195722712,19634964589049.61,1710826099673.0278,3062703.686230769,20815.906420545747,4866
9,22-05-2021,1044176.7326967069,19540410122666.367,2480601503079.87,3054556.932,20812.906566061967,4866
10,21-05-2021,1130893.7316286447,21245575886215.145,2656849273587.2983,3048673.296,20816.90669664365,4866
11,20-05-2021,1040538.2530243886,19472320705622.508,3938959153619.686,3043183.9693333334,20575.90672660138,4866
12,19-05-2021,1205713.1943278604,22399655565872.59,1819776152958.2078,3032526.269230769,15901.906536052675,4866
13,18-05-2021,1227955.8402026708,22978345919799.56,2357554433080.4136,3023994.4923333335,15901.906536052675,4866
14,17-05-2021,1303170.5841233528,24384813291104.777,1975984217737.1152,3015628.4626666666,11208.906576620035,4866
15,16-05-2021,1308616.2144397297,24485623986295.156,1759433284804.2773,2999705.853230769,19916.906561595366,4866
16,15-05-2021,1396238.6839057216,26181965556461.176,1589448415747.3972,2991562.8256666665,19923.906471345785,5071
17,14-05-2021,1396839.5769753056,26134135144430.062,2912697662246.191,2987129.2576666665,19889.906441223833,5071
18,13-05-2021,1401683.488755507,26223350695510.76,2117011244109.812,2976750.320846154,19824.905797101448,5071
19,12-05-2021,1590139.998935626,29747385016088.33,1891742344055.5593,2964344.9396666666,19812.905751570805,5071
20,11-05-2021,1551103.5148446304,29015435599601.37,2127445064639.188,2957925.2576666665,19558.90664301838,5071
21,10-05-2021,1616472.720753359,30236455235072.055,1885608182999.9514,2950416.9166666665,18920.906275205678,5071
22,09-05-2021,1629133.0516805258,30471374651353.78,1852006559292.6433,2942808.7115384615,18933.906714009037,5071
23,08-05-2021,1590039.7492523505,29738473679272.99,1889223958931.0725,2935604.769230769,20605.9072997416,5071
24,07-05-2021,1580069.9129498736,29550270003249.426,2446976977887.923,2928845.659923077,20396.907269789983,5071
25,06-05-2021,1601953.5716341534,29872540530408.0,2012713365807.7607,2922777.318,20393.907108239095,5071
26,05-05-2021,1492137.1084561255,27902720709780.86,1989821384219.0684,2917045.8256666665,20398.907093229922,5071
27,04-05-2021,1597467.1638225974,29870559256169.594,1511790030958.7283,2910774.090076923,18912.906416680136,5071
28,03-05-2021,1576981.6082237116,29473295687119.195,1088622999938.7987,2904177.3906923076,18728.906371280726,5071
