,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,10-06-2021,711.6413963227695,307137858464.06964,45161819203.60824,426191.0306666667,47185.830917874395,24731
1,09-06-2021,667.4258873361971,288587828081.9614,50283432408.083336,424746.3256666667,47145.82608695652,24731
2,08-06-2021,679.7134967956405,295047216209.0742,40774077053.74766,423262.522,0.0,24731
3,07-06-2021,756.8944774932437,326228751106.9548,21876929754.91995,421347.3785384616,40908.82524271845,24731
4,06-06-2021,745.9717165581278,320562611346.11096,39772086182.51764,419662.7576666667,40551.82524271845,24731
5,05-06-2021,797.0617449090304,344369233921.4787,53749942934.07077,417180.75666666665,97152.82524271845,24731
6,04-06-2021,894.6442892535147,385202393005.84424,39622012128.810455,414362.94838461536,97157.82524271845,24731
7,03-06-2021,852.6690100549521,366217000727.68945,37911044658.3476,411827.16092307697,94007.82926829268,24731
8,02-06-2021,848.6975708126466,365930844218.5124,51697507197.54946,59494.93866666666,94003.82926829268,24731
9,01-06-2021,879.6173970407236,377804075821.0018,67917903449.168686,407870.71166666667,88821.83333333333,24731
10,31-05-2021,742.0048216271314,319501265043.5639,55812689455.84075,405820.659,79589.83333333333,24726
11,30-05-2021,701.0865513706517,304162861574.4301,58426310303.185616,404018.24392307695,84976.83333333333,23806
12,29-05-2021,775.1099548492863,332917130944.30237,82104004174.09221,402012.6973333333,84976.83333333333,23806
13,28-05-2021,880.4234411728858,376987551411.34247,83055866079.61954,399806.137,84997.84236453203,23806
14,27-05-2021,938.0091199168611,398530319025.3653,88607724594.31555,397493.2246923077,84995.84236453203,23806
15,26-05-2021,762.1169391505535,325560980142.0886,63900366958.20669,394476.1896666667,77817.84236453203,23806
16,25-05-2021,734.045261625534,313427387166.6768,79444809886.52249,391123.7176153846,71822.84236453203,23806
17,24-05-2021,561.9314054830387,238854511629.50473,98365191229.6127,388363.3006153846,71774.84236453203,23806
18,23-05-2021,652.8008218889819,280101650823.9875,54920872051.861885,386282.205,79124.84236453203,23806
19,22-05-2021,710.705348134719,302544033067.5183,75784868585.34917,383414.8026666667,79126.84236453203,23806
20,21-05-2021,843.3426191490942,361284465355.8758,97334173244.9007,381036.10633333336,79126.84236453203,23806
21,20-05-2021,765.7280023525208,326590308705.48425,136775425676.62643,377368.4693333333,78729.84653465346,23806
22,19-05-2021,1193.0775852504314,504439719086.37103,77753362895.70454,373886.94838461536,70861.84653465346,23806
23,18-05-2021,1040.8507910411258,445300908357.33124,67847340139.96714,371396.7576666667,70862.84158415842,23806
24,17-05-2021,1132.3280711067173,481862740641.7371,64476669250.36881,367354.4846666667,43409.85,23806
25,16-05-2021,1156.0820331721347,493136710371.9027,71559607322.7423,363369.22369230766,53448.85,23806
26,15-05-2021,1301.9138958300007,555933244955.093,55916591048.61862,359210.6599230769,52504.85,24451
27,14-05-2021,1211.127401722061,507641383878.8329,91809917888.48724,354888.1666666667,52505.85,24451
28,13-05-2021,1180.7303753110086,514258959009.0367,69141963619.56003,349665.8593076923,51411.85,24451
