date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2018-02-28,1.000000,1.000000,1.000000,0.330000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-01,0.000000,0.000000,0.000000,0.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-02,1.000000,1.000000,0.000000,0.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-03,1.000000,1.000000,0.271817,0.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.406667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-04,1.000000,1.000000,0.247952,0.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-05,0.931242,0.932745,0.000000,0.470000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.420000,0.414000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-06,1.000000,1.000000,0.136998,0.560000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470000,0.452000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-07,0.288659,0.293457,1.000000,0.440000,0.997056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490000,0.452000,0.438571,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-08,0.000000,0.000000,1.000000,0.550000,0.977426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.516667,0.480000,0.464286,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-09,0.000000,0.000000,0.629044,0.590000,0.943300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526667,0.522000,0.485714,0.467778,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-10,0.000000,0.000000,1.000000,0.370000,0.907299,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.503333,0.502000,0.480000,0.467778,0.000000,0.000000,0.000000,0.000000,2.000000
2018-03-11,0.000000,0.000000,0.234262,0.390000,0.860285,0.985957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.450000,0.468000,0.481429,0.462222,0.451818,0.000000,0.000000,0.000000,1.000000
2018-03-12,0.235320,0.236277,0.447064,0.370000,0.838930,0.973078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.376667,0.454000,0.467143,0.457778,0.451818,0.000000,0.000000,0.000000,2.000000
2018-03-13,0.131683,0.132825,0.497432,0.390000,0.825276,0.955438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.383333,0.422000,0.442857,0.458889,0.447273,0.440769,0.000000,0.000000,2.000000
2018-03-14,0.124005,0.125532,0.361740,0.400000,0.821163,0.935171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386667,0.384000,0.437143,0.451111,0.446364,0.443077,0.000000,0.000000,2.000000
2018-03-15,0.000000,0.000000,0.493590,0.410000,0.803585,0.906774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.392000,0.417143,0.434444,0.449091,0.440769,0.436000,0.000000,1.000000
2018-03-16,0.011846,0.012146,0.681113,0.410000,0.793553,0.876539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.406667,0.396000,0.391429,0.431111,0.443636,0.440769,0.438667,0.000000,1.000000
2018-03-17,0.059800,0.060585,0.163945,0.400000,0.775225,0.855507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.406667,0.402000,0.395714,0.414444,0.429091,0.442308,0.436000,0.000000,1.000000
2018-03-18,0.000000,0.000000,0.000000,0.320000,0.753679,0.836851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.376667,0.388000,0.385714,0.384444,0.418182,0.430769,0.430000,0.000000,1.000000
2018-03-19,0.044000,0.044471,0.597863,0.330000,0.735238,0.824897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350000,0.374000,0.380000,0.380000,0.398182,0.413077,0.426667,0.000000,1.000000
2018-03-20,0.167764,0.169088,0.581411,0.310000,0.741062,0.818668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320000,0.354000,0.368571,0.371111,0.372727,0.403077,0.416000,0.000000,1.000000
2018-03-21,0.248363,0.250301,0.332482,0.290000,0.751230,0.818740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310000,0.330000,0.352857,0.362222,0.365455,0.383077,0.398000,0.000000,1.000000
2018-03-22,0.255196,0.257449,0.167177,0.290000,0.759055,0.813173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.296667,0.308000,0.335714,0.351111,0.356364,0.360000,0.388000,0.000000,1.000000
2018-03-23,0.196747,0.198979,0.119066,0.370000,0.771326,0.808257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316667,0.318000,0.330000,0.347778,0.356364,0.360000,0.376000,0.000000,1.000000
