date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2020-04-11,1.000000,1.000000,1.000000,0.150000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2020-04-12,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2020-04-13,0.527970,0.662662,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2020-04-14,0.020206,0.085200,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
2020-04-15,0.000000,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2020-04-16,0.000000,0.000000,0.000000,0.130000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153333,0.134000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2020-04-17,0.170180,0.143168,0.130916,0.150000,0.975540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153333,0.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2020-04-18,0.059919,0.084274,0.000000,0.180000,0.917394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153333,0.158000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2020-04-19,0.121142,0.111914,0.000000,0.160000,0.887836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163333,0.160000,0.151429,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2020-04-20,0.000000,0.000000,0.000000,0.150000,0.872673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163333,0.154000,0.157143,0.145556,0.000000,0.000000,0.000000,0.000000,1.000000
2020-04-21,0.000000,0.000000,0.000000,0.170000,0.845040,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160000,0.162000,0.160000,0.153333,0.000000,0.000000,0.000000,0.000000,1.000000
2020-04-22,0.091656,0.088497,0.010236,0.190000,0.813267,0.969522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170000,0.170000,0.161429,0.162222,0.151818,0.000000,0.000000,0.000000,1.000000
2020-04-23,0.356718,0.329390,0.112055,0.190000,0.820712,0.942043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183333,0.172000,0.170000,0.166667,0.160000,0.000000,0.000000,0.000000,1.000000
2020-04-24,0.205521,0.176232,0.058346,0.200000,0.805929,0.918010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193333,0.180000,0.177143,0.168889,0.168182,0.158462,0.000000,0.000000,1.000000
2020-04-25,0.210485,0.211757,0.002501,0.240000,0.809718,0.911845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.210000,0.198000,0.185714,0.181111,0.176364,0.169231,0.000000,0.000000,1.000000
2020-04-26,0.268177,0.253220,0.000000,0.210000,0.839917,0.913236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216667,0.206000,0.192857,0.187778,0.179091,0.176923,0.167333,0.000000,1.000000
2020-04-27,0.251050,0.243086,0.013717,0.280000,0.857867,0.905744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243333,0.224000,0.211429,0.198889,0.192727,0.186923,0.179333,0.000000,1.000000
2020-04-28,0.075823,0.088169,0.002081,0.260000,0.826235,0.892635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.238000,0.224286,0.210000,0.202727,0.193077,0.189333,0.000000,1.000000
2020-04-29,0.284961,0.276954,0.000302,0.260000,0.835181,0.889471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266667,0.250000,0.234286,0.222222,0.210000,0.203077,0.196667,0.000000,1.000000
2020-04-30,0.475927,0.443530,0.018335,0.440000,0.865072,0.907726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320000,0.290000,0.270000,0.252222,0.235455,0.225385,0.214000,0.000000,2.000000
2020-05-01,0.360207,0.367366,0.000000,0.400000,0.875436,0.929711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366667,0.328000,0.298571,0.275556,0.258182,0.242308,0.232000,0.000000,1.000000
2020-05-02,0.423174,0.402171,0.000000,0.400000,0.894819,0.949945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.413333,0.352000,0.321429,0.298889,0.279091,0.260769,0.248667,0.000000,2.000000
2020-05-03,0.412595,0.383539,0.000000,0.450000,0.932743,0.953355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.416667,0.390000,0.355714,0.326667,0.302727,0.283846,0.266667,0.000000,1.000000
2020-05-04,0.351769,0.332100,0.000000,0.440000,0.940266,0.962281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.430000,0.426000,0.378571,0.348889,0.325455,0.304615,0.285333,0.000000,1.000000
2020-05-05,0.314336,0.290391,0.000905,0.400000,0.922069,0.968619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.430000,0.418000,0.398571,0.370000,0.343636,0.320769,0.302000,0.000000,1.000000
2020-05-06,0.264025,0.248216,0.000000,0.420000,0.911238,0.968366,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.420000,0.422000,0.421429,0.385556,0.360000,0.338462,0.318667,0.000000,1.000000
2020-05-07,0.198513,0.203051,0.000000,0.490000,0.885939,0.965159,0.990115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.436667,0.440000,0.428571,0.411111,0.385455,0.360769,0.338667,0.000000,1.000000
2020-05-08,0.167272,0.158672,0.007273,0.550000,0.858313,0.970741,0.974006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.486667,0.460000,0.450000,0.443333,0.410000,0.384615,0.362667,0.000000,1.000000
2020-05-09,0.166408,0.144522,0.000000,0.560000,0.837440,0.963505,0.963105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533333,0.484000,0.472857,0.456667,0.437273,0.411538,0.386667,0.000000,1.000000
