date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2019-02-14,0.050998,0.000039,0.437610,0.480000,0.341848,0.353954,0.392320,0.444343,0.441101,0.499963,0.638846,0.720269,0.775575,0.889957,0.997175,0.446667,0.440000,0.427143,0.367778,0.344545,0.323077,0.306667,0.309000,1.000000
2019-02-15,0.048198,0.340435,1.000000,0.430000,0.340397,0.355260,0.392528,0.443878,0.440128,0.496418,0.636515,0.717197,0.773583,0.887720,0.994126,0.463333,0.446000,0.435714,0.400000,0.359091,0.339231,0.324000,0.315333,1.000000
2019-02-16,0.049589,0.341298,0.315307,0.430000,0.338988,0.356661,0.392802,0.443927,0.439278,0.492797,0.634123,0.714136,0.771945,0.885309,0.990983,0.446667,0.440000,0.437143,0.427778,0.379091,0.357692,0.337333,0.320333,1.000000
2019-02-17,0.052318,0.343334,0.270680,0.380000,0.338687,0.358845,0.392997,0.443438,0.438915,0.489297,0.631728,0.711391,0.770261,0.882958,0.987738,0.413333,0.440000,0.434286,0.428889,0.400909,0.366154,0.348000,0.323333,1.000000
2019-02-18,0.057816,0.000045,0.355522,0.630000,0.339319,0.361544,0.393460,0.443239,0.438478,0.485900,0.629266,0.708753,0.768762,0.880557,0.984542,0.480000,0.470000,0.458571,0.452222,0.441818,0.398462,0.377333,0.334000,1.000000
2019-02-19,0.086593,0.368294,0.781422,0.650000,0.344477,0.363754,0.394868,0.443508,0.438718,0.482760,0.626787,0.706304,0.767519,0.877867,0.981346,0.553333,0.504000,0.497143,0.480000,0.467273,0.437692,0.402667,0.344000,1.000000
2019-02-20,0.089623,0.370904,0.448840,0.590000,0.350479,0.366167,0.396461,0.444115,0.439435,0.479642,0.624334,0.703973,0.766114,0.875602,0.978513,0.623333,0.536000,0.512857,0.494444,0.482727,0.469231,0.428000,0.353667,1.000000
2019-02-21,0.097832,0.376851,0.486441,0.590000,0.357470,0.369125,0.398343,0.444632,0.440331,0.476594,0.621970,0.701955,0.764842,0.873187,0.976013,0.610000,0.568000,0.528571,0.517778,0.500000,0.486154,0.458000,0.364333,1.000000
2019-02-22,0.092513,0.372983,0.528785,0.610000,0.363294,0.372052,0.400087,0.444798,0.441133,0.473558,0.619659,0.699891,0.763509,0.870898,0.973733,0.596667,0.614000,0.554286,0.532222,0.513636,0.500769,0.486667,0.373667,1.000000
2019-02-23,0.096637,0.000073,0.450945,0.630000,0.368919,0.375368,0.402476,0.445245,0.441783,0.471309,0.617527,0.697922,0.762226,0.868478,0.971542,0.610000,0.614000,0.582857,0.548889,0.536364,0.518462,0.504000,0.382333,1.000000
2019-02-24,0.114938,0.000087,0.679112,0.690000,0.373026,0.380279,0.405576,0.445966,0.442861,0.469356,0.615499,0.696211,0.760878,0.866089,0.969580,0.643333,0.622000,0.627143,0.577778,0.555455,0.536154,0.522000,0.393667,1.000000
2019-02-25,0.066865,0.000054,0.918748,0.470000,0.369728,0.381712,0.406854,0.445847,0.443447,0.467042,0.612949,0.694534,0.759304,0.863568,0.967184,0.596667,0.598000,0.604286,0.582222,0.554545,0.543077,0.526667,0.395667,1.000000
2019-02-26,0.077221,0.000059,0.729665,0.400000,0.366742,0.383834,0.408621,0.445371,0.444077,0.464868,0.610544,0.692727,0.757774,0.861162,0.964941,0.520000,0.560000,0.568571,0.584444,0.551818,0.536923,0.522667,0.396000,1.000000
2019-02-27,0.075528,0.000058,0.175979,0.390000,0.364281,0.385617,0.410148,0.444914,0.444914,0.462599,0.608152,0.691137,0.756230,0.858688,0.962701,0.420000,0.516000,0.540000,0.557778,0.548182,0.530000,0.523333,0.397333,1.000000
2019-02-28,0.076451,0.000060,0.610107,0.390000,0.361356,0.387048,0.411608,0.444513,0.445867,0.461243,0.605749,0.689526,0.755021,0.856029,0.960863,0.393333,0.468000,0.511429,0.528889,0.549091,0.526923,0.517333,0.403333,1.000000
2019-03-01,0.077316,0.000059,0.601456,0.420000,0.355904,0.386335,0.413242,0.444136,0.446822,0.460432,0.603370,0.687843,0.753772,0.853335,0.959012,0.400000,0.414000,0.484286,0.510000,0.530000,0.526154,0.513333,0.410000,1.000000
2019-03-02,0.077687,0.000060,0.409026,0.410000,0.357473,0.385419,0.414841,0.444622,0.447793,0.459440,0.601027,0.686169,0.752530,0.850579,0.957096,0.406667,0.402000,0.452857,0.490000,0.508182,0.528462,0.512000,0.418000,1.000000
2019-03-03,0.078175,0.000060,0.204073,0.440000,0.357611,0.383909,0.416452,0.445095,0.448320,0.458842,0.598693,0.684558,0.751241,0.847910,0.955377,0.423333,0.410000,0.417143,0.471111,0.494545,0.513846,0.512667,0.425000,1.000000
2019-03-04,0.076578,0.000059,0.521431,0.360000,0.357763,0.382685,0.418264,0.445621,0.448597,0.458118,0.596265,0.682892,0.750031,0.845346,0.953586,0.403333,0.404000,0.401429,0.441111,0.473636,0.491538,0.511333,0.429667,1.000000
2019-03-05,0.064174,0.352609,0.233057,0.350000,0.355984,0.380192,0.419691,0.446163,0.448641,0.457874,0.593695,0.681144,0.748733,0.842813,0.951565,0.383333,0.396000,0.394286,0.403333,0.450000,0.473077,0.492667,0.435000,0.000000
2019-03-06,0.082363,0.366188,0.735794,0.420000,0.356715,0.377691,0.420535,0.446670,0.448327,0.457630,0.591278,0.679323,0.747635,0.840288,0.949486,0.376667,0.396000,0.398571,0.397778,0.430909,0.460000,0.477333,0.440000,1.000000
2019-03-07,0.083389,0.000064,0.679759,0.560000,0.357542,0.378960,0.421401,0.447387,0.448358,0.457686,0.588876,0.677632,0.746386,0.837928,0.947401,0.443333,0.426000,0.422857,0.415556,0.419091,0.456154,0.475333,0.451667,0.000000
2019-03-08,0.086096,0.000066,0.462912,0.540000,0.358689,0.379641,0.422322,0.448100,0.448237,0.457735,0.586419,0.675892,0.745048,0.835840,0.945413,0.506667,0.446000,0.440000,0.432222,0.425455,0.449231,0.472000,0.465000,0.000000
2019-03-09,0.084586,0.000065,0.764998,0.550000,0.359850,0.380337,0.423360,0.448711,0.448128,0.457261,0.583971,0.674301,0.743733,0.833710,0.943382,0.550000,0.484000,0.460000,0.450000,0.439091,0.438462,0.468000,0.477333,0.000000
2019-03-10,0.094932,0.000073,0.726451,0.550000,0.364306,0.381756,0.424787,0.449564,0.448019,0.456884,0.581617,0.672624,0.742299,0.831534,0.941474,0.546667,0.524000,0.475714,0.464444,0.453636,0.444615,0.462667,0.483333,0.000000
2019-03-11,0.092576,0.373576,0.690410,0.560000,0.365786,0.382928,0.426216,0.450185,0.448304,0.456786,0.579575,0.671017,0.740911,0.829327,0.939620,0.553333,0.552000,0.504286,0.481111,0.469091,0.456923,0.454000,0.488000,0.000000
2019-03-12,0.084469,0.368339,0.496002,0.560000,0.365943,0.383449,0.427464,0.450986,0.448449,0.456388,0.577442,0.669223,0.739454,0.827182,0.937874,0.556667,0.552000,0.534286,0.494444,0.481818,0.470000,0.460000,0.493333,0.000000
2019-03-13,0.086319,0.000067,0.667255,0.540000,0.365975,0.384074,0.428727,0.451831,0.448941,0.456089,0.575296,0.667350,0.738017,0.825116,0.936273,0.553333,0.552000,0.551429,0.514444,0.493636,0.481538,0.469333,0.496000,0.000000
2019-03-14,0.085162,0.000065,0.567764,0.550000,0.366058,0.384733,0.429856,0.452560,0.449028,0.456125,0.573130,0.665437,0.736550,0.823172,0.934632,0.550000,0.552000,0.550000,0.536667,0.503636,0.491538,0.480000,0.501667,0.000000
2019-03-15,0.086884,0.000067,0.694161,0.550000,0.364892,0.386478,0.430856,0.453364,0.449260,0.456068,0.570697,0.663538,0.735004,0.821159,0.933345,0.546667,0.552000,0.551429,0.551111,0.520909,0.502308,0.490667,0.504000,0.000000
2019-03-16,0.092110,0.373425,0.650854,0.540000,0.364825,0.387226,0.431045,0.454243,0.449506,0.456305,0.568343,0.661541,0.733512,0.819177,0.932187,0.546667,0.548000,0.550000,0.548889,0.538182,0.510000,0.498667,0.506000,0.000000
2019-03-17,0.102769,0.381360,0.678930,0.580000,0.367476,0.388714,0.431497,0.455368,0.450071,0.456980,0.566043,0.659502,0.732110,0.817110,0.931034,0.556667,0.552000,0.554286,0.553333,0.552727,0.526923,0.510000,0.511000,0.000000
2019-03-18,0.099992,0.379449,0.502589,0.560000,0.369458,0.389782,0.431572,0.456443,0.450440,0.457687,0.563801,0.657464,0.730886,0.815076,0.929930,0.560000,0.556000,0.554286,0.554444,0.552727,0.543077,0.518000,0.515333,0.000000
2019-03-19,0.098640,0.000076,0.601417,0.560000,0.371411,0.390861,0.431782,0.457519,0.450626,0.458361,0.561590,0.655424,0.729576,0.813215,0.928701,0.566667,0.558000,0.554286,0.555556,0.554545,0.553846,0.531333,0.521333,0.000000
2019-03-20,0.102553,0.000079,0.589579,0.550000,0.373681,0.391446,0.431986,0.458944,0.450995,0.458916,0.559363,0.653403,0.728381,0.811574,0.927322,0.556667,0.558000,0.555714,0.554444,0.554545,0.553077,0.544667,0.518667,0.000000
2019-03-21,0.105926,0.000081,0.737989,0.620000,0.375683,0.392471,0.431676,0.460479,0.451359,0.459656,0.557162,0.651276,0.727182,0.809943,0.926213,0.576667,0.574000,0.565714,0.561111,0.560909,0.559231,0.558000,0.517667,0.000000
2019-03-22,0.098691,0.000076,0.804197,0.560000,0.375092,0.393563,0.432770,0.461784,0.451678,0.460410,0.554933,0.649049,0.725952,0.808324,0.925069,0.576667,0.570000,0.567143,0.563333,0.560909,0.560000,0.558000,0.516667,0.000000
2019-03-23,0.100700,0.000077,0.765885,0.500000,0.375194,0.394668,0.433578,0.463200,0.451656,0.461118,0.552737,0.646853,0.724674,0.806782,0.924023,0.560000,0.558000,0.561429,0.557778,0.555455,0.556154,0.555333,0.513667,0.000000
2019-03-24,0.103266,0.000079,0.747734,0.440000,0.375865,0.396058,0.434532,0.464564,0.451701,0.462025,0.550557,0.644605,0.723202,0.805250,0.922876,0.500000,0.534000,0.541429,0.545556,0.546364,0.546923,0.548000,0.508000,0.000000
2019-03-25,0.101249,0.380704,0.809914,0.460000,0.375676,0.397161,0.435384,0.465836,0.451746,0.462993,0.548388,0.642746,0.721412,0.803820,0.921679,0.466667,0.516000,0.527143,0.536667,0.538182,0.539231,0.542000,0.502333,0.000000
2019-03-26,0.092007,0.374093,0.879937,0.430000,0.373659,0.397153,0.435890,0.467013,0.451681,0.463866,0.546132,0.641013,0.719555,0.802171,0.920545,0.443333,0.478000,0.508571,0.520000,0.527273,0.530769,0.533333,0.493667,0.000000
2019-03-27,0.093675,0.000072,1.000000,0.440000,0.372932,0.396455,0.436439,0.468195,0.452202,0.464763,0.543897,0.639352,0.717631,0.800583,0.919401,0.443333,0.454000,0.492857,0.506667,0.518182,0.522308,0.525333,0.492667,0.000000
2019-03-28,0.106795,0.000082,0.828234,0.490000,0.373815,0.396977,0.437423,0.469622,0.452871,0.465441,0.541730,0.637906,0.715838,0.798997,0.918262,0.453333,0.452000,0.474286,0.498889,0.510000,0.517692,0.522000,0.495667,0.000000
2019-03-29,0.105486,0.000081,0.770081,0.500000,0.374137,0.397503,0.438418,0.471165,0.453580,0.465930,0.539727,0.636399,0.714014,0.797414,0.916715,0.476667,0.464000,0.465714,0.493333,0.504545,0.514615,0.518667,0.499333,0.000000
2019-03-30,0.115023,0.000088,0.834234,0.570000,0.376133,0.398461,0.440166,0.472911,0.454573,0.466451,0.537760,0.634913,0.712221,0.795828,0.915195,0.520000,0.486000,0.475714,0.487778,0.505455,0.513846,0.520000,0.505333,0.000000
