date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2020-10-05,0.573630,0.573442,0.256137,0.420000,0.662175,0.682127,0.656992,0.781582,0.942005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.413333,0.420000,0.434286,0.437778,0.440909,0.436154,0.436000,0.433000,1.000000
2020-10-06,0.569678,0.568609,0.265854,0.470000,0.656239,0.681285,0.656561,0.775001,0.938869,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.436667,0.424000,0.437143,0.437778,0.441818,0.439231,0.435333,0.435000,1.000000
2020-10-07,0.536346,0.533597,0.283486,0.430000,0.648814,0.678258,0.654980,0.767531,0.935250,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.440000,0.428000,0.428571,0.437778,0.440000,0.442308,0.438000,0.435667,1.000000
2020-10-08,0.537918,0.537308,0.245112,0.460000,0.648595,0.671423,0.653244,0.760624,0.931871,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.453333,0.440000,0.430000,0.438889,0.439091,0.442308,0.440000,0.437333,1.000000
2020-10-09,0.558249,0.553691,0.300843,0.480000,0.651263,0.667618,0.652975,0.755224,0.926431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.456667,0.452000,0.440000,0.437778,0.443636,0.444615,0.446000,0.440667,1.000000
2020-10-10,0.602006,0.600814,0.348868,0.530000,0.656187,0.667238,0.653764,0.749979,0.921039,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.490000,0.474000,0.458571,0.446667,0.450909,0.449231,0.450667,0.445667,1.000000
2020-10-11,0.625990,0.624674,0.418879,0.550000,0.665960,0.669180,0.656429,0.746890,0.917190,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.520000,0.490000,0.477143,0.462222,0.456364,0.458462,0.457333,0.450333,1.000000
2020-10-12,0.636458,0.635548,0.345883,0.520000,0.683333,0.674215,0.660071,0.743591,0.912352,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.533333,0.508000,0.491429,0.475556,0.462727,0.463846,0.460667,0.454000,1.000000
2020-10-13,0.664063,0.662324,0.397867,0.560000,0.705225,0.685184,0.663968,0.741366,0.908857,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.543333,0.528000,0.504286,0.491111,0.476364,0.469231,0.469333,0.460000,1.000000
2020-10-14,0.664791,0.663989,0.411944,0.530000,0.723714,0.695892,0.668890,0.738906,0.905218,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.536667,0.538000,0.518571,0.503333,0.488182,0.475385,0.474667,0.464667,1.000000
2020-10-15,0.649551,0.648016,0.353851,0.560000,0.731966,0.702560,0.673073,0.737823,0.901548,0.999979,1.000000,1.000000,1.000000,1.000000,1.000000,0.550000,0.544000,0.532857,0.513333,0.500909,0.486923,0.479333,0.467667,1.000000
2020-10-16,0.641379,0.640565,0.261831,0.520000,0.734636,0.708858,0.677620,0.736317,0.897151,0.998788,1.000000,1.000000,1.000000,1.000000,1.000000,0.536667,0.538000,0.538571,0.523333,0.510000,0.496154,0.484000,0.470667,1.000000
2020-10-17,0.623700,0.623251,0.265279,0.560000,0.732422,0.716530,0.684063,0.735607,0.893719,0.996373,1.000000,1.000000,1.000000,1.000000,1.000000,0.546667,0.546000,0.542857,0.534444,0.518182,0.506923,0.494000,0.473333,1.000000
2020-10-18,0.639308,0.637814,0.229729,0.550000,0.728126,0.725436,0.690704,0.734823,0.890124,0.994604,1.000000,1.000000,1.000000,1.000000,1.000000,0.543333,0.544000,0.542857,0.542222,0.529091,0.516923,0.504000,0.475333,1.000000
2020-10-19,0.650618,0.648544,0.218303,0.550000,0.725666,0.733549,0.698990,0.733137,0.886041,0.993429,1.000000,1.000000,1.000000,1.000000,1.000000,0.553333,0.548000,0.547143,0.544444,0.537273,0.523077,0.512667,0.477667,1.000000
2020-10-20,0.659317,0.660587,0.210335,0.560000,0.727361,0.738582,0.705826,0.731524,0.882119,0.991740,1.000000,1.000000,1.000000,1.000000,1.000000,0.553333,0.548000,0.547143,0.545556,0.544545,0.533077,0.522000,0.479000,1.000000
2020-10-21,0.607395,0.602823,0.227102,0.610000,0.721464,0.736949,0.706821,0.728209,0.877337,0.989363,1.000000,1.000000,1.000000,1.000000,1.000000,0.573333,0.566000,0.558571,0.555556,0.551818,0.544615,0.531333,0.483333,1.000000
2020-10-22,0.634583,0.628353,0.245788,0.730000,0.723352,0.736784,0.709077,0.725057,0.873461,0.987547,1.000000,1.000000,1.000000,1.000000,1.000000,0.633333,0.600000,0.582857,0.574444,0.568182,0.563846,0.551333,0.494667,1.000000
2020-10-23,0.670699,0.669712,0.319841,0.740000,0.728800,0.737367,0.711020,0.723940,0.869303,0.985421,1.000000,1.000000,1.000000,1.000000,1.000000,0.693333,0.638000,0.614286,0.597778,0.588182,0.580000,0.570000,0.505000,1.000000
2020-10-24,0.649611,0.647997,0.363523,0.730000,0.728625,0.736034,0.712720,0.725508,0.864949,0.983184,1.000000,1.000000,1.000000,1.000000,1.000000,0.733333,0.674000,0.638571,0.616667,0.603636,0.593846,0.586667,0.516333,1.000000
2020-10-25,0.649899,0.649877,0.286927,0.760000,0.726991,0.736065,0.714261,0.725844,0.860833,0.981382,1.000000,1.000000,1.000000,1.000000,1.000000,0.743333,0.714000,0.668571,0.643333,0.624545,0.612308,0.602000,0.526333,1.000000
2020-10-26,0.636645,0.635391,0.237019,0.750000,0.732067,0.735649,0.715419,0.727844,0.857207,0.979696,1.000000,1.000000,1.000000,1.000000,1.000000,0.746667,0.742000,0.697143,0.664444,0.641818,0.626923,0.615333,0.536333,0.000000
2020-10-27,0.612553,0.611248,0.289192,0.610000,0.728244,0.734670,0.716602,0.729010,0.853325,0.977747,1.000000,1.000000,1.000000,1.000000,1.000000,0.706667,0.718000,0.704286,0.671111,0.650000,0.633077,0.621333,0.541000,0.000000
