date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2020-10-05,0.431982,0.441409,0.066139,0.420000,0.527083,0.588410,0.654666,0.930079,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.413333,0.420000,0.434286,0.437778,0.440909,0.436154,0.436000,0.433000,0.000000
2020-10-06,0.439337,0.448135,0.090344,0.470000,0.523709,0.580875,0.646769,0.915987,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.436667,0.424000,0.437143,0.437778,0.441818,0.439231,0.435333,0.435000,0.000000
2020-10-07,0.393947,0.402438,0.080291,0.430000,0.513796,0.570916,0.636955,0.904054,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.440000,0.428000,0.428571,0.437778,0.440000,0.442308,0.438000,0.435667,0.000000
2020-10-08,0.399169,0.407687,0.075647,0.460000,0.509528,0.558696,0.626822,0.892970,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.453333,0.440000,0.430000,0.438889,0.439091,0.442308,0.440000,0.437333,0.000000
2020-10-09,0.432515,0.440196,0.104863,0.480000,0.511238,0.553332,0.619926,0.882581,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.456667,0.452000,0.440000,0.437778,0.443636,0.444615,0.446000,0.440667,0.000000
2020-10-10,0.481784,0.491595,0.121474,0.530000,0.521005,0.554461,0.614980,0.873685,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.490000,0.474000,0.458571,0.446667,0.450909,0.449231,0.450667,0.445667,1.000000
2020-10-11,0.487419,0.497811,0.104771,0.550000,0.530434,0.557665,0.613310,0.868351,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.520000,0.490000,0.477143,0.462222,0.456364,0.458462,0.457333,0.450333,1.000000
2020-10-12,0.506626,0.517504,0.096115,0.520000,0.552531,0.564111,0.613020,0.860291,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.533333,0.508000,0.491429,0.475556,0.462727,0.463846,0.460667,0.454000,1.000000
2020-10-13,0.542041,0.552009,0.153415,0.560000,0.580550,0.576675,0.613741,0.854352,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.543333,0.528000,0.504286,0.491111,0.476364,0.469231,0.469333,0.460000,1.000000
2020-10-14,0.520178,0.529722,0.114611,0.530000,0.597741,0.586674,0.615962,0.847904,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.536667,0.538000,0.518571,0.503333,0.488182,0.475385,0.474667,0.464667,1.000000
2020-10-15,0.514918,0.524453,0.104300,0.560000,0.604239,0.595278,0.617765,0.842684,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.550000,0.544000,0.532857,0.513333,0.500909,0.486923,0.479333,0.467667,1.000000
2020-10-16,0.503261,0.512727,0.088215,0.520000,0.607346,0.601910,0.620003,0.835725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.536667,0.538000,0.538571,0.523333,0.510000,0.496154,0.484000,0.470667,1.000000
