,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,10-06-2021,72838.97238300573,8470690121459.452,1222219567900.2834,2359305.4473333335,18829.96479374111,4018
1,09-06-2021,69782.26358230492,8118498623561.426,1334469005274.0398,2354345.2423333335,18818.96495908929,4018
2,08-06-2021,71319.81272799749,8287342407556.562,1033255819183.8896,2349187.826923077,18583.96529013884,4018
3,07-06-2021,74705.85726769638,8679798684995.353,800361020120.5132,2342858.2576666665,17795.965959721972,4018
4,06-06-2021,72316.84571704279,8341095809097.114,956925085227.275,2336058.727,19375.96613190731,4018
5,05-06-2021,74237.99136304099,8623436817322.343,1101973860669.9922,2324630.8486666665,19375.966304154037,4018
6,04-06-2021,79035.63822806017,9234655147273.527,1053651094071.1176,2312984.8653846155,19377.966113786337,4018
7,03-06-2021,75183.65219575936,8724720234811.617,1083248860054.9441,2302921.814769231,18648.966274089937,4018
8,02-06-2021,72681.0670809017,8461390318562.574,1101501945460.009,991096.1293333333,18073.965012495537,4018
9,01-06-2021,74514.04891630706,8651480688638.817,1222789196603.9163,2285646.7813846157,18076.965012495537,4018
10,31-05-2021,66209.40156000253,7690012800360.415,1033328473829.5155,2278521.0,18076.964833987862,4023
11,30-05-2021,63411.9974001461,7424776353151.68,1302748421152.1062,2272123.4703333336,19339.965357142857,4259
12,29-05-2021,67245.04320441009,7799384816781.504,1367753400887.7322,2264568.2873333334,19339.96570203644,4259
13,28-05-2021,76316.31742222256,8880083686654.082,1226135377254.8887,2257774.591,18464.965338574235,4259
14,27-05-2021,79790.02032395656,9256495100712.273,1470282426571.3765,2250059.435230769,16909.964234620886,4259
15,26-05-2021,75027.5465708871,8701655900252.116,2573829312480.831,2241707.352230769,16872.96403650027,4259
16,25-05-2021,73970.66985917345,8574646948120.593,2059175754796.7825,2231129.333,13189.9636786545,4259
17,24-05-2021,59283.15207306416,6824999783638.162,2176656049093.9194,2219106.159,16457.963851109518,4259
18,23-05-2021,64496.05801805198,7508506096533.282,2867032910285.6865,2207882.5833333335,16457.963844639344,4259
