,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,10-06-2021,644.7366724270685,647721326877.5616,40362017352.92912,490446.6093076923,0,17770
1,09-06-2021,603.5558691071607,604501893151.5122,46891486023.51897,488025.0090909091,0,17770
2,08-06-2021,591.3725982868384,597111306741.5109,35382799680.93541,25908.781818181815,0,17770
3,07-06-2021,665.2434168184477,665541685574.1958,23231130654.256516,25845.12146153846,0,17770
4,06-06-2021,656.1614680214038,652431082087.7477,39006408995.25543,484084.6923076923,0,17770
5,05-06-2021,691.5631168775764,691133118729.387,53788317996.7761,482480.57566666673,0,17770
6,04-06-2021,753.0868928470679,753229313162.9412,56957558615.36997,480704.76533333334,0,17770
7,03-06-2021,724.04875923347,722919691743.5804,59188594366.305046,478858.55266666674,0,17770
8,02-06-2021,632.2820049694021,632193751907.8549,42930052448.710686,476789.864,0,17770
9,01-06-2021,641.7999619681225,639503203350.5518,52726547273.037155,25564.37933333333,0,17770
10,31-05-2021,564.5311455406352,562224674698.6191,38326432634.745514,25487.19230769231,0,17703
11,30-05-2021,550.4399179944216,553719738509.0669,45313472738.64867,470876.17307692306,0,16321
12,29-05-2021,593.1648525201676,591177646100.4668,87428993113.5479,469181.569,0,16321
13,28-05-2021,667.5691550377353,668368333133.5338,54355328652.659386,467479.19733333326,0,16321
14,27-05-2021,682.7123815725755,678978421257.1315,63553704281.30499,465426.57692307694,0,16321
15,26-05-2021,612.2985453594185,610626101367.3915,72191212463.90811,463026.6538461539,0,16321
16,25-05-2021,646.3148475346818,643790479925.2888,92308091666.33238,25150.46153846154,0,16321
17,24-05-2021,504.89261051559265,498587610690.0925,118580022245.40521,25011.083333333332,0,16321
18,23-05-2021,614.8351630347413,611305747094.3518,84652393962.36182,454376.5603333333,0,16321
19,22-05-2021,667.9793805288724,667105784505.1615,126879631889.21893,451774.341,0,16321
20,21-05-2021,810.109402591868,799944711035.3407,136677243037.72922,448974.9243333333,0,16321
21,20-05-2021,712.924082743731,731211428085.1969,207627383284.59183,445429.5306666667,0,16321
22,19-05-2021,1141.1746358484418,1138830241011.5688,82951703391.20059,441771.9233333333,0,16321
23,18-05-2021,1078.9025154553347,1084775295766.6635,100730690088.19801,24254.115384615387,0,16321
24,17-05-2021,1188.7721316137795,1172420112890.2512,98259312473.8871,24139.076923076922,0,16321
25,16-05-2021,1208.167474543154,1199302828513.075,158630527617.19302,427828.07692307694,0,16321
26,15-05-2021,1324.0421279576894,1305328122373.528,122779253797.58005,422562.1666666667,0,16901
27,14-05-2021,1121.002113296369,1109193085801.7917,168510347672.77078,416087.8333333333,0,16901
28,13-05-2021,991.3533540671152,1012977151210.7296,92439047249.51988,410375.23076923075,0,16901
29,12-05-2021,1078.99116883175,1067369093563.7786,55251512658.23788,403593.76923076925,0,16901
30,11-05-2021,1018.24764401354,1009440938307.9603,75991758020.44766,23862.416666666668,0,16901
31,10-05-2021,1119.1836635607876,1109609144558.7559,54447454484.07158,23821.583333333332,0,16901
32,09-05-2021,1098.9316621620178,1086525682523.0521,42684651401.82817,390993.07692307694,0,16901
33,08-05-2021,1106.8314088291238,1094295594111.3972,72471570378.09819,387653.3333333333,0,16901
34,07-05-2021,1160.846775576941,1151939063668.742,100432794607.69838,383960.3333333333,0,16901
35,06-05-2021,1131.5779111333654,1117773788209.2202,80955610300.83934,380617.8653846154,0,16901
36,05-05-2021,967.3760966632634,968664306332.0372,64065699233.27553,376891.0272727273,0,16901
37,04-05-2021,1042.003042901173,1032898456669.1466,45944903548.29311,23570.5,0,16901
38,03-05-2021,1020.5266650504632,1007891706952.9216,36310025419.13495,23478.53846153846,0,16901
39,02-05-2021,1027.9638689438223,1016596413068.2258,39871394011.326805,366116.0,0,16901
40,01-05-2021,1018.4998831424801,1007502923696.4279,57215669668.72099,363067.87933333335,0,16901
41,30-04-2021,997.4896939644276,979183379366.3358,46600541955.52048,360186.4929230769,0,15695
42,29-04-2021,946.7002151089977,932120847704.5085,48099103155.29925,357106.3846153846,0,15695
43,28-04-2021,964.2448664429874,951585496063.3802,47665718583.537605,354145.1436666667,0,15695
44,27-04-2021,931.1765434475959,917564662152.7059,57694962853.695656,23288.492923076923,0,15695
45,26-04-2021,834.9792513185037,824200997208.9121,40018033987.007545,23177.32084615385,0,15695
46,15-04-2021,1206.0479642124933,1187050872611.3896,68094616497.49511,318336.6818181818,0,15426
47,14-04-2021,1228.504882659987,1205652483607.5103,61366355796.31422,315451.568,0,15426
48,13-04-2021,1152.148761587466,1133427143507.7666,40528055992.80564,21881.37246153846,0,15426
49,12-04-2021,1179.9098147144205,1160096996739.6228,34794245615.29792,21795.67915384615,0,15426
50,11-04-2021,1183.4987879573869,1161611995259.307,37045825817.45421,307590.01533333334,0,15426
51,10-04-2021,1160.5694273890874,1140774773275.6018,30276953040.092094,304849.1666666667,0,15426
52,09-04-2021,1176.8762417195583,1155778740933.2039,39402659357.45591,302274.17307692306,0,15426
53,08-04-2021,1127.510716237443,1112732573928.816,68296674873.96585,299832.6346153846,0,15426
54,07-04-2021,1235.3701052384533,1214382165703.318,64025828103.194626,297072.3532307693,0,15426
55,06-04-2021,1295.3669367150198,1253118526513.1316,59684574302.63451,293193.31033333327,0,15426
56,05-04-2021,1262.850605090733,1228560153670.855,62898282496.0991,21253.23076923077,0,15426
57,04-04-2021,1190.3902597032056,1171384128666.476,112861450504.37201,288850.6032307693,0,15426
58,03-04-2021,1168.7632685018345,1143044469893.3523,60221659423.488014,286104.569,0,15426
59,02-04-2021,1072.336746345184,1052037830828.0424,60199275621.69987,282381.87166666664,0,15426
60,01-04-2021,1047.2415202792724,1030983229584.7678,78064630579.42586,279469.6538461539,0,15426
61,31-03-2021,965.3722097340578,944742028312.9641,27661735561.72665,276918.1538461539,0,15422
62,30-03-2021,979.435209570597,955016054765.2323,23906373048.557293,20433.51923076923,0,15796
63,29-03-2021,920.308672673314,900223644867.9553,24966058984.234207,20340.477,0,15796
64,28-03-2021,933.2707897676978,913986996024.5526,30952955741.142498,276963.96266666666,0,15796
65,27-03-2021,947.7398135935958,925243413867.4772,37254706511.93145,274275.25,0,15796
66,26-03-2021,849.9623865136097,830984236668.0437,68098464104.12063,271883.3103333333,0,15796
67,25-03-2021,868.6824523450877,853759034942.8877,55113546127.614555,20063.781818181815,0,15796
