date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2021-06-25,5888.110893627671,75627884498.98227,7386190154.29756,0.0,14216,27
2021-06-24,5821.7848362073,74444027556.36993,9805820530.835684,254906795.0,14216,22
2021-06-23,5725.556794776033,72994506000.46466,16543486386.98608,254459023.0,14216,14
2021-06-22,6028.052145852832,77882783888.11655,10817380796.899405,11458.697333333334,14216,10
2021-06-21,7619.578645013158,97515087065.75671,6891500575.562258,11415.0,14216,23
2021-06-20,7114.454304825784,90977285031.76295,4153359868.6961102,252157.5131538461,14216,21
2021-06-19,7356.86945912476,94225704192.9746,6349865906.407515,251617.10223076923,14216,23
2021-06-18,8120.978297007459,103491024099.53333,4115178063.80912,250945.23684615383,14216,25
2021-06-17,8047.8584978553745,102803406284.78418,5017616725.8228855,250104.0,14216,26
2021-06-16,8652.04425153776,110869558711.72812,6151798514.465905,249270091.0,14216,33
2021-06-15,8794.847645085743,112595833094.36436,10314867118.657637,11165.243923076923,14216,38
2021-06-14,8777.927179987504,111731373668.83722,9311723555.636229,11121.852230769233,14216,28
2021-06-13,7721.596978817023,99696030242.3764,7011756143.255595,246229.0131538461,14216,23
2021-06-12,7880.791654687596,100896632600.28314,6720123802.442507,11027.80909090909,14216,28
2021-06-11,8609.192943915967,110176982153.49068,6508797299.215682,10980.445454545454,14216,21
2021-06-10,9398.86638445366,120342853808.60088,10351462974.436125,243814.96761538464,14216,21
2021-06-09,9139.651108102473,117362382302.868,11213863542.222874,242929.89366666667,14216,14
2021-06-08,9204.50990343628,119041679048.79317,9683340371.724949,10849.121666666666,14216,13
2021-06-07,10060.452824747888,128631896655.86938,5682203369.587394,10820.26923076923,14216,15
2021-06-06,9804.240977941445,124622363675.34846,9631961643.89588,239830.23466666663,14216,17
2021-06-05,10326.79380709785,132431589955.3954,12108465080.765009,238822.17433333333,14216,24
2021-06-04,11013.817671456727,141551493901.7198,10250110668.175776,237661.7653333333,14216,27
2021-06-03,10691.925043651623,136695382094.27193,11505379354.468512,236233.5516153846,14216,24
2021-06-02,10307.406743310075,132098829411.43452,16453666858.664503,235195568.0,14216,23
2021-06-01,10543.355870685577,134795317727.4273,19525635970.232933,10520.992333333334,14216,20
2021-05-31,8974.341891481596,114906728829.11166,11291418520.068176,10456.974692307693,14216,18
2021-05-30,8249.186517617927,106268426897.7254,12683827600.676489,232047.92915384617,14216,10
2021-05-29,8862.201193060608,113321010110.12724,19128899133.42887,231182.48466666663,14216,18
2021-05-28,10384.104053161656,133206068580.8528,17832502339.137207,230283023.0,14216,21
2021-05-27,11454.753636446763,144503772321.53284,23712273928.59372,229241.93523076925,14216,27
2021-05-26,10375.00504985044,133136990613.4865,24070094471.742123,228059.03846153847,14216,22
2021-05-25,10779.6773125264,137624537166.48434,34921680907.107994,10237.153846153846,14216,22
2021-05-24,8292.348183823122,105065413056.48036,34981885042.628296,10179364.0,14216,10
