date,price,market_cap,volume,fear_greed
2021-07-09,24.244184,75465152231.289474,5539580972.584862,20.000000
2021-07-08,25.259718,78654030007.940170,5003024887.128739,20.000000
2021-07-07,25.470172,79241230686.192749,5716546515.272221,28.000000
2021-07-06,24.701173,76880981291.995621,5249339966.834321,20.000000
2021-07-05,24.656707,76763046343.612762,3796039954.228831,29.000000
2021-07-04,24.409078,75886149763.833984,3897871656.662346,27.000000
2021-07-03,23.538668,73022382748.943054,4961557792.338140,24.000000
2021-07-02,23.547704,72895003410.027740,5972994851.690077,21.000000
2021-07-01,24.568559,76415833226.165421,6648846026.485777,28.000000
2021-06-30,24.612426,76768584040.018723,6377999528.786670,28.000000
2021-06-29,23.519408,72201029397.812820,6088585092.462297,25.000000
2021-06-28,23.259040,71748310721.669724,6452727026.636535,25.000000
2021-06-27,22.417368,68906447636.171310,7168653278.640329,22.000000
2021-06-26,22.539347,69789749717.596405,7855236802.659457,20.000000
2021-06-25,24.356055,75386851595.284668,7019200711.055904,27.000000
2021-06-24,0.000000,0.000000,0.000000,
2021-06-23,20.798881,64054208232.994698,11379701313.557043,14.000000
2021-06-22,21.322713,66706157341.348114,9409359122.031055,10.000000
2021-06-21,26.086053,80769800544.102142,6982262619.185371,23.000000
2021-06-20,26.161145,80815263642.859802,6774730338.722577,21.000000
2021-06-19,27.380928,84576426286.759811,8110440694.201487,23.000000
2021-06-18,29.451676,90432884173.349380,7891178816.393343,25.000000
2021-06-17,28.110733,85722081900.711182,8015077445.898683,26.000000
2021-06-16,28.497050,88817986009.704010,8158884736.864804,33.000000
2021-06-15,29.152308,89749124405.616180,8460007982.556441,38.000000
2021-06-14,28.819175,88755948621.895020,8195836852.835019,28.000000
2021-06-13,27.242195,84400083174.542572,9719637136.235128,23.000000
2021-06-12,26.869765,82729266860.748459,11080622746.235260,28.000000
2021-06-11,28.524005,87500706012.742203,10504919976.878431,21.000000
2021-06-10,29.067792,89429719293.420654,15243095698.410828,21.000000
2021-06-09,26.143588,80341300108.470383,10188583718.595406,14.000000
2021-06-08,26.355512,81849189440.679428,7723496377.546483,13.000000
2021-06-07,28.222587,86349299110.698380,6465142306.739337,15.000000
2021-06-06,26.762967,81787383131.785599,8580913470.759173,17.000000
2021-06-05,28.283692,86809163384.778336,10347853328.859928,24.000000
2021-06-04,30.880335,94954203659.428741,11462432320.997801,27.000000
2021-06-03,28.374479,86862600817.126511,10031067609.557924,24.000000
2021-06-02,24.788303,76158942055.871414,7845061415.903996,23.000000
2021-06-01,25.670382,78650001746.080109,8349788777.943243,20.000000
2021-05-31,23.375836,71320156658.667328,7697786569.151014,18.000000
2021-05-30,23.202364,71238127550.625107,8564544757.995914,10.000000
2021-05-29,24.912409,75720372719.703369,10413915552.066813,18.000000
2021-05-28,27.064489,82255521541.818878,9607656252.556684,21.000000
2021-05-27,28.436185,86535939683.268738,11465975954.953209,27.000000
2021-05-26,27.164450,83251808296.394501,12378037942.022896,22.000000
2021-05-25,27.270261,83320572620.835052,12785678057.856775,22.000000
2021-05-24,23.184205,70350314095.102936,14794655302.680716,10.000000
2021-05-23,27.292774,83442774745.239410,12758566521.405573,14.000000
2021-05-22,27.253428,82708847680.251984,14632757238.817163,12.000000
2021-05-21,30.845906,92360340242.804001,18594640397.744122,19.000000
2021-05-20,26.722930,82194067842.326965,22193943194.778160,11.000000
2021-05-19,38.375038,115918807177.547302,13846118049.783159,23.000000
2021-05-18,35.967459,110202934551.772354,18565108892.350639,21.000000
2021-05-17,39.362355,118803942658.593063,21799332639.870064,27.000000
2021-05-16,38.654253,117697230613.664841,22780525200.745697,20.000000
2021-05-15,41.421973,126215931868.759644,17546157379.627472,27.000000
2021-05-14,38.048132,114108196060.123596,20487698259.645561,26.000000
2021-05-13,35.516266,113617692750.273315,13876455884.383196,31.000000
2021-05-12,41.244768,124495613408.475082,14364547386.131657,68.000000
2021-05-11,38.239982,116017846756.383194,13905188702.250454,61.000000
2021-05-10,41.912208,126652365501.911163,13285259294.166794,72.000000
2021-05-09,42.056480,125726103493.257233,13315294509.969543,73.000000
2021-05-08,43.702817,129945642820.824524,20717975014.974945,67.000000
2021-05-07,42.836037,126995973882.678680,19342962136.673126,64.000000
2021-05-06,40.258111,118777352176.818314,12809134765.086746,65.000000
2021-05-05,35.993073,107439155343.193756,14004324773.617147,48.000000
2021-05-04,40.269963,119302163548.877686,10309441253.939133,68.000000
2021-05-03,38.580572,114199323317.485382,9612281594.689323,61.000000
2021-05-02,38.770204,114661951165.783401,8736548137.023321,66.000000
2021-05-01,39.110335,115131924282.965302,12422921789.747822,68.000000
2021-04-30,36.762555,108420072173.935242,12830204836.755713,51.000000
2021-04-29,35.862970,105559485562.947342,10649847459.940067,52.000000
2021-04-28,36.329149,107033674412.424118,11174853761.344980,59.000000
2021-04-27,34.456907,101086176870.511780,11649297917.813051,50.000000
2021-04-26,30.743998,90355787423.864624,9432670918.975098,27.000000
2021-04-25,30.794252,90441866881.497116,9490387998.820145,31.000000
2021-04-24,32.664961,95183564679.508316,21646799698.703484,37.000000
2021-04-23,32.823707,95816886456.574112,17026635262.174747,55.000000
2021-04-22,34.195748,99061144711.933441,18041924842.556984,65.000000
2021-04-21,36.199035,104399741681.882126,19627613692.403801,73.000000
2021-04-20,36.703925,105210193117.754684,17779376303.811405,73.000000
2021-04-19,41.273151,118226576734.817993,28784256124.545567,74.000000
2021-04-18,47.753394,134875948129.023956,30792075171.790482,79.000000
2021-04-17,42.579551,119928290767.856461,15327532910.253138,76.000000
2021-04-16,44.446490,123870449660.507660,16228164879.142956,78.000000
2021-04-15,41.491481,114771824033.859558,14750715176.874104,79.000000
2021-04-14,42.961138,117716669406.046036,15291277761.517132,75.000000
2021-04-13,42.343270,115753125240.028961,17267413931.937382,74.000000
2021-04-12,43.030070,115537670693.168625,15742559723.019394,74.000000
2021-04-11,39.656584,106142774171.405075,13299806102.783655,76.000000
