date,price,market_cap,volume,fear_greed
2021-08-22,1230.047145,213283082359.569427,51983892958.597466,76.000000
2021-08-21,1077.330145,186088161938.914398,24341565604.920609,78.000000
2021-08-20,0.000000,0.000000,0.000000,
2021-08-19,0.000000,0.000000,0.000000,
2021-08-18,0.000000,0.000000,0.000000,
2021-08-17,0.000000,0.000000,0.000000,
2021-08-16,520.502982,90279110553.413513,2390548319.595257,72.000000
2021-08-15,501.430536,87186030874.357452,2752936656.807642,71.000000
2021-08-14,503.733142,87473022213.372269,2854854175.991348,76.000000
2021-08-13,459.369978,79710209678.685028,2762238773.647281,70.000000
2021-08-12,464.407661,80540382073.887390,3047641276.828511,70.000000
2021-08-11,458.411309,79377334781.077393,3150626267.543231,70.000000
2021-08-10,447.157187,77113699946.833420,3544924305.659490,71.000000
2021-08-09,410.690291,71242201187.357712,1986288622.429081,65.000000
2021-08-08,436.192882,75091941511.747955,3108347952.029083,74.000000
2021-08-07,411.630457,71420641470.129761,2499307467.962690,69.000000
2021-08-06,383.901329,66607833968.142036,1731961483.735400,52.000000
2021-08-05,378.642910,65676246559.091270,1589107037.796914,50.000000
2021-08-04,352.004941,61134273128.817871,1929516816.992451,42.000000
2021-08-03,364.968223,63354361100.476898,1680340461.857464,48.000000
2021-08-02,358.308849,62114603009.082443,2717904080.285089,48.000000
2021-08-01,377.500279,65502047426.513199,2054493679.765671,60.000000
2021-07-31,361.660461,62708709898.595299,2053322377.762100,60.000000
2021-07-30,345.207147,59969662883.268410,2069766254.984066,53.000000
2021-07-29,341.896010,58942330321.265205,2055179534.789250,50.000000
2021-07-28,331.692696,57051478264.778152,1572098399.736182,50.000000
2021-07-27,320.428230,55431000279.128654,2681917076.574346,32.000000
2021-07-26,316.824194,54615531944.976402,980924658.519268,26.000000
2021-07-25,312.993560,53956007317.753128,1223942415.001360,27.000000
2021-07-24,310.051639,53480035782.626526,1020204427.937031,22.000000
2021-07-23,305.194118,52616658092.045479,1116962902.147420,23.000000
2021-07-22,293.317296,50395032654.168930,1412810559.461202,21.000000
2021-07-21,270.856534,46644138231.766014,1198766542.175230,10.000000
2021-07-20,289.394371,49903553629.554657,876603402.666745,19.000000
2021-07-19,303.114003,52227123692.351898,870352626.716246,24.000000
2021-07-18,306.345080,52910814143.589828,837908052.149654,19.000000
2021-07-17,304.531385,52419181924.881416,1376187690.929821,15.000000
2021-07-16,316.621954,54788586879.762642,1143422223.063180,22.000000
2021-07-15,330.215230,56952514838.766144,1507259555.154880,20.000000
2021-07-14,333.295381,57557889787.696083,1501846231.943942,21.000000
2021-07-13,342.073339,58943722720.563904,1765153320.506008,20.000000
2021-07-12,346.615571,59692931618.381470,1008460066.285809,25.000000
2021-07-11,338.706580,58399166728.264793,1122362105.212992,20.000000
2021-07-10,353.855040,60895385528.239983,2121334727.440146,20.000000
2021-07-09,341.189986,58827741291.242729,2301242616.140811,20.000000
