date,price,market_cap,volume,fear_greed
2021-10-08,1508159.427013,28410150775236.320312,1022791772042.246460,74.000000
2021-10-07,1549735.939752,29215285742870.769531,1355299046325.130615,76.000000
2021-10-06,1440583.227969,27129355789297.183594,989227081427.803223,68.000000
2021-10-05,1374252.109248,25883917543508.792969,912028267504.171997,59.000000
2021-10-04,1340769.825547,25278992532399.359375,722954656391.162354,54.000000
2021-10-03,1326788.451269,25009175572713.164062,825938877563.540161,49.000000
2021-10-02,1338010.704090,25185436155252.585938,1168822171181.073975,54.000000
2021-10-01,1221539.294184,23037158375678.816406,859488874371.390503,27.000000
2021-09-30,1157368.161541,21775560940442.078125,836799623905.887817,20.000000
2021-09-29,1138165.002907,21523552516354.601562,824043467531.526123,24.000000
2021-09-28,1168937.903178,21993731362782.191406,843435105663.912964,25.000000
2021-09-27,1202251.160996,22896475952836.382812,845099402833.166138,26.000000
2021-09-26,1188900.590482,22422640963527.921875,857150833889.957397,27.000000
2021-09-25,1185996.447208,22464060844062.312500,1192124538989.533936,28.000000
2021-09-24,1246542.137958,23462007449063.566406,931001243566.944336,33.000000
2021-09-23,1208189.833430,22742270715325.128906,1015183469809.978027,27.000000
2021-09-22,1120042.273664,21099246663563.070312,1274065701738.865479,21.000000
2021-09-21,1192672.963141,22386016663186.125000,1145088185096.204102,27.000000
2021-09-20,1316772.780322,24782700025833.261719,727257563344.818237,50.000000
2021-09-19,1341667.432742,25238481627986.484375,768044345759.126709,53.000000
2021-09-18,1312815.012437,24811190386828.742188,770844421550.118408,50.000000
2021-09-17,1328717.631273,25003658240208.246094,876352291068.217896,48.000000
2021-09-16,1331302.345665,25051165496564.625000,829887802191.413940,53.000000
2021-09-15,1303549.226012,24518949004730.097656,1068758861557.050049,49.000000
2021-09-14,1248161.503930,23475407035504.195312,1124926367315.192627,30.000000
2021-09-13,1278013.765706,24044710739720.453125,763176445001.703247,44.000000
2021-09-12,1250338.249955,23510073112978.507812,945027003163.129883,32.000000
2021-09-11,1239441.704822,23299668124562.343750,1052689214837.590454,31.000000
