date,price,market_cap,volume,fear_greed
2021-07-10,37.937956,1216252786395.823486,40089612297.009102,20.000000
2021-07-09,37.735199,1210651251051.099854,42784575695.294136,20.000000
2021-07-08,39.108653,1253825003907.902100,43893283327.089165,20.000000
2021-07-07,39.450401,1265198922389146.000000,66401799871.994080,28.000000
2021-07-06,39.593981,1273645131512423.000000,77989334826.678970,20.000000
2021-07-05,40.718759,1308968531179.509521,61752200890.598015,29.000000
2021-07-04,39.347445,1257753713660.679932,74393244246.160706,27.000000
2021-07-03,38.942032,1243810745978.646729,88860856420.688889,24.000000
2021-07-02,37.311906,1202191782517.457520,85813560028.076721,21.000000
2021-07-01,38.562795,1236926779771483.000000,94770712458.903366,28.000000
2021-06-30,38.242907,1231204009299721.000000,98281244980.166916,28.000000
2021-06-29,37.068687,1184136071734.477539,87909964114.774841,25.000000
2021-06-28,37.476450,1202870058050.469482,91855783582.158569,25.000000
2021-06-27,34.797487,1113331644970.505127,119869832276.763794,22.000000
2021-06-26,35.601623,1143631308094.589111,144903467167.747894,20.000000
2021-06-25,37.866782,1214748405930.350342,117787550364.016357,27.000000
2021-06-24,0.000000,0.000000,0.000000,
2021-06-23,32.147393,1024049654877.907837,192175676939.515198,14.000000
2021-06-22,33.083818,1074068709682.825806,136850862431.695282,10.000000
2021-06-21,39.878063,1278523052793.545654,86350451542.639343,23.000000
2021-06-20,38.640666,1240826340004.276855,66885088743.070061,21.000000
2021-06-19,39.444286,1269294072146.876221,79051260248.302933,23.000000
2021-06-18,41.201445,1314617851154.221191,67348260900.167412,25.000000
2021-06-17,41.132725,1317518127444.402832,80068689135.226212,26.000000
2021-06-16,43.200472,1389727836124.640625,83388586472.589264,33.000000
2021-06-15,43.505446,1394026099958.287598,97171974117.717407,38.000000
2021-06-14,43.332077,1381179772351.376709,112818476786.425766,28.000000
2021-06-13,41.012783,1319584072756.094482,105879185445.662201,23.000000
2021-06-12,39.750622,1270327656310.629883,91464336792.672989,28.000000
2021-06-11,42.245862,1363638398173.658203,94059526052.568237,21.000000
2021-06-10,45.080255,1454776829255.994385,120819400398.547424,21.000000
2021-06-09,43.652464,1400533483797.088867,142415131084.344666,14.000000
2021-06-08,42.923956,1399920707463.275146,84760119522.663925,13.000000
2021-06-07,46.302962,1479659115429.030762,67167302999.409950,15.000000
2021-06-06,45.709866,1462437099914.988281,105148949439.914200,17.000000
2021-06-05,47.117695,1508911513200.729980,145101791514.547394,24.000000
2021-06-04,50.908639,1639839961805.447510,120068294915.792801,27.000000
2021-06-03,48.645627,1563305768681.818115,119291993982.503754,24.000000
2021-06-02,47.991249,1545009748343.474365,137917717607.024231,23.000000
2021-06-01,47.975898,1538413879373.098633,149196237957.015747,20.000000
2021-05-31,43.576154,1393205646530.292480,161168921653.664795,18.000000
2021-05-30,39.122448,1267005152784.856689,134366622113.898285,10.000000
2021-05-29,41.877613,1342863900053.873291,166098810540.363770,18.000000
