date,price,market_cap,volume,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2019-10-20,1.190700,37028863150.826317,1943142634.144825,37.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-21,1.206205,37505086232.100494,1652402770.767203,37.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-22,1.196425,37256473737.220337,1566456135.228198,39.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-23,1.179987,36707497438.820580,1629990091.736916,33.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-24,1.112695,34605838472.074562,2045379371.129610,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-25,1.139325,35448958292.239845,1880470583.380089,24.000000,1.166927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.666667,30.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-26,1.256641,39058808095.915619,3311923756.838334,53.000000,1.177015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.333333,33.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-27,1.241839,38576237326.908081,5256756976.600822,50.000000,1.186097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.333333,36.000000,36.571429,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-28,1.286631,40030286570.086243,5411669514.260245,52.000000,1.207426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.666667,39.800000,38.714286,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-29,1.290382,40157779325.900963,4509230969.741580,54.000000,1.242964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.000000,46.600000,40.857143,40.222222,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-30,1.318069,40980874769.822250,3630297606.408863,53.000000,1.278712,1.222820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.000000,52.400000,43.714286,42.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2019-10-31,1.267426,39384925009.542442,3866465619.290172,50.000000,1.280869,1.228942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.333333,51.800000,48.000000,43.222222,42.272727,0.000000,0.000000,0.000000,1.000000
2019-11-01,1.261483,39271167861.894638,3087830335.444934,49.000000,1.284798,1.235448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.666667,51.600000,51.571429,45.000000,43.363636,0.000000,0.000000,0.000000,1.000000
