date,price,market_cap,volume,fear_greed
2021-11-21,790.443875,368578744967.738098,21520945542.884960,49.000000
2021-11-20,790.405383,367312014246.828979,25938674477.360497,43.000000
2021-11-19,735.999786,342614931833.924866,31224146723.344856,34.000000
2021-11-18,812.511907,376580844472.318176,28262254983.189140,54.000000
2021-11-17,817.925726,380980834174.602051,45850300712.184647,52.000000
2021-11-16,893.778654,416873047720.849915,22039196731.308300,71.000000
2021-11-15,942.664659,435835692352.834473,19240147735.186001,72.000000
2021-11-14,949.509348,441705738020.905579,21397010184.112183,74.000000
2021-11-13,956.555631,443957208558.499207,40111592280.272598,72.000000
2021-11-12,970.633821,450671757860.034546,50336773824.360962,74.000000
2021-11-11,952.274425,438484161825.444946,73303001179.993713,77.000000
2021-11-10,940.811316,437663630561.508789,35097760555.979546,75.000000
2021-11-09,960.431676,445784482784.343384,38383630344.343803,84.000000
2021-11-08,901.261917,417351882646.346558,18774142435.953850,75.000000
2021-11-07,893.202158,414152001176.662964,27433045620.021267,73.000000
2021-11-06,918.542841,426080174671.864014,41240736401.938728,71.000000
2021-11-05,865.991210,396550624809.211670,24910908655.584183,73.000000
2021-11-04,887.291642,410099922755.142395,31389210731.588482,73.000000
2021-11-03,900.343680,413172421702.416077,28748553726.937214,76.000000
2021-11-02,880.602672,406770553771.329773,32203310077.653030,73.000000
2021-11-01,835.421990,387199318616.647217,24802887800.389343,74.000000
2021-10-30,862.160772,398088369447.511902,32334292964.509689,73.000000
2021-10-29,838.207035,385701658747.071350,41969232006.604256,70.000000
2021-10-28,804.442418,371572119726.316589,58466883540.536552,66.000000
2021-10-27,902.325842,416169999631.145935,39657848764.259605,66.000000
2021-10-26,905.321651,414632673117.222229,41006691948.578720,76.000000
2021-10-25,829.482829,381245423560.071899,28550060074.624241,72.000000
2021-10-24,874.480459,401674644980.203369,39549085808.110817,73.000000
2021-10-23,801.400752,369372652523.795105,37386345590.353058,73.000000
2021-10-22,790.682941,364616000008.246155,45303807567.370117,75.000000
2021-10-21,765.957676,352704576185.401611,33332400913.632446,84.000000
2021-10-20,722.900338,331963296176.177368,18966335589.983959,84.000000
2021-10-19,718.331500,330463627460.605286,21127637825.089497,82.000000
2021-10-18,741.323538,340362571543.415100,21894788337.893726,78.000000
2021-10-17,765.836246,351411053871.711182,31760235658.558922,79.000000
2021-10-16,757.489748,347429366107.058228,34144801930.510120,78.000000
2021-10-15,747.113482,341561906806.446533,38096844898.884659,71.000000
2021-10-14,715.096561,327123356371.737976,29267903223.803333,70.000000
2021-10-13,693.968948,318168642870.259338,28005760732.224552,70.000000
2021-10-12,707.436481,322555272216.713806,23941788247.659447,78.000000
2021-10-11,719.167620,329329313907.081543,21976814687.170128,71.000000
2021-10-10,770.492798,352624193331.023499,25556464469.146587,71.000000
2021-10-09,737.406955,338089646876.074280,25151276562.872726,71.000000
2021-10-08,752.482973,342628822258.737122,32868773868.873447,74.000000
2021-10-07,752.127466,343276687177.088074,35757639064.857758,76.000000
2021-10-06,760.355034,348630271008.457214,26931845023.888287,68.000000
2021-10-05,742.228816,339933531129.875916,28188159228.590160,
2021-10-04,766.674655,350639420788.751465,25404252962.353687,
2021-10-03,749.074861,342120498037.301636,27078346370.604053,59.000000
2021-10-02,730.640679,332835624131.721924,33594108157.571976,
2021-10-01,666.479146,302209063662.069275,25653699238.337551,
2021-09-30,637.795098,289087161468.794861,26686604626.577599,20.000000
2021-09-29,613.555373,280198447104.753296,28145796470.911507,
2021-09-28,638.763815,290643638664.538208,28602530003.228584,25.000000
2021-09-27,681.130404,309085080003.505066,49946285849.269768,26.000000
2021-09-26,684.294738,309444596357.640381,35924851859.399445,27.000000
2021-09-25,643.441575,298010372823.293457,42895447977.401215,28.000000
2021-09-24,702.830597,318088249749.185669,32042277199.409195,33.000000
2021-09-23,674.422407,304899879762.690247,36191513532.343018,27.000000
2021-09-22,588.219255,267286876205.026489,44746481657.763214,21.000000
2021-09-21,653.577157,295281535090.843506,48468176332.632645,27.000000
2021-09-20,762.666985,345968702561.950500,22752394278.218994,50.000000
2021-09-19,789.673636,357417441512.037292,26955573348.667439,53.000000
2021-09-18,770.033049,350886030530.213623,35863133566.127274,50.000000
2021-09-17,830.327880,375398129038.675354,44792818471.591125,48.000000
2021-09-16,847.376223,381625443989.402954,50077318109.259911,53.000000
2021-09-15,843.171857,382140204074.229065,50559751200.216949,49.000000
2021-09-14,749.846250,338775428478.674133,55810509445.482941,30.000000
2021-09-13,814.193896,368885664329.757629,38218288150.054710,44.000000
2021-09-12,744.945748,336325406500.163025,28502789540.630730,32.000000
2021-09-11,727.919630,328648793876.824097,47720115723.343086,31.000000
2021-09-10,774.341847,349969804615.525879,53457664267.503181,46.000000
2021-09-09,752.155928,340663739672.412964,68267394082.608131,45.000000
2021-09-08,782.586393,351401538889.169250,100131588691.188232,47.000000
2021-09-07,961.296500,432784854061.197266,67046889545.822121,79.000000
2021-09-06,919.390023,413403223127.983704,41702587291.863571,79.000000
2021-09-05,827.567880,373408461965.691223,29719100842.067940,73.000000
2021-09-04,848.236110,380931463213.049927,42978859824.598434,72.000000
2021-09-03,830.319737,372814394269.725586,42950578658.135857,74.000000
2021-09-02,820.217159,368223510702.455933,49037639135.918472,74.000000
