date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2021-06-23,249.7386354805309,59147399959.002754,16436249491.19522,31210.71933333333,46073,14
2021-06-22,270.7876580002257,65439088475.74934,14661992929.915602,31154.06033333333,46073,10
2021-06-21,333.877757687593,80575190975.46288,12176754091.615898,31172.53833333333,46073,23
2021-06-20,331.07170053786774,79021260706.93187,11204838896.06403,190819.5263076923,46073,21
2021-06-19,346.82116311252696,82917114902.96156,13449221667.216286,30998.025307692307,46073,23
2021-06-18,376.5486747295818,89367372327.6558,16810512087.28159,30994.51923076923,46073,25
2021-06-17,368.6100865247398,86340810075.83626,14741027945.5501,30937.515333333333,46073,26
2021-06-16,359.77422841116663,86081430099.50357,12716097765.813025,189563.0153333333,46073,33
2021-06-15,367.3152669156516,87712758378.3271,14198338782.52204,30853.09866666667,42655,38
2021-06-14,347.89219774721295,82255886400.8873,13453807670.69603,189004.64466666663,42655,28
2021-06-13,321.6454810441245,77178800514.74377,13615307660.529123,188821.8113333333,42655,23
2021-06-12,326.7150679141989,77566544132.42596,12169264884.55286,188501.96166666667,42655,28
2021-06-11,353.6443515200782,84821051063.12794,12748836114.195951,30555.53846153846,42655,21
2021-06-10,388.8336241708238,92817077574.99307,16406112741.9301,30539.743923076923,42655,21
2021-06-09,374.6515016968862,89762545731.60896,17888272575.39788,187691.6636363637,42655,14
2021-06-08,369.7190870501021,89950290191.37941,14758783682.75705,30398.48181818181,42655,13
2021-06-07,416.5743277592924,99045617771.9939,13297479941.799274,186950.23784615385,42655,15
2021-06-06,410.9588014086881,97066601066.8356,17653523419.278564,186519.53846153847,42655,17
2021-06-05,414.8755323630368,99511803555.67747,19226007849.539234,186114.57566666664,42655,24
2021-06-04,459.19464656358974,110556081189.68422,20685766832.70349,185732.48784615385,42655,27
2021-06-03,412.3361210344655,98242092710.57542,15387725900.528193,185222.99292307696,42655,24
2021-06-02,379.0677247004055,90825728029.00504,14683663919.24761,29943.78833333333,42655,23
2021-06-01,382.9753256153586,91335886610.0102,14782796259.22529,184243546.0,42655,20
2021-05-31,346.14628844892053,82486845231.59215,14213429440.471668,183799.87833333336,43185,18
2021-05-30,337.9504028065443,81012422540.71904,16791445359.241236,183537.3137692308,40023,10
2021-05-29,352.4872641856056,84077428952.72456,17944243574.72127,183125.37833333336,40023,18
2021-05-28,402.684188255469,94762354858.10953,18117350613.63133,29495167.0,40023,21
2021-05-27,419.18743871058905,99774442274.4015,20945583959.20147,181484.6599230769,40023,27
2021-05-26,386.6121178935175,92244203963.62177,21135152238.58781,181113.09766666667,40023,22
2021-05-25,401.1475264186642,95115634822.07976,23888930702.88653,180585.3977692308,40023,22
2021-05-24,331.96334749483384,77854200614.2403,26111095586.68798,180164.1477692308,40023,10
2021-05-23,344.9764189080529,82414147778.16396,19269348196.59556,179795.40133333334,40023,14
2021-05-22,372.0174702499325,89230251119.08652,25251787828.44233,179205.99233333336,40023,12
2021-05-21,457.2581536934048,109560333823.21176,32124897783.785503,28885.42433333333,40023,19
2021-05-20,393.0020930975172,95966925841.33638,37546661887.07359,177761.56033333336,40023,11
2021-05-19,643.4813342723555,151892609842.53992,28055135330.923416,28641.76923076923,40023,23
2021-05-18,588.9344816356808,141650721964.2211,32977108961.30196,176018417.0,40023,21
2021-05-17,681.8382461137318,161155154202916.0,35987707946.09861,174819932.0,40023,27
2021-05-16,688.8123419376085,164414526461.61133,49657030337.80947,174005.4362307692,40023,20
2021-05-15,717.598393167876,171454614549.03555,28347188209.843697,172253.3076923077,41486,27
2021-05-14,653.2707433071134,155078689247.9266,33464907130.58476,170575.90133333334,41486,26
2021-05-13,651.1510282900393,161405443119.0272,31226611654.95712,27990.67333333333,41486,31
2021-05-12,754.5242767436165,179471824531.3963,31997526364.290527,167277.20400000003,41486,68
2021-05-11,705.8596091846986,168695008511.4596,32816566406.417133,27675478.0,41486,61
2021-05-10,796.5931255573676,189912304649.78345,35775223186.45076,164165.67433333333,41486,72
2021-05-09,813.7367698948044,192243355158.74747,49182130442.87143,162963.03846153847,41486,73
2021-05-08,791.5011084323436,187907576313.19595,66350987221.52135,161664.5637692308,41486,67
2021-05-07,712.625387431234,169724128567.97253,45106885626.772766,160294.57084615383,41486,64
2021-05-06,690.0436993987793,163161391331.13123,33574401605.691864,158951.28833333333,41486,65
2021-05-05,588.1776194673387,141315666669.2179,29142385187.41553,157629.67333333334,41486,48
2021-05-04,643.461251103926,153754720846.3498,23999587440.084087,156403.49292307693,41486,68
2021-05-03,642.8849155527791,153235596388.80725,22848805795.348045,26441.00707692308,41486,61
2021-05-02,662.33933211958,158134439833.72913,25639582371.053543,153983.24233333333,41486,66
2021-05-01,634.6735022421067,151204951290.2022,24596536873.362514,152673.7753076923,41486,68
2021-04-30,614.7864540604411,146920219343.5507,24138940140.13797,26097.865384615387,44770,51
2021-04-29,639.6670086393214,152462133632.13315,29882784665.726864,139155.18866666665,44770,52
2021-04-28,641.1489423987553,153254236454.40186,26817405621.24953,137060887.0,44770,59
2021-04-27,615.1851800922176,147328846144.1009,30787101738.089256,135987.21266666666,44770,50
2021-04-26,520.560766119561,123951322720.34904,21252868094.729366,134812.23076923078,44770,27
2021-04-25,516.7102647628685,123985152143.5428,23430039960.78768,134091.23684615383,44770,31
2021-04-24,574.8216446653024,136670118766.71996,40642993373.99122,133141.07084615386,44770,37
2021-04-23,533.1633285155997,128031710130.4474,33990424223.61297,25187.44230769231,44770,55
2021-04-22,553.731971924602,132230565187.21016,29657175679.27551,131774.01315384617,44770,65
2021-04-21,594.7623584372941,142078023356.30377,41802154211.060814,130754.87933333332,44770,73
2021-04-20,542.1949220517296,130851198443.6706,31921523597.58663,129659.32566666669,44770,73
2021-04-19,605.8984244725435,145896897893.5444,48823870814.08087,129207.4676153846,44770,74
2021-04-18,693.6889307412304,166375218388.25534,32792376954.13881,128587182.0,44770,79
2021-04-17,721.7985234304658,172365262855.46292,39870850896.56337,24131.56133333333,44770,76
2021-04-16,784.6899075844346,186563975673.6848,50840700226.12367,126910.99090909092,44770,78
2021-04-15,754.95713711612,179912464732.0696,55684326103.95356,126068.58181818182,47588,79
2021-04-14,685.4555723420991,163310845183.91315,38121638844.42894,125200.25766666669,47588,75
2021-04-13,628.4138967566922,149927270877.12833,33435886922.315243,23564.044538461538,47588,74
2021-04-12,664.2442917490492,158128417412789.0,26920491915.360485,23426.235666666667,47588,74
2021-04-11,600.2886333863297,143500543947.36438,26277038340.34848,123099205.0,47588,76
