date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2021-06-25,14.7880875146548,19659724028.315475,1647390048.3344667,33823.52966666666,14515,27.0
2021-06-23,12.230893934054686,16127077676.524208,2797221743.739797,33634.53846153846,14515,14.0
2021-06-22,13.275327170395087,17795269966.78833,2113027131.3379755,175674.87146153848,14515,10.0
2021-06-21,17.337409691406833,22992676528.512947,1112285002.7140155,175248.14776923077,14515,23.0
2021-06-20,17.548665757012827,23306909893.830555,821858055.3586864,175092045.0,14515,21.0
2021-06-19,17.958985734208376,23886756702.11093,1137553477.5336878,174811.05366666664,14515,23.0
2021-06-18,19.18139697417832,25351251296.02928,1244603900.6662097,174512.12833333336,14515,25.0
2021-06-17,19.574214862667763,25935281924.146843,2206090159.724612,174105.79453846157,14515,26.0
2021-06-16,19.720562472379683,26200407539.56389,1292772755.098794,173927.45546153843,14515,33.0
2021-06-15,19.73538682799141,26297695449.610485,1318337776.833926,173781.6467692308,11364,38.0
2021-06-14,19.195584286761186,25333007675.873528,1421386075.7687511,173593.75766666667,11364,28.0
2021-06-13,18.47093139066444,24436450843.11933,2501264836.7847314,173365.92433333333,11364,23.0
2021-06-12,19.119948581111423,25252329791.090008,3745955315.677121,173168.74392307692,11364,28.0
2021-06-11,19.228612555162435,25637462429.51399,1566714173.935627,172948.21761538464,11364,21.0
2021-06-10,20.502781790138147,27278380410.281742,2893581022.9696665,172755569.0,11364,21.0
2021-06-09,19.698870822075857,26186475000.67603,2645524657.227777,172424.74233333336,11364,14.0
2021-06-08,20.3851182903645,27808339337.75785,1734403563.5091314,172281.87246153844,11364,13.0
2021-06-07,22.58718473145049,29869824934.392933,1297775765.271973,172078909.0,11364,15.0
2021-06-06,22.406118067023915,29536005954.38611,2934881619.2808733,171881.02530769233,11364,17.0
2021-06-05,22.53272358860536,29989644666.02582,3231443467.289185,171625.31476923075,11364,24.0
2021-06-04,24.41985875040554,32510870395.967747,2255156222.157664,171116.73784615382,11364,27.0
2021-06-03,23.778376939829563,31590244889.31481,2209906089.327815,170849333.0,11364,24.0
2021-06-02,22.923876476696147,30453701818.827267,2850301043.178862,32970.075666666664,11364,23.0
2021-06-01,23.44370675222819,31187582117.03107,2597930759.3663163,170154909.0,11364,20.0
2021-05-31,21.602298486591074,28718659483.849483,2658028093.84991,169801.15133333334,11278,18.0
2021-05-30,20.62261968088238,27669652395.020912,2831162398.101417,169582.06133333332,10276,10.0
2021-05-29,22.51316861746709,29863812930.23713,3951701594.3594375,169349.18866666668,10276,18.0
2021-05-28,24.85173118479903,32931506109.327507,5554601213.48039,169146.28833333333,10276,21.0
2021-05-27,27.663892086927262,36406117383.28359,8498835618.585652,168810318.0,10276,27.0
2021-05-26,21.81924954318413,29034789840.12128,4512953216.715763,168305.3137692308,10276,22.0
2021-05-25,21.62093878730255,28461545917.377083,6428162876.895522,167940.17915384617,10276,22.0
2021-05-24,17.51326785329329,22952938605.39868,5650781876.453777,167570.23076923078,10276,10.0
2021-05-23,21.1749788460562,28111361763.49589,4115555900.7935815,167257.69633333336,10276,14.0
2021-05-22,22.73176432631342,30109075018.64187,5893768371.250684,166942.8076923077,10276,12.0
2021-05-21,26.636236832759792,35356198845.70459,8946311730.472622,166629795.0,10276,19.0
2021-05-20,22.139050133771647,29854161575.25645,12178089173.425724,166216.67433333333,10276,11.0
2021-05-19,31.627105282373115,41602769768.64757,7260106059.337554,165930591.0,10276,23.0
2021-05-18,29.676225004929304,39734390901.15376,6786483778.495407,165197.73566666665,10276,21.0
2021-05-17,32.96375671507209,43755172490.661606,5431369689.574699,164621.62933333337,10276,27.0
2021-05-16,33.48800967854124,44516307585.706856,5227985025.905814,164311.82692307694,10276,20.0
2021-05-15,36.1652015231989,47979748203.07664,4435406134.99639,163799.13461538462,10949,27.0
2021-05-14,35.150563015165474,46225856170.4836,6895702235.634992,163209.35533333337,10949,26.0
2021-05-13,35.62078511188987,47282037975.69265,7011383175.0092535,162762.65384615384,10949,31.0
2021-05-12,39.90486496701108,52850890208.03682,5483431422.271102,162038.57666666666,10949,68.0
2021-05-11,37.01058049905889,49126813661.24131,8216865569.583339,161334818.0,10949,61.0
2021-05-10,41.28087669155649,54795085882.274765,6901240079.716316,160817.59866666666,10949,72.0
2021-05-09,40.01666113721134,53058752980.93028,4898752766.726176,160138.73466666666,10949,73.0
2021-05-08,40.67209895848682,54327150026.3996,10951338963.551989,159427.53846153847,10949,67.0
2021-05-07,43.06872534629679,57104683163.66933,11050080820.7728,158816.59007692308,10949,64.0
2021-05-06,39.49633590281408,52313287261.77277,6773347999.286084,158075.92433333336,10949,65.0
2021-05-05,35.40518281577126,47734870429.235794,7577660031.396988,157447.12833333333,10949,48.0
2021-05-04,39.2497624125809,52143364106.55209,5825320979.895507,156775.91092307694,10949,68.0
2021-05-03,39.26368429185262,52079940611.41067,3969976143.51688,156132.54453846152,10949,61.0
2021-05-02,40.86043612456333,54105694805.64104,4990379843.195557,155617.41,10949,66.0
2021-05-01,41.529121774856605,55145319631.01794,6253914415.738076,154934.28066666666,10949,68.0
2021-04-30,40.61505896667017,53544639206.67005,13217272260.04064,154290.83299999998,13153,51.0
2021-04-29,43.16176560963234,56930377085.28905,22182442158.162155,153616.20546153848,13153,52.0
2021-04-28,36.33393003907479,48152006145.68399,7980837251.280812,152512.32566666664,13153,59.0
2021-04-27,34.21279516232081,45482200652.41141,8956613370.216908,151677.33907692306,13153,50.0
2021-04-26,30.59972183024276,40332103701.446976,8603520338.861862,151079.08299999998,13153,27.0
2021-04-25,31.043391700386938,41736434765.39775,7877826939.160815,150607.09866666666,13153,31.0
2021-04-24,34.38880212257082,45748920258.52976,19836785253.53437,150024.91666666666,13153,37.0
2021-04-23,35.466160637390054,47043302550.9949,17909870134.696663,149546.8076923077,13153,55.0
2021-04-22,37.543546413739165,50272586429.59302,15011856147.301935,149107.83333333334,13153,65.0
2021-04-21,39.0043021055419,51966917537.354485,30899538517.777924,148668.45546153848,13153,73.0
2021-04-20,36.97577120991576,49050317211.62036,14478600550.104652,147825.41700000002,13153,73.0
2021-04-19,38.4370313099992,51750410276.268906,27345146038.32968,147183.02630769231,13153,74.0
2021-04-18,42.760883105857566,56502226794376.0,39208941900.89798,146537068.0,13153,79.0
2021-04-17,36.31955304463728,48260906874.76223,22326458096.84527,145478522.0,13153,76.0
2021-04-16,34.99162697750402,46351779280.31217,16218580726.222183,144360.00607692305,13153,78.0
2021-04-15,30.952587530894423,40876054446.14183,7856779600.261874,143422364.0,15640,79.0
2021-04-14,31.78840005745104,41823886098.0764,8528338389.395299,142740.58907692306,15640,75.0
2021-04-13,32.375422893456985,42848752294.55844,16965848879.332253,142057.74233333333,15640,74.0
2021-04-12,30.778276065318472,40557603449.859344,13250197426.249275,141334.40233333336,15640,74.0
2021-04-11,28.828420230717445,38281845502.22075,6511925473.062501,140499.51433333333,15640,76.0
2021-04-10,29.48994932635208,39192907934.85445,13618967376.62403,139419.75766666667,15640,70.0
2021-04-09,28.069163681833487,37380564139.22739,8428311495.015472,138411.01533333334,15640,70.0
2021-04-08,26.529846803664768,34947968852.28553,11049004058.779478,137367.04553846153,15640,73.0
2021-04-07,27.31161774443688,36118490389.55644,8345141951.9427185,136533.28846153847,15640,72.0
2021-04-06,28.582991662498344,37807799711.367004,10028438596.870674,135659.45500000002,15640,75.0
2021-04-05,28.607261918270588,37947934763.58747,8236443650.816459,134445.98466666666,15640,71.0
2021-04-04,26.909683864388924,35963113160.645905,10522823667.74444,133284.55061538462,15640,74.0
2021-04-03,29.56259775144611,39266369625.17447,9684055249.7431,131974.26533333334,15640,73.0
2021-04-02,28.868732964657987,38339289241.3827,10834736821.471395,130651.71153846152,15640,74.0
2021-04-01,28.838846984889138,38206187796.573006,11987982045.41199,129164.37753846151,15640,74.0
2021-03-31,30.774894780277897,40971917963.91348,13545923651.87275,127573.46933333333,15869,76.0
2021-03-30,30.99906217441638,40968802938.305405,21103431470.61769,125818.62166666667,19988,72.0
2021-03-29,32.431728482975714,41835051411.51724,37884854751.71117,124753.82566666669,19988,
2021-03-28,26.45308120120604,35278600416.56549,13362053518.851467,123741.07084615385,19988,
2021-03-27,25.5606510936286,33789129358.571243,8733092730.882452,122013.3016153846,19988,72.0
2021-03-26,23.32399103971093,30932866369.484783,10320219871.134802,121065.12853846152,19988,74.0
2021-03-25,24.21268282013792,32243985340.60126,15188163465.019629,120248.46153846152,19988,65.0
2021-03-24,24.510015888165537,32234895753.1318,10558656497.590927,120220364.0,19988,54.0
2021-03-23,26.174086430612707,34767143766.91287,10363815954.643158,119900.80161538464,19988,60.0
2021-03-22,27.90880285593453,36671499111.92566,14712835715.334885,119607.39676923076,19988,65.0
2021-03-21,25.70819434170343,34319676126.47528,12516496702.476229,118956.31033333331,19988,66.0
2021-03-20,27.36369733285895,36383421770.8047,12402591040.093012,117387636.0,19988,70.0
2021-03-19,27.88010947278277,36975428786.51845,21327685275.331112,115963.01433333333,19988,73.0
2021-03-18,30.157669016946585,39800453731.89733,45259651396.2137,25502182.0,19988,75.0
2021-03-17,25.429604777140977,33693970413.336784,24754131196.39737,112966.93623076924,19988,71.0
2021-03-16,30.022042097616826,40209074834.48582,35455836949.6615,111278.49233333331,19988,72.0
2021-03-15,29.073972009327385,38963539278.42088,74597048663.02107,108469.42433333331,31249,71.0
2021-03-14,26.886338927931,35771626797.63581,93713342962.1278,104593916.0,31249,71.0
2021-03-13,18.613841134332493,24668278717.8572,24356279160.86331,98750.5,31249,76.0
2021-03-12,14.5971609498825,19372918509.11084,14342569160.896236,95889.37833333333,31249,78.0
2021-03-11,13.560562938078304,18206003876.606934,10964790560.580069,94690.03833333332,31249,74.0
2021-03-10,15.482611647677825,20469214715.366623,24660423328.40735,93828.92915384615,31249,70.0
2021-03-09,13.90114911824648,18566990290.863026,18912682011.28064,92472.1993846154,31249,73.0
2021-03-08,11.31441298344268,14931422965.910477,7074691207.162521,90558.85323076924,31249,
2021-03-07,10.074909722423763,13373154538.873716,5860626294.829143,89421.93623076924,31249,
