date,price,market_cap,volume,community_score,public_interest_score,fear_greed
29-06-2021,7.168707278305201,930488779137.3527,69004524717.65858,2105505.7454545456,8922.0,25
28-06-2021,7.310304634938891,951808588046.4414,76576116387.0836,4007089.886,8922.0,25
27-06-2021,6.741275086233465,877622320102.9227,97469568210.27512,4001531.2873333334,8922.0,22
26-06-2021,6.786540359623203,883515918444.6725,185227796072.77954,3996992.2126666666,8922.0,20
25-06-2021,7.368836353214099,959179511855.9471,121418910944.79933,3993261.3256666665,8922.0,27
24-06-2021,6.644409732547362,863945394338.3802,179880219742.38132,3985872.1886666664,8922.0,22
23-06-2021,5.305459521726369,686549778172.2396,172329687715.78656,3985069.583,8922.0,14
22-06-2021,4.953803742772641,652337265677.2322,168278290423.07193,3977844.868285714,8922.0,10
21-06-2021,7.8536648592808405,1021595979204.4714,66633653463.20856,3961266.1346153845,8922.0,23
20-06-2021,8.000227534602537,1042299458062.7548,39889117435.48255,3951914.728,8922.0,21
