date,price,market_cap,volume,fear_greed
2021-12-23,6850.990846,138881145657.742065,5158119546.473741,34.000000
2021-12-22,6687.825469,135610720085.384003,5108878984.555953,45.000000
2021-12-21,6603.073162,134315359653.734482,6121091206.030667,27.000000
2021-12-20,6809.913772,139458167369.648346,5184382826.086311,25.000000
2021-12-19,7092.000220,144079737397.469391,6020052999.207225,29.000000
2021-12-18,7127.837771,143846071151.427948,10719610084.522892,24.000000
2021-12-17,7435.586273,150589284173.809906,20728667739.063248,23.000000
2021-12-16,8203.886563,165587870773.464233,10695806951.514612,29.000000
2021-12-15,7068.035363,143237588770.562714,4693724342.309862,28.000000
2021-12-14,6517.174008,131293016258.376282,5541350318.659144,21.000000
2021-12-13,7322.119486,147833849330.699982,3392056671.979289,28.000000
2021-12-12,7057.318292,142466845888.601349,4215261977.540996,27.000000
2021-12-11,7134.318448,146429453711.890625,5907551587.452748,16.000000
2021-12-10,7426.230699,151365297301.894592,8223859982.997516,24.000000
2021-12-09,8186.285903,165270533993.810516,4223055162.928883,29.000000
2021-12-08,7939.567446,160119145094.274628,5164187190.378696,28.000000
2021-12-07,7958.861861,160578085950.461609,7230487740.593447,25.000000
2021-12-06,7951.625476,160268643961.421753,6955121590.307054,16.000000
2021-12-05,8518.285126,171633911419.151825,17166691227.507248,18.000000
2021-12-04,9549.208712,192228769324.382629,10280691943.094517,25.000000
2021-12-03,9879.991749,200523101554.286163,18833256298.139130,31.000000
2021-12-02,11280.679277,227773614014.833801,13041616231.439629,32.000000
2021-12-01,10374.476215,209491539269.083893,6624188781.039148,34.000000
2021-11-30,10973.794617,221472574073.867767,6169009811.797986,40.000000
2021-11-29,11460.700946,230699124283.807404,8632519043.519121,33.000000
2021-11-28,11852.191459,238492926648.521362,8694416830.126913,27.000000
2021-11-27,11073.225197,222571384826.164490,10253528121.480270,21.000000
2021-11-26,12161.024324,244585324563.454254,12136303945.772429,27.000000
2021-11-25,12692.984950,255313176287.506805,21515173420.303715,21.000000
2021-11-24,13208.824460,265951060708.862396,35407163162.555000,32.000000
2021-11-23,13584.032614,272752172050.735291,31730052737.682896,33.000000
