date,price,market_cap,volume,fear_greed
2022-02-13,50.535472,47012772597.672951,3892335470.357514,44.000000
2022-02-12,51.223935,47807538726.132965,4918124002.890020,44.000000
2022-02-11,55.569231,52018925215.114197,5726752310.690949,50.000000
2022-02-10,60.086077,56210449712.070511,5585092852.078036,50.000000
2022-02-09,58.990476,54775196157.941971,6262579805.756699,54.000000
2022-02-08,58.721170,54911357924.975677,6350008550.550253,48.000000
2022-02-07,57.524549,53730107637.077286,7996870490.585698,45.000000
2022-02-06,53.626637,50175798916.015694,7287279762.913157,37.000000
2022-02-05,50.897272,47175417673.049835,4497185718.688775,33.000000
2022-02-04,46.627592,43442010561.638557,3484414160.419680,20.000000
2022-02-03,47.310315,44174204057.202682,3530691519.696404,20.000000
2022-02-02,51.270262,48008069347.258842,4485505231.691352,28.000000
2022-02-01,52.572402,48981702317.966805,6918879461.752121,26.000000
2022-01-31,50.093367,47098603846.591896,6341331602.889440,29.000000
2022-01-30,48.919073,45512464046.422562,4728919030.448330,24.000000
2022-01-29,45.816738,42727459336.298767,4656678799.326729,24.000000
2022-01-28,43.839548,40927934203.322891,6225911469.483878,20.000000
2022-01-27,43.145014,40467952598.440750,6737570434.536015,23.000000
2022-01-26,42.645494,39900559321.530098,3601719732.626401,23.000000
2022-01-25,41.708937,38968262055.073280,6500133882.765132,12.000000
2022-01-24,44.565267,41606307051.370781,5162294045.534366,13.000000
2022-01-23,41.565786,38788965086.323074,7304029673.104160,11.000000
2022-01-22,47.968510,44908928385.233017,7995612789.196273,13.000000
2022-01-21,58.465723,54910429663.580658,3775052229.573969,19.000000
2022-01-20,61.392119,57643907515.029442,4208751244.435891,24.000000
2022-01-19,62.830984,58771661323.269363,3349374634.958705,24.000000
2022-01-18,63.987391,59796791410.433228,3492673447.422589,24.000000
2022-01-17,69.157494,64563932616.702248,3400756256.310535,22.000000
2022-01-16,67.872367,63549356818.333206,3783032706.723810,21.000000
2022-01-15,66.580996,62028842862.332809,4234292535.453379,23.000000
2022-01-14,65.786028,61492291294.755203,5903174594.760192,21.000000
2022-01-13,69.863545,65327835689.470802,5659006989.810092,21.000000
2022-01-12,64.090644,59902605305.182495,4043839480.185127,22.000000
2022-01-11,0.000000,0.000000,0.000000,
2022-01-10,63.636765,59198629327.671806,3688027014.516428,23.000000
2022-01-09,0.000000,0.000000,0.000000,
2022-01-08,0.000000,0.000000,0.000000,
2022-01-07,0.000000,0.000000,0.000000,
2022-01-06,67.847409,63409531915.695534,7553608394.204076,15.000000
2022-01-05,0.000000,0.000000,0.000000,
2022-01-04,77.362462,72340950779.993469,6228372783.397398,23.000000
2022-01-03,79.555508,74541150971.126373,7209005168.550372,29.000000
2022-01-02,74.868302,69679970219.572205,3147917482.795308,29.000000
2022-01-01,71.689885,67319808123.093582,5787141938.834297,21.000000
2021-12-31,73.091691,68173399727.254158,4908978769.628791,28.000000
2021-12-30,73.041423,67775241667.597534,6292767175.945930,22.000000
2021-12-29,76.973539,72339142603.254593,8293252993.530377,27.000000
2021-12-28,85.392194,79996141494.124924,6899962062.617966,41.000000
2021-12-27,88.251698,82398034872.496674,10041217573.047626,40.000000
2021-12-26,87.463207,81931204195.869019,11502649796.328909,37.000000
2021-12-25,77.538461,72358889349.033020,6032710292.411476,39.000000
2021-12-24,81.951069,76346973206.758118,8235551782.587849,41.000000
2021-12-23,71.982878,67607022302.053375,6891538058.171851,34.000000
2021-12-22,67.709915,63386686305.917465,4683667553.572791,45.000000
2021-12-21,64.495245,60369035211.450325,4286327058.732481,27.000000
2021-12-20,65.331758,61042118325.937279,3826557717.319411,25.000000
2021-12-19,67.086671,62565360205.073112,4605114109.205366,29.000000
2021-12-18,64.338458,59929949388.340919,5020620052.188155,24.000000
2021-12-17,66.188306,61666320496.443375,4795435435.293854,23.000000
2021-12-16,69.009826,64206476653.812180,6386549703.756394,29.000000
2021-12-15,65.264905,60773670222.084206,4698849517.377967,28.000000
2021-12-14,64.625345,60555041059.047935,5111763148.997544,21.000000
2021-12-13,74.673141,69697957667.695572,4844991742.441275,28.000000
2021-12-12,70.351609,65711567750.082657,4350906527.634498,27.000000
2021-12-11,67.548720,63661628834.126656,6072919198.602506,16.000000
2021-12-10,71.637616,67285845405.468445,7697979127.449711,24.000000
2021-12-09,80.128252,74856176113.027069,6922084660.730983,29.000000
2021-12-08,77.827732,72363017839.638092,8440063818.829590,28.000000
2021-12-07,80.181083,74809793541.970093,10221827543.693359,25.000000
2021-12-06,75.268044,70242288319.332230,10292896259.304514,16.000000
2021-12-05,83.453065,78197311769.501556,17120737894.268969,18.000000
2021-12-04,86.046717,80583541712.092209,9552418419.567682,25.000000
2021-12-03,94.046660,87916716846.172348,8014400416.884437,31.000000
2021-12-02,97.587330,91123735499.035767,9272881044.892303,32.000000
2021-12-01,96.445234,90112703924.727783,10080931067.325994,34.000000
2021-11-30,101.841827,95564792639.527527,14126187390.187073,40.000000
2021-11-29,106.239428,98914135587.969727,19548548101.331841,33.000000
2021-11-28,101.841344,94949428447.997223,11313148254.323822,27.000000
2021-11-27,106.955907,100126196509.472885,23495020620.934128,21.000000
2021-11-26,117.733244,110225609668.820557,36562065814.654732,47.000000
2021-11-25,123.811207,116899875944.004440,46499317126.995918,32.000000
2021-11-24,107.179518,100670145050.326004,28925312233.489246,42.000000
2021-11-23,99.453880,92202068018.293289,17349010636.318237,33.000000
2021-11-22,93.070528,87248435844.724762,14376323282.749210,50.000000
2021-11-21,101.890428,95311625631.755875,26696944514.690041,49.000000
2021-11-20,100.319032,94086856646.803802,35384575417.647873,43.000000
2021-11-19,82.916197,77954268263.934540,22437074166.965824,34.000000
2021-11-18,83.599020,78351348957.704391,11362590448.615156,54.000000
2021-11-17,79.770056,74564222462.111328,12558517866.990965,52.000000
2021-11-16,84.511756,78768412023.777527,7559088758.776746,71.000000
2021-11-15,85.752846,79744256011.657013,5578040623.246919,72.000000
2021-11-14,85.145440,79659367878.499924,10733972005.632284,74.000000
2021-11-13,85.604653,79789325895.050751,11735683892.171616,72.000000
2021-11-12,82.863633,77530110193.604858,8518974844.633586,74.000000
2021-11-11,78.665675,72814217344.395233,12806032625.541788,77.000000
2021-11-10,82.700224,77373863136.796890,10640036003.092575,75.000000
2021-11-09,88.549098,83249783096.449722,13394709675.599052,84.000000
2021-11-08,92.738530,86513221677.398514,17350670494.630886,75.000000
2021-11-07,96.243679,89535966892.244492,44475320772.651085,73.000000
2021-11-06,83.117390,77459119730.565018,16541218726.336117,71.000000
2021-11-05,83.111564,76957712625.016663,33999372889.140297,73.000000
2021-11-04,79.908242,74535176362.142517,17714722627.398018,73.000000
2021-11-03,87.390321,81567723060.597260,41490540408.392700,76.000000
2021-11-02,73.066779,66967864909.270042,18575905033.577007,73.000000
2021-11-01,71.568804,66746209669.006912,38374680297.371437,74.000000
2021-10-31,85.202756,79792521599.968491,50116355307.395256,74.000000
2021-10-30,67.595179,63132451277.651772,13943072564.016245,73.000000
2021-10-29,64.158935,59811320275.626747,15938482574.020975,70.000000
2021-10-28,58.107703,54581507663.227417,19026854854.009140,66.000000
2021-10-27,56.412376,52690947547.278816,9413567618.866804,73.000000
2021-10-26,53.165738,49788703706.723366,3419930244.900551,76.000000
2021-10-25,49.618419,46312568764.060799,2726410147.636666,72.000000
2021-10-24,51.350304,47919700072.502090,2198386831.848642,73.000000
2021-10-23,51.181828,47848186828.444817,3876200430.796259,74.000000
2021-10-22,50.147890,46803483466.059227,5756025835.528883,75.000000
