date,price,market_cap,volume,fear_greed
2021-07-12,59969.285856,6993402164682.890625,398577987585.747131,25.000000
2021-07-11,59373.091571,6931633132604.105469,505932919485.674072,20.000000
2021-07-10,60321.294631,7037761402509.837891,622692507354.348145,20.000000
2021-07-09,59578.452407,6951879616834.652344,676171841657.411133,20.000000
2021-07-08,64642.798055,7535338048674.962891,651466616903.483276,20.000000
2021-07-07,64766.230147,7556451997093483.000000,690707083941.978516,28.000000
2021-07-06,62039.662388,7238927814680405.000000,632140820641.428101,20.000000
2021-07-05,65102.669805,7588472215180.385742,590345263516.803711,29.000000
2021-07-04,62206.361961,7231832256342.169922,556996336273.356201,27.000000
2021-07-03,60234.215494,6999459919813201.000000,638362368283.176636,24.000000
2021-07-02,59181.843729,6895730895240767.000000,721740145880.910767,21.000000
2021-07-01,63443.318073,7402097234372938.000000,808469664941.814209,28.000000
2021-06-30,60509.119294,7073469602565875.000000,757246580795.480103,28.000000
2021-06-29,58092.932309,6763599476058289.000000,852374430364.452148,25.000000
2021-06-28,55101.994726,6403469641548506.000000,678790390261.374878,25.000000
2021-06-27,50660.742553,5854668705787184.000000,676095747349516.000000,22.000000
2021-06-26,51118.419699,5962918262421.459961,724381689264449.000000,20.000000
2021-06-25,55545.017446,6465353180195339.000000,626531894671.871338,27.000000
2021-06-24,0.000000,0.000000,0.000000,
2021-06-23,52516.581072,6075672010267643.000000,1085276239556.655151,14.000000
2021-06-22,53132.167911,6241305521301893.000000,1104517603402.685547,10.000000
2021-06-21,62584.377308,7268048114165837.000000,729251699012.277100,23.000000
2021-06-20,60489.407613,7043034829378895.000000,568591068525.314819,21.000000
2021-06-19,62024.936422,7227671950035718.000000,728340556136.561768,23.000000
2021-06-18,65946.625575,7628340309006771.000000,712128933416.901978,25.000000
2021-06-17,65770.080520,7635595686922.257812,726965831807.674561,26.000000
2021-06-16,70630.144160,8227367155813610.000000,739175394533.863037,33.000000
2021-06-15,71577.068735,8306291802428262.000000,778134974878.975830,38.000000
2021-06-14,69631.494011,8096767422656173.000000,812591882076.209473,28.000000
2021-06-13,65821.051781,7694555517563290.000000,780891554298.565430,23.000000
2021-06-12,65175.091315,7543129978242144.000000,739847420344.930908,28.000000
2021-06-11,68574.959377,7982087354452.449219,912162138999.496826,21.000000
2021-06-10,72838.972383,8470690121459453.000000,1222219567900.283447,21.000000
2021-06-09,69782.263582,8118498623561426.000000,1334469005274.039551,14.000000
2021-06-08,71319.812728,8287342407556562.000000,1033255819183.889648,13.000000
2021-06-07,74705.857268,8679798684995354.000000,800361020120.513306,15.000000
2021-06-06,72316.845717,8341095809097114.000000,956925085227.275024,17.000000
2021-06-05,74237.991363,8623436817322342.000000,1101973860669.991943,24.000000
2021-06-04,79035.638228,9234655147273530.000000,1053651094071.117554,27.000000
2021-06-03,75183.652196,8724720234811618.000000,1083248860054944.000000,24.000000
2021-06-02,72681.067081,8461390318562574.000000,1101501945460009.000000,23.000000
2021-06-01,74514.048916,8651480688638818.000000,1222789196603.916504,20.000000
2021-05-31,66209.401560,7690012800360414.000000,1033328473829.515625,18.000000
2021-05-30,63411.997400,7424776353151.678711,1302748421152.106201,10.000000
2021-05-29,67245.043204,7799384816781504.000000,1367753400887.731934,18.000000
2021-05-28,76316.317422,8880083686654082.000000,1226135377254.888916,21.000000
2021-05-27,79790.020324,9256495100712270.000000,1470282426571.376465,27.000000
2021-05-26,75027.546571,8701655900252115.000000,2573829312480.831055,22.000000
2021-05-25,73970.669859,8574646948120594.000000,2059175754796.782471,22.000000
2021-05-24,59283.152073,6824999783638162.000000,2176656049093.919922,10.000000
2021-05-23,64496.058018,7508506096533282.000000,2867032910285.686523,14.000000
2021-05-22,67648.528094,7819463464460107.000000,3215919720772.948242,12.000000
2021-05-21,77697.363431,9009599216652.527344,2587922216388.018555,19.000000
2021-05-20,69882.153951,8235730467282306.000000,3289185261312.799805,11.000000
2021-05-19,95107.438274,10918749763509900.000000,1655345294059.811523,23.000000
2021-05-18,92227.614231,10690754883857.587891,2106406181675.947998,21.000000
2021-05-17,100762.484987,11589066264569400.000000,1889120813456.106445,27.000000
2021-05-16,102380.091725,11908657077836400.000000,1626671476546.773193,20.000000
2021-05-15,114375.318696,13251646066298.039062,1778758621321.360107,27.000000
2021-05-14,104829.548265,12050212386188100.000000,2722061971434.324219,26.000000
2021-05-13,109492.138669,13050688892449800.000000,2208058836134.536621,31.000000
2021-05-12,116833.694079,13445933460151.960938,1895722373917192.000000,68.000000
2021-05-11,110422.197285,12792360475158.800781,2242712679240188.750000,61.000000
2021-05-10,109203.932347,12646797593607.419922,1711208988322779.000000,72.000000
2021-05-09,108459.668551,12493674279993500.000000,1668024764385.220215,73.000000
2021-05-08,96839.378926,11206606444881700.000000,1246848908332.982422,67.000000
2021-05-07,97729.307955,11316077891891900.000000,1410128356202.137695,64.000000
2021-05-06,98310.628185,11413576464822100.000000,1772665491979.757080,65.000000
2021-05-05,90583.212824,10621208463737200.000000,2189104792890.488037,48.000000
2021-05-04,96066.899879,11122112096860.919922,1792746732710.192871,68.000000
2021-05-03,82283.291110,9527339731413.378906,995419822517.417236,61.000000
2021-05-02,82049.803528,9493254789484.240234,1023120187895.175659,66.000000
2021-05-01,77363.130463,8947883602558222.000000,988467081187.284424,68.000000
2021-04-30,76871.035015,8891993220410374.000000,1074296044820334.000000,51.000000
2021-04-29,76553.378566,8839338207520086.000000,1194168753908805.000000,52.000000
2021-04-28,73903.097623,8546682075794952.000000,1050036828387.885620,59.000000
2021-04-27,70474.045576,8149173745326632.000000,1190857198923.278076,50.000000
2021-04-26,64714.392376,7482288619205786.000000,1030570222321.511230,27.000000
2021-04-25,62064.072561,7245732997751742.000000,999618876855764.000000,31.000000
2021-04-24,66310.065414,7665958330683808.000000,1938815133161055.250000,37.000000
2021-04-23,68110.251707,7880368059793869.000000,1778319097017.549561,55.000000
2021-04-22,66446.170134,7678940145266302.000000,1224134124633.228516,65.000000
2021-04-21,65174.569629,7555821172535235.000000,1254465276074.084229,73.000000
2021-04-20,61106.871784,7066188116284353.000000,1136878744556.622314,73.000000
2021-04-19,63487.654251,7331232832142053.000000,1749636665350.142090,74.000000
2021-04-18,66292.488603,7661924884995648.000000,1007055572992.643555,79.000000
2021-04-17,68533.651251,7932076347333034.000000,1243239963680.785889,76.000000
2021-04-16,71130.852814,8221224054342.849609,1049824614056.004395,78.000000
2021-04-15,68951.366926,7965060314563984.000000,1230282283620.474854,79.000000
2021-04-14,65495.664461,7540778442161251.000000,1016417001835.365967,75.000000
2021-04-13,60863.682435,7025064797751025.000000,826568176874.701782,74.000000
2021-04-12,61314.812697,7055518528667971.000000,723421680507.279541,74.000000
2021-04-11,60973.266326,7009509109911925.000000,917481538866.331177,76.000000
2021-04-10,58894.880739,6796056726453.110352,713590334317.331299,70.000000
2021-04-09,59153.745459,6818587183041545.000000,771493814450.791260,70.000000
2021-04-08,56421.387128,6504438754199925.000000,1123351679307.223145,73.000000
2021-04-07,60169.941398,6951075089367376.000000,949934666071.947510,72.000000
2021-04-06,59581.400986,6876649504216017.000000,876692604668.985229,75.000000
2021-04-05,59310.561416,6842962661961834.000000,765525310796.937744,71.000000
2021-04-04,57566.774908,6665942654693639.000000,995464306337.943237,74.000000
2021-04-03,60919.002598,7034932407734666.000000,1012442240696.696411,73.000000
2021-04-02,56169.266778,6476092818002.200195,914364618438.537231,74.000000
2021-04-01,54389.336193,6280282109711.480469,822031299942.989014,74.000000
2021-03-31,52367.617183,6034965268390957.000000,810908063024.310547,76.000000
2021-03-30,51829.620092,5962367893761686.000000,930117127439.127197,72.000000
2021-03-29,48318.275686,5568289393459888.000000,568114197872.830811,72.000000
2021-03-28,49028.274261,5662626056603451.000000,604139811573.220093,74.000000
2021-03-27,48642.905142,5593062034289824.000000,709583890435.166260,65.000000
2021-03-26,45409.896348,5229906345094354.000000,753117060882.054077,54.000000
2021-03-25,45059.088734,5211471391806816.000000,1094368326143.076782,60.000000
2021-03-24,47732.438022,5484616916257.030273,820100849990.301392,65.000000
2021-03-23,47778.833199,5535726354512264.000000,888702015764.486206,66.000000
2021-03-22,50842.263168,5850260692186676.000000,830023676294.729980,70.000000
2021-03-21,51629.227711,5948772258620628.000000,837703869682.910400,73.000000
2021-03-20,51608.574990,5941191606593572.000000,776656006785775.000000,75.000000
2021-03-19,50595.701018,5827305420697303.000000,842762888728755.000000,71.000000
