date,price,market_cap,volume,fear_greed
2021-08-01,2.211730,23121498122.943420,870835171.445625,60.000000
2021-07-31,2.136885,22077571751.420605,666797704.933029,60.000000
2021-07-30,2.052957,21300052073.873333,561208947.732854,53.000000
2021-07-29,2.007966,20735490342.228046,695746257.941716,50.000000
2021-07-28,2.082013,21491611310.840801,985847894.090564,50.000000
2021-07-27,2.044206,21295249587.637192,1631123330.439932,32.000000
2021-07-26,2.038216,21068727909.737041,457691088.349462,26.000000
2021-07-25,2.040121,21059892591.182919,1122658333.001459,27.000000
2021-07-24,1.934069,19818172806.477650,712722355.234541,22.000000
2021-07-23,1.807306,18640278433.042000,832237953.148929,23.000000
2021-07-22,1.787121,18388164233.411888,964921452.483243,21.000000
2021-07-21,1.600376,16448791832.721115,656578867.306328,10.000000
2021-07-20,1.686781,17456827120.071861,505754603.362014,19.000000
2021-07-19,1.819372,18765272797.860809,415941883.778212,24.000000
2021-07-18,1.848733,19115531652.576508,465207586.970004,19.000000
2021-07-17,1.882414,19397173554.802097,759917367.914864,15.000000
2021-07-16,2.044256,21132901892.835888,816826023.749045,22.000000
2021-07-15,2.233847,22999239180.299503,931363914.132123,20.000000
2021-07-14,2.298425,23709905091.079765,1660514752.484158,21.000000
2021-07-13,2.224801,22845405846.184341,914252428.280317,20.000000
2021-07-12,2.296863,23698174894.905941,654286594.943945,25.000000
2021-07-11,2.322585,23955118192.799110,984442008.868785,20.000000
2021-07-10,2.512968,25839142638.284096,2274722140.888029,20.000000
2021-07-09,2.320069,23910030120.739925,2720666034.637714,20.000000
2021-07-08,2.361581,24346118669.652657,4533393392.152494,20.000000
2021-07-07,2.008145,20712068536.003220,1311198744.847802,28.000000
2021-07-06,1.775666,18306977397.276085,470265769.447112,20.000000
2021-07-05,1.867130,19233769884.334843,457616332.663000,29.000000
2021-07-04,1.801878,18551843472.016216,501214291.667263,27.000000
2021-07-03,1.758179,18069957300.896507,411020452.151877,24.000000
2021-07-02,1.771852,18250016011.519337,570797021.999249,21.000000
2021-07-01,1.869816,19279167640.568153,873304914.909359,28.000000
2021-06-30,1.837272,18872600039.195042,846556245.018586,28.000000
2021-06-29,1.822225,18611181538.401100,762347408.204038,25.000000
2021-06-28,1.898222,19406397362.640999,1724651327.348563,25.000000
2021-06-27,1.631895,16666341051.649416,834973259.098519,22.000000
2021-06-26,1.570789,15997050370.145569,771458508.067730,20.000000
2021-06-25,1.687351,17239080919.065765,683467916.830690,27.000000
2021-06-24,1.670234,17100589794.852589,1369919142.731366,22.000000
2021-06-23,1.450698,14777297504.524715,1850649279.923062,14.000000
2021-06-22,1.597529,16400906267.874369,1444141758.846782,10.000000
2021-06-21,2.028760,20706965822.340904,677147686.122788,23.000000
2021-06-20,1.999294,20505385442.008701,530162607.074280,21.000000
2021-06-19,2.051430,21013965147.346245,841798113.612203,23.000000
2021-06-18,2.225733,22588894544.443382,562845613.646101,25.000000
2021-06-17,2.237770,22777308734.617146,970128326.789357,
2021-06-16,2.321090,23698157470.965637,1034370490.202686,
2021-06-15,2.304327,23464869748.445374,986134236.506155,
2021-06-14,2.285753,23201196252.121902,1087989384.406934,
2021-06-13,2.140346,21972441036.697685,1081383981.037086,
2021-06-12,2.156359,21912498623.304893,1118067738.730126,
2021-06-11,2.274751,23501990608.603336,1259104549.834243,
2021-06-10,2.515979,25685203823.149345,1547394173.535982,
2021-06-09,2.382702,24387478168.995647,2008736049.411583,
2021-06-08,2.389242,24454334971.009457,1720528087.973791,
2021-06-07,2.649324,26903254840.829922,917551827.116381,
2021-06-06,2.536370,25747406433.458683,2150548074.357090,
2021-06-05,2.718213,27682475532.769642,2754521016.382833,
2021-06-04,3.046115,31173167466.129761,2212453772.902488,
2021-06-03,2.807271,28593906075.456997,1708612840.517104,
2021-06-02,2.701185,27532807876.441833,2122909848.146433,
2021-06-01,2.785013,28282136353.655891,3078236847.239588,
2021-05-31,2.558569,24164207280.941616,3305895993.000883,
2021-05-30,2.301995,22182181724.090607,2462579810.893122,
2021-05-29,2.530860,24083395825.252583,3595322021.234558,
2021-05-28,2.910690,27716073499.083290,4257475523.545611,
2021-05-27,3.092893,29219288884.990723,4561434512.460755,
2021-05-26,2.888995,27449421030.604031,4489080362.591980,
2021-05-25,3.030855,28844967573.018444,8065535866.948180,
2021-05-24,2.251912,21342848189.425938,4185736577.286727,
2021-05-23,2.512110,23913766301.287285,3013394430.968686,
2021-05-22,2.918821,27657008293.811722,5802834955.187306,
2021-05-21,3.407764,32459875208.401398,8522688868.686239,
