date,price,market_cap,volume,fear_greed
2022-02-13,47.244669,324462555282.925415,24415494327.887455,44.000000
2022-02-12,47.877317,328726247745.932495,38577805809.129517,44.000000
2022-02-11,52.843944,363230080483.630798,41262596014.888443,50.000000
2022-02-10,56.988896,392523490930.350708,36029746186.944870,50.000000
2022-02-09,54.257018,372970194289.520508,42763006745.262329,54.000000
2022-02-08,56.375602,386861896546.348816,50898033261.858688,48.000000
2022-02-07,48.350524,331655059078.293457,18185234863.932804,45.000000
2022-02-06,47.833433,329254361339.337097,23371132614.847992,37.000000
2022-02-05,46.878862,321496817017.115540,23816628725.322968,33.000000
2022-02-04,42.893619,294090414210.707458,19942448811.747887,20.000000
2022-02-03,42.794842,294109977472.600830,20588991754.160599,20.000000
2022-02-02,45.775603,314716978321.818970,23110201098.319641,28.000000
2022-02-01,45.705329,312732513986.438843,22967150645.083351,26.000000
2022-01-31,44.709549,306986404352.838989,21097289699.582794,29.000000
2022-01-30,47.251272,323341823137.167053,21832492695.421669,24.000000
2022-01-29,46.843430,321679887097.588257,34082949418.793430,24.000000
2022-01-28,44.133440,302815429766.682251,37970826570.318726,20.000000
2022-01-27,44.074629,302263996059.643616,52907270696.527351,23.000000
2022-01-26,43.447439,298288088456.014282,35392610797.446777,23.000000
2022-01-25,41.743040,287476678220.121216,51440360425.096642,12.000000
2022-01-24,44.660917,305277555430.619934,33925932680.814533,13.000000
2022-01-23,42.434846,291390492722.910950,58125723859.623001,11.000000
2022-01-22,47.133401,324608790061.403076,55765729841.461685,13.000000
2022-01-21,54.114214,374200976110.322571,32453720264.159256,19.000000
2022-01-20,56.191667,387329455242.287109,31024171484.323727,24.000000
2022-01-19,58.796100,405568600157.009949,34738900372.877014,24.000000
2022-01-18,61.002017,418984076736.411926,38231273353.430206,24.000000
2022-01-17,64.121367,440031509902.562866,20085565194.729561,22.000000
2022-01-16,64.902998,446016539587.102661,22789338231.252567,22.000000
2022-01-15,64.444133,441494358431.572815,30995613714.462029,21.000000
2022-01-14,62.601643,432688480051.376465,35639929732.153465,21.000000
