date,price,market_cap,volume,fear_greed
2021-07-29,405.961236,411583960305.830566,24047805768.061348,50.000000
2021-07-28,401.682593,405769742166.399902,25915392529.298241,50.000000
2021-07-27,391.315871,398414907474.381104,39468571093.316406,32.000000
2021-07-26,386.893452,391831773533.769287,16795537950.604977,26.000000
2021-07-25,388.375220,392533760940.769531,18164448909.406296,27.000000
2021-07-24,374.473134,379105131824.858459,20998769253.759007,22.000000
2021-07-23,371.491091,376074149594.382568,23955118910.992287,23.000000
2021-07-22,346.944288,349918981662.724609,26392858931.835678,21.000000
2021-07-21,310.247511,313547345138.813782,16929873902.311239,10.000000
2021-07-20,324.141943,329137355858.672791,17792876333.783360,19.000000
2021-07-19,357.407130,361097540822.554871,13758254186.904312,24.000000
2021-07-18,343.534957,347934934464.026550,16854971853.174314,19.000000
2021-07-17,336.327104,339637449483.035400,15469879498.490444,15.000000
2021-07-16,363.808045,367207377561.061279,15609302678.541782,22.000000
2021-07-15,386.066629,389423876093.100403,16629277445.248604,20.000000
2021-07-14,396.486652,400610143086.778748,11008100133.693041,21.000000
2021-07-13,417.784421,421400024589.671204,12539084128.205330,20.000000
2021-07-12,434.018112,438006971180.050415,9646226708.857843,25.000000
2021-07-11,429.630165,433682268810.395203,11762366153.578936,20.000000
2021-07-10,440.055498,444086749449.938721,15157958538.237282,20.000000
2021-07-09,430.927335,434708463135.305664,22525969901.535072,20.000000
2021-07-08,469.883097,473932377878.346985,29880182356.712227,20.000000
2021-07-07,446.851695,449610741967.861938,19839934623.499912,28.000000
2021-07-06,428.681334,432264040477.930542,16067904968.855389,20.000000
2021-07-05,448.079848,452262969377.370972,13890381120.186647,29.000000
2021-07-04,432.880118,435105810628.123230,12105510857.969051,27.000000
2021-07-03,428.258307,430423455454.937134,13086354797.474775,24.000000
2021-07-02,426.256757,429030347244.199341,16327330259.422880,21.000000
2021-07-01,456.908500,459718020223.452881,23908437104.017040,28.000000
2021-06-30,454.012706,456957409403.810791,26097138138.584885,28.000000
2021-06-29,439.080817,441769813410.650574,21032145523.735207,25.000000
2021-06-28,418.056075,419806085348.403931,17203814631.979748,25.000000
2021-06-27,402.020853,400662053431.852966,22456924862.554840,22.000000
