date,price,market_cap,volume,fear_greed
2021-08-01,3777.943537,48945433094.318413,790482916.282522,60.000000
2021-07-31,3681.537029,47360146511.146278,1773099478.056228,60.000000
2021-07-30,3732.408291,48719827463.163109,6081216924.938250,53.000000
2021-07-29,2738.177209,35795291683.561165,591988231.691532,50.000000
2021-07-28,2612.892182,33836683516.240635,560206528.538869,50.000000
2021-07-27,2511.964799,32616839650.141163,869184581.341804,32.000000
2021-07-26,2703.502173,34894869352.448891,813406159.901042,26.000000
2021-07-25,2292.299073,29608991309.796120,533457460.631311,27.000000
2021-07-24,2116.775341,27431081977.862675,435596256.944763,22.000000
2021-07-23,2079.571649,26874613262.142620,370729161.091649,23.000000
2021-07-22,2070.750739,26689378622.892605,482074620.143845,21.000000
2021-07-21,1911.865359,24647358828.673088,748953683.278345,10.000000
2021-07-20,1865.259480,24079461323.611328,312675069.687708,19.000000
2021-07-19,1957.940097,25170483422.575256,238588480.666399,24.000000
2021-07-18,1945.600510,25050772707.612011,242441516.986803,19.000000
2021-07-17,1970.651327,25372465656.683086,389736286.202447,15.000000
2021-07-16,2011.195486,25891296940.457981,387922571.631195,22.000000
2021-07-15,2122.015179,27305268462.041851,404372093.955158,20.000000
2021-07-14,2017.305730,26378302689.166103,283013838.116768,21.000000
2021-07-13,2116.321662,27147874550.487087,360046839.997694,20.000000
2021-07-12,2210.394119,28440533791.928577,338152581.011658,25.000000
2021-07-11,2225.011244,28837468357.097961,384224205.884222,20.000000
2021-07-10,2168.779933,27624552382.330013,371177627.740049,20.000000
2021-07-09,2116.814083,27264122571.832729,428005490.661299,20.000000
2021-07-08,2190.019520,28178727465.838490,340752104.758731,20.000000
2021-07-07,2232.287783,28853485985.405167,452133606.497958,28.000000
2021-07-06,2216.205181,28599706363.010647,549603767.619285,20.000000
2021-07-05,2292.120031,29486873839.931217,343960055.615651,29.000000
2021-07-04,2191.230387,28268749353.983414,485667387.186290,27.000000
2021-07-03,2086.246520,26888825535.863365,484981145.794782,24.000000
2021-07-02,1924.669329,24795901463.636688,357537500.847739,21.000000
2021-07-01,1941.057105,25011895169.375969,692756534.911756,28.000000
2021-06-30,2108.984526,27378438367.276550,490947293.771734,28.000000
2021-06-29,2116.416789,27189215549.763409,630242196.289578,25.000000
2021-06-28,2379.146459,29742738612.595089,466361627.975140,25.000000
2021-06-27,2254.576723,28969792780.874294,674347935.603662,22.000000
2021-06-26,2569.583454,33141431414.205982,1636099435.603242,20.000000
2021-06-25,2148.794407,27650882659.799908,670172557.456258,27.000000
2021-06-24,2108.437530,26446728609.785183,600626389.210278,22.000000
2021-06-23,1665.976560,21313561281.701626,624737925.020553,14.000000
2021-06-22,1618.463214,20951914602.671131,401819049.587666,10.000000
2021-06-21,2040.995023,26464389287.091808,896557287.724763,23.000000
2021-06-20,2022.336792,26020712910.307926,282268651.659700,21.000000
2021-06-19,1929.247249,24846026252.729885,466663650.854767,23.000000
2021-06-18,2038.606186,26101000960.190136,511743830.623114,25.000000
2021-06-17,2025.855143,25955048365.670921,620400905.741081,26.000000
2021-06-16,1734.116957,22309818100.709999,319785692.351692,33.000000
