date,price,market_cap,volume,fear_greed
2021-08-12,1162.243295,331217139305.372498,14416096499.290213,70.000000
2021-08-11,1132.094233,307938775325.864868,14254736894.640505,70.000000
2021-08-10,1077.721535,293087911089.071533,10919850827.471088,71.000000
2021-08-09,1048.013765,285843889534.065674,10794344049.500011,65.000000
2021-08-08,1095.703430,298166714661.971985,15795160168.829988,74.000000
2021-08-07,1100.079179,300158128198.148865,17666048711.864227,69.000000
2021-08-06,1039.518144,283383416641.590759,17813783353.600739,52.000000
2021-08-05,995.669840,271850569237.256805,12579931210.861526,50.000000
2021-08-04,956.818771,261021675059.113037,14917483143.509487,42.000000
2021-08-03,929.543725,253943151773.559204,12956551846.610796,48.000000
2021-08-02,954.728683,259068746711.666077,15326540127.035597,48.000000
2021-08-01,1012.801239,275797709327.727051,17156593253.917746,60.000000
2021-07-31,901.149885,245374206558.481293,18817206041.560764,60.000000
2021-07-30,875.265817,239696293135.308411,13658194720.338629,53.000000
2021-07-29,778.013432,212027187310.598450,9053179166.018738,50.000000
2021-07-28,783.713405,212860306870.138855,10519867099.250015,50.000000
2021-07-27,788.449538,216274541881.951691,21193685898.558743,32.000000
2021-07-26,793.875606,216366567180.335693,8872472306.726837,26.000000
2021-07-25,801.904520,218610190438.205688,10192138049.804678,27.000000
2021-07-24,795.894787,216344784941.528717,11427519706.670246,22.000000
2021-07-23,777.671526,211816024053.249603,10526620981.979134,23.000000
2021-07-22,746.184284,202654540469.211853,16034370298.174900,21.000000
2021-07-21,668.394367,182103343623.162476,11826892745.082088,10.000000
2021-07-20,697.109383,190291758563.562317,10403421330.891630,19.000000
2021-07-19,752.540552,205156744704.543274,6353858849.345093,24.000000
2021-07-18,749.843072,204717430706.913330,8190559093.367874,19.000000
2021-07-17,735.052734,200644053224.598480,10414853963.434113,15.000000
2021-07-16,790.059586,215141454935.174347,13083682555.756474,22.000000
2021-07-15,873.992679,237494848876.075592,13275383261.685404,20.000000
2021-07-14,817.526534,222963209227.636414,7580154503.829240,21.000000
2021-07-13,865.889356,235800567641.718750,8737097474.921621,20.000000
2021-07-12,898.506569,245032190583.000092,8284033969.375180,25.000000
2021-07-11,893.206239,243763552418.922089,11629698336.239237,20.000000
2021-07-10,937.912744,255609489770.425598,12704066970.320684,20.000000
2021-07-09,938.995932,256015658293.132477,19386485679.174835,20.000000
2021-07-08,1022.609623,278830990401.490845,20296801346.149609,20.000000
2021-07-07,957.020436,260825724838.597046,13948754351.015242,28.000000
2021-07-06,926.692528,252805034696.544647,12217777949.452066,20.000000
2021-07-05,961.570750,262289894100.607635,11861285384.714418,29.000000
2021-07-04,962.056354,262261937085.610626,12897127346.107435,27.000000
2021-07-03,947.915370,257353913680.235687,16953373938.948202,24.000000
2021-07-02,936.020871,255094600507.764160,18507525195.036591,21.000000
2021-07-01,997.411212,272403958429.608795,22019156179.504555,28.000000
2021-06-30,946.181763,260948965484.497040,18006372334.941540,28.000000
2021-06-29,921.647128,251623079370.512238,18773374414.215000,25.000000
2021-06-28,884.195425,240176335977.191437,15970241179.356846,25.000000
2021-06-27,818.992261,220667038421.059265,17833061705.718891,22.000000
2021-06-26,815.158177,222634946355.219269,20566656510.916561,20.000000
2021-06-25,877.533599,239631080264.848236,20449038892.135872,27.000000
2021-06-24,0.000000,0.000000,0.000000,
2021-06-23,748.511220,200276209267.885590,38402351548.058563,14.000000
2021-06-22,743.673325,208024934642.991760,23401853084.704910,10.000000
2021-06-21,980.761705,267164688560.169586,14106690392.996344,23.000000
2021-06-20,980.047544,267429894906.108307,8401736224.336590,21.000000
2021-06-19,1017.948619,278172432134.963867,13384831031.766027,23.000000
2021-06-18,1089.363974,294655342292.939087,13100093006.918468,25.000000
2021-06-17,1099.405199,299729099542.879456,17695365529.642338,26.000000
2021-06-16,1094.737532,299309884736.242737,14026228368.681644,33.000000
2021-06-15,1095.464427,298863264717.888733,15586364319.289513,38.000000
2021-06-14,1073.616598,290996140365.617432,13510944633.826277,28.000000
2021-06-13,1011.334986,279193069119.582886,16167110789.965860,23.000000
2021-06-12,998.115576,271910828556.038086,15454276920.283655,28.000000
2021-06-11,1136.369743,309722262012.353882,17215231444.440712,21.000000
2021-06-10,1169.527313,320873549648.824219,35359424815.758644,21.000000
2021-06-09,1143.639292,314039922640.891541,50400139855.994682,14.000000
2021-06-08,1055.610774,293994058070.740601,26050777282.758518,13.000000
2021-06-07,1164.302148,317062618068.572876,22730067466.783207,15.000000
2021-06-06,1083.884178,292361131114.428894,31728380158.828163,17.000000
2021-06-05,1035.920838,282995327846.342407,30042048533.885040,24.000000
2021-06-04,1097.949136,303854046300.317261,27739322722.798607,27.000000
2021-06-03,945.983312,257804666802.677765,14569288001.692287,24.000000
2021-06-02,855.424993,233735460526.702484,12454299160.334251,23.000000
2021-06-01,898.597018,245343605000.039490,15309855143.649387,20.000000
2021-05-31,789.318784,215171361307.280487,10653473131.873461,18.000000
2021-05-30,761.543337,208801298312.662842,11110470468.198725,10.000000
2021-05-29,802.021544,218751516256.062164,17247401997.946751,18.000000
2021-05-28,936.480361,256419762666.303192,18420214236.319408,21.000000
2021-05-27,986.834635,266753045137.153595,30964767868.285370,27.000000
2021-05-26,835.217520,228293142808.719910,26014522553.503761,22.000000
2021-05-25,868.135301,236925524436.546478,37864065652.989891,22.000000
2021-05-24,692.583902,188504624596.800232,55593043794.872360,10.000000
2021-05-23,884.080212,242410496195.418091,31732166684.712044,14.000000
2021-05-22,1074.712832,291670729863.168030,50544504325.319374,12.000000
2021-05-21,1245.205711,340387824243.406372,70455858510.800491,19.000000
2021-05-20,997.882765,276773098483.550903,81515162817.491776,11.000000
2021-05-19,1572.565934,430106804171.825684,57735048694.890083,23.000000
2021-05-18,1314.369261,361938143515.804321,59038116997.361725,21.000000
2021-05-17,1319.720106,358319674106.604858,62932969950.282898,27.000000
2021-05-16,1215.787525,330082374816.276245,17271110518.172756,20.000000
2021-05-15,1199.265724,326989758306.644653,15009148234.217842,27.000000
2021-05-14,1149.105853,310172989316.356384,35604187389.849274,26.000000
2021-05-13,1222.756463,348674066702.110413,38901533040.285538,31.000000
2021-05-12,1249.241779,341210145257.070618,16422523050.865828,68.000000
2021-05-11,1192.024562,325313127415.514465,16946504739.265961,61.000000
2021-05-10,1231.755388,335174728115.935974,17531513206.132156,72.000000
2021-05-09,1266.388590,346028193394.150208,15662194671.407637,73.000000
2021-05-08,1193.942335,325334415896.610535,17409992421.361752,67.000000
2021-05-07,1214.608474,330771315592.676392,13887146487.651966,64.000000
2021-05-06,1252.203057,340201286449.237732,17655942205.294277,65.000000
2021-05-05,1191.767162,326416788364.387695,23749655163.960594,48.000000
2021-05-04,1287.121939,351793411706.969910,21066212438.532776,68.000000
2021-05-03,1307.666320,354717056903.623535,20513128171.209721,61.000000
2021-05-02,1383.696656,376287090648.550720,30865082217.439213,66.000000
2021-05-01,1197.913449,323895686522.516785,19934468545.422649,68.000000
2021-04-30,1187.061145,321171622607.527222,28087641515.635303,51.000000
2021-04-29,1254.348961,338758835901.910706,36997394747.864563,52.000000
2021-04-28,1206.554836,327481419357.406189,24831579541.333401,59.000000
2021-04-27,1238.297010,335446683261.865173,50333034961.195816,50.000000
2021-04-26,1336.764551,363176304354.238708,59345986753.806282,27.000000
2021-04-25,1142.780997,311942521007.319763,42315420277.429802,31.000000
2021-04-24,1039.622469,280740423014.505676,60886192718.510735,37.000000
2021-04-23,1096.071290,296079149146.158569,45460640458.460999,55.000000
2021-04-22,904.619845,247493158195.673553,25658573177.877468,65.000000
2021-04-21,888.547889,242238453776.629425,27539055700.734093,73.000000
2021-04-20,893.805261,243477865811.144409,32080757974.216705,73.000000
2021-04-19,916.796256,249900001492.174438,41170751714.901917,74.000000
2021-04-18,706.972842,191176660057.388794,7343479707.113260,79.000000
2021-04-17,714.584612,193561265860.613647,8318889101.831617,76.000000
2021-04-16,787.351986,212488795096.372040,7580699936.355598,78.000000
2021-04-15,750.667609,201875193027.251190,12069496302.432301,79.000000
2021-04-14,783.599834,212529823280.617035,9312925255.959848,75.000000
2021-04-13,810.306386,217850695355.980804,11027219916.813122,74.000000
2021-04-12,793.223734,213980338761.852173,8378017991.210021,74.000000
2021-04-11,763.560558,206118964804.084625,9677785322.313866,76.000000
2021-04-10,790.646927,213686883739.763245,10009586626.101477,70.000000
2021-04-09,767.507837,205561187697.599762,12667834859.624369,70.000000
2021-04-08,756.620825,205484833335.323120,20261295089.438290,73.000000
2021-04-07,710.912666,190000809395.428833,11496476192.936581,72.000000
2021-04-06,651.626684,174494930320.354980,9210995306.071173,75.000000
2021-04-05,685.743669,184381481776.505188,15307430543.094831,71.000000
2021-04-04,645.098700,173464340807.119781,17147750554.780920,74.000000
2021-04-03,563.440192,150928009540.391968,4626397287.010785,73.000000
