date,price,market_cap,volume,fear_greed
2022-03-12,2530.483183,955431220455.848633,109080922175.125427,22.000000
2022-03-11,2868.829225,1025640227242.540771,126709946126.567963,22.000000
2022-03-10,2809.697823,1020888411420.979248,139844485377.372925,28.000000
2022-03-09,2423.110142,884230275847.826904,72508502214.268219,22.000000
2022-03-08,2198.901295,806100159002.895142,64047951032.774307,21.000000
2022-03-07,2228.277526,819021332025.350342,56266763407.528671,23.000000
2022-03-06,2456.286402,906375144664.721313,61165457981.027473,22.000000
2022-03-05,2358.461232,877843378696.425903,78404127901.188202,
2022-03-04,2541.340631,947878739491.462769,68529858237.058327,
2022-03-03,2573.675254,966209047341.819214,99722906170.311035,39.000000
2022-03-02,2525.001731,948044784400.632812,98067058744.541916,52.000000
2022-03-01,2554.353977,959489229279.934082,113008606300.103394,51.000000
2022-02-28,2032.407493,764833607807.959717,63293799254.977180,20.000000
2022-02-27,2173.596775,822877522100.813965,65053097692.773560,26.000000
2022-02-26,2047.443981,776977860428.937500,89383215086.803558,26.000000
2022-02-25,1838.654316,701739793383.082031,128737919989.039673,27.000000
2022-02-24,1667.285334,643933544695.517090,64989371914.549179,23.000000
2022-02-23,1523.082783,588655866609.476318,49489928930.344444,25.000000
2022-02-22,1398.336149,543997997422.888000,42373140337.308289,20.000000
2022-02-21,1382.093933,539201592488.223816,23019203367.408623,25.000000
2022-02-20,1406.747317,546595798403.869629,18610736980.028294,27.000000
2022-02-19,1415.652079,553950464897.461060,26205272335.265598,25.000000
2022-02-18,1402.114462,555257685167.502563,24132720680.521942,30.000000
2022-02-17,1562.155711,623297993202.630615,19812122180.911743,52.000000
2022-02-16,1582.054805,629446854677.543945,23568463288.537914,51.000000
2022-02-15,1502.040144,599679329502.383667,25258976276.640720,46.000000
2022-02-14,1446.943349,575757981077.578857,18522114888.932022,46.000000
2022-02-13,1451.772868,578758170922.192017,26480312622.267879,44.000000
2022-02-12,1407.229899,564746300236.826294,34477140524.110786,44.000000
2022-02-11,1455.077667,586063622146.990845,43158514333.382782,50.000000
2022-02-10,1592.526873,638472737836.333862,37222352842.556137,50.000000
2022-02-09,1596.099698,641633203525.148315,50747925705.455009,54.000000
2022-02-08,1657.527922,666355273626.556274,57506414936.919731,48.000000
2022-02-07,1556.577468,624633254317.421387,33850589521.965988,45.000000
2022-02-06,1543.310731,623230501865.052490,51944981509.064491,37.000000
2022-02-05,1496.696733,593350355041.581177,54440960376.829407,33.000000
2022-02-04,1416.177030,565634101144.370728,45629460949.736885,20.000000
2022-02-03,1325.134197,529636991836.094421,43357300235.337921,20.000000
2022-02-02,1446.529848,578941605545.009155,50851944692.286163,28.000000
2022-02-01,1448.519729,574110297992.633667,68196972904.818153,26.000000
2022-01-31,1290.605280,517113698880.998962,41885143182.951683,20.000000
2022-01-30,1416.619892,565772680764.366699,57669811583.770729,29.000000
2022-01-29,1410.540388,563206728798.257080,88334901334.151550,24.000000
2022-01-28,1506.700713,598961120026.858887,72810565783.204651,24.000000
2022-01-27,1630.864297,661201858843.628174,77027456374.338913,20.000000
2022-01-26,1747.266222,701315615754.296021,68356060875.291931,23.000000
2022-01-25,1833.175513,741259981956.104004,117321382465.404984,12.000000
2022-01-24,1936.945861,779098791469.176147,87624203902.300674,13.000000
2022-01-23,1734.586843,699995878682.907593,131976020833.969513,11.000000
2022-01-22,1784.076892,721473500776.046509,120114790595.947845,13.000000
2022-01-21,2130.221564,760363345073.148438,49940541392.299751,19.000000
2022-01-20,2233.715859,800573625316.879639,55765329171.166000,24.000000
2022-01-19,2221.616331,796350200945.628662,55070233638.975197,24.000000
2022-01-18,2121.560432,759811329504.422607,49189659766.904686,24.000000
2022-01-17,2395.974709,860472700540.186523,36124271430.928871,22.000000
2022-01-16,2415.225136,865159943525.796509,40266350335.624176,21.000000
2022-01-15,2249.093033,805596062183.931030,47821635538.413246,23.000000
2022-01-14,2157.710816,773512470764.656860,65169229064.018890,21.000000
2022-01-13,2272.358604,815184756639.046997,69379216174.134171,21.000000
2022-01-12,2036.981949,725916673149.472900,54205391859.481377,22.000000
2022-01-11,1916.262245,684591465133.153320,76130861652.651520,21.000000
2022-01-10,2061.329219,736131880579.660034,61431627709.360603,23.000000
2022-01-09,1849.630705,667956080879.387207,60336431331.778549,23.000000
2022-01-08,1902.133432,683351743878.150757,89713393889.288239,10.000000
2022-01-07,2171.976478,786180597424.648315,55863801238.840416,18.000000
2022-01-06,2177.534986,785706013095.319824,56875558437.789642,15.000000
2022-01-05,2334.688462,857700556227.808960,43111403055.407722,24.000000
2022-01-04,2458.520054,889885419518.960815,45091917290.457916,23.000000
2022-01-03,2480.357187,900242009258.756104,33265750918.574505,29.000000
2022-01-02,2539.788593,917930185720.975952,39316771570.126289,29.000000
2022-01-01,2369.437046,861223188599.650513,53418675678.066978,21.000000
2021-12-31,2343.745238,845037886770.983643,54917012818.960594,28.000000
2021-12-30,2319.614079,836293097404.163208,65369098578.068176,22.000000
2021-12-29,2365.234903,865156318582.882935,89750819583.723740,27.000000
2021-12-28,2517.549971,916651218974.519165,77751369449.696640,41.000000
2021-12-27,2767.210843,1005816590461.079834,61341267189.822289,40.000000
2021-12-26,2729.182677,996642274305.114502,73272092750.527634,37.000000
2021-12-25,2657.752118,971297674506.225098,104722370171.587982,39.000000
2021-12-24,2594.256854,946427418833.263672,108319142853.851822,41.000000
2021-12-23,2371.475281,872969465978.875488,125182567215.611633,34.000000
2021-12-22,2420.845150,892638232297.656128,81888169069.923050,45.000000
2021-12-21,2275.201105,844108073731.529175,111857495107.482437,27.000000
2021-12-20,2182.265894,813328967662.308472,63228844161.982674,25.000000
2021-12-19,2052.310070,768945592614.588379,56042539609.165375,29.000000
2021-12-18,1838.245301,690148945427.549683,52364697879.617325,24.000000
2021-12-17,1786.236542,668575273786.696533,51594363294.420059,23.000000
2021-12-16,1708.898647,640492325982.673584,58925654929.929619,29.000000
2021-12-15,1667.331161,622998158023.892456,68200356798.027298,28.000000
2021-12-14,1481.915763,560380553612.446899,48109378020.339394,21.000000
2021-12-13,1720.055930,646195707434.069580,37126690258.789162,28.000000
2021-12-12,1651.862169,623930978098.972534,47719600590.655472,27.000000
2021-12-11,1687.894677,642208755370.145874,69692072869.460846,16.000000
2021-12-10,1850.715597,709266804737.243042,79481864536.458908,24.000000
2021-12-09,2063.511494,784201230872.701782,74667041802.012512,29.000000
2021-12-08,1918.810783,734276912283.677124,83580808416.396011,28.000000
2021-12-07,1852.049629,711466466326.046753,110635874175.143478,25.000000
2021-12-06,1882.736536,727791771764.833740,127006059885.808228,16.000000
2021-12-05,2101.708860,813173638103.900635,154353240969.663147,18.000000
2021-12-04,1774.961253,690586141211.307007,73025540443.527039,25.000000
2021-12-03,1822.462881,707627307047.757446,65273691701.468391,31.000000
2021-12-02,1776.380656,693187096590.909546,62985189149.385078,32.000000
2021-12-01,1631.709923,637840115024.204102,64639185377.563530,34.000000
2021-11-30,1431.811070,562061426523.475464,37338740033.213615,40.000000
2021-11-29,1392.526649,546559454521.599182,57368496286.760735,33.000000
2021-11-28,1210.814435,476062305957.474304,21188067955.485447,27.000000
2021-11-27,1139.116929,454595741885.388855,41522681857.677399,21.000000
2021-11-26,1209.561772,480740142837.753601,18348536981.594376,47.000000
2021-11-25,1071.719006,427925999467.814575,19448438085.044006,32.000000
2021-11-24,1189.049542,475758292648.972412,15043308786.227907,42.000000
2021-11-23,1143.501776,456146846248.214417,18843239597.198120,33.000000
2021-11-22,1224.167057,491219977754.739136,13948495734.464342,50.000000
2021-11-21,1264.039899,505343307019.705444,17131563086.463184,49.000000
2021-11-20,1188.227094,478557932267.754395,23985213183.437523,43.000000
2021-11-19,1120.520429,463608218010.028015,37070249803.995483,34.000000
2021-11-18,1202.711694,506634039890.147217,28068226395.270744,54.000000
2021-11-17,1212.066248,524757226456.391357,33951806996.579239,52.000000
2021-11-16,1342.107320,590586977068.047363,11795486561.044214,71.000000
2021-11-15,1425.650728,635202625947.228149,9827462227.520910,72.000000
2021-11-14,1449.557120,660951623568.385132,14394435042.204922,74.000000
2021-11-13,1384.697130,642574346303.880127,20808722133.197865,72.000000
2021-11-12,1409.107036,667984232517.769897,23977467597.877121,74.000000
2021-11-11,1357.384595,653544667498.372314,37896528008.710815,77.000000
2021-11-10,1399.682948,561342796313.005005,20091324049.173546,75.000000
2021-11-09,1513.248554,604575276083.046265,26246698049.913696,84.000000
2021-11-08,1413.870093,565268682058.125610,13536730854.757574,75.000000
2021-11-07,1424.494588,564963169642.572021,17983255467.231682,73.000000
2021-11-06,1394.742117,556653393096.991089,23679643925.711403,71.000000
2021-11-05,1452.737723,573341654602.723145,38490410815.851456,73.000000
2021-11-04,1337.187100,535618125992.822021,37823057566.176521,73.000000
2021-11-03,1246.951213,498877524834.827209,15312175286.442038,76.000000
2021-11-02,1227.208985,491460521951.795532,14381832604.706566,73.000000
2021-11-01,1196.519932,480033842676.840027,13225706431.833139,74.000000
2021-10-31,1202.419272,481813413981.466553,11965077292.233454,74.000000
2021-10-30,1271.269515,510333560155.499207,19743190647.079086,73.000000
2021-10-29,1190.444565,476901960039.446411,23642206524.472801,70.000000
2021-10-28,1111.376627,446173137862.741577,36645996939.991211,66.000000
2021-10-27,1223.550527,490997627561.640259,32926372214.929928,73.000000
2021-10-26,1192.410797,477048116487.383972,17818143959.348232,76.000000
2021-10-25,1159.999928,464395257330.576477,16736951352.121840,72.000000
2021-10-24,1209.061276,484953611227.582092,21504550939.094349,73.000000
2021-10-23,1229.095216,494126292188.667114,45351479005.247887,74.000000
2021-10-22,1141.598465,458584211794.212158,37135697673.247047,75.000000
2021-10-21,1190.781633,478084482719.585571,37791623460.768280,84.000000
2021-10-20,1052.984175,423779799708.455627,16598903767.699039,82.000000
2021-10-19,1000.766800,403560776816.900818,14239873100.435982,75.000000
2021-10-18,1014.042926,406376139688.088257,13622768435.008465,78.000000
2021-10-17,1027.933228,412099410349.209595,13382143620.208918,79.000000
2021-10-16,1038.998964,417415074922.084961,24025455370.852200,78.000000
2021-10-15,1040.137392,417371812844.751831,26878506429.886471,71.000000
2021-10-14,1029.254366,413506860346.485596,25565990080.618546,70.000000
2021-10-13,1057.852118,425724598172.792175,31965206152.933922,70.000000
2021-10-12,1094.309510,436954405978.679138,25606301690.019569,78.000000
2021-10-11,1102.296472,443527980116.495178,18482386933.978687,71.000000
2021-10-10,1198.368349,481170433230.093140,16710340294.090193,71.000000
2021-10-09,1216.137624,488624005715.477539,33217482360.636395,72.000000
2021-10-08,1296.134353,516074366727.053650,44357518687.911095,74.000000
2021-10-07,1175.001248,472680916967.043274,36973526173.538658,76.000000
2021-10-06,1254.340887,502429958497.023987,35705160465.848587,68.000000
2021-10-05,1304.557708,522162689331.587341,69303598056.025589,59.000000
2021-10-04,1193.179343,478148547457.853760,54474050623.459526,54.000000
2021-10-03,1149.238563,459054734237.937378,38349252660.342445,49.000000
2021-10-02,1049.616919,419309396110.151184,31678985204.668247,54.000000
2021-10-01,1068.885672,425561061845.087219,28645473992.833443,27.000000
2021-09-30,950.797640,379462776909.649902,29550029922.712746,20.000000
2021-09-29,917.717287,369237510909.737976,30718580914.641399,24.000000
2021-09-28,1017.054672,409864875243.827759,44337008079.560158,25.000000
2021-09-27,958.135583,382864372117.297668,37774055647.094139,26.000000
2021-09-26,1056.471645,422838746963.501770,45242821602.242485,27.000000
2021-09-25,1110.717579,440555179102.273621,83244974361.209732,28.000000
2021-09-24,1009.692625,403972850192.947571,41997452090.487694,33.000000
2021-09-23,923.403389,369417918268.830383,40120951058.984756,27.000000
2021-09-22,691.848473,275694378524.931274,38612566946.728943,21.000000
2021-09-21,761.665914,302593887768.669434,43971582948.623444,27.000000
2021-09-20,918.801195,369639806052.664429,25537888837.061207,50.000000
2021-09-19,963.532583,387267509547.487366,17842981392.388493,53.000000
2021-09-18,954.390122,385718194996.876770,27620292327.463181,50.000000
2021-09-17,1041.062407,418005601864.975708,37021245393.536362,48.000000
