date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed
2021-06-22,14.253496885495336,41788547768.08515,3648264022.464396,15438.900714285714,0.0,33300,10
2021-06-21,17.886832387455915,51895615521.45397,2974284917.4051538,15435.576923076924,12790.86078639745,33300,23
2021-06-20,16.81736184291363,48631216438.54154,2424108830.910922,127273.70546153848,12793.86078639745,33300,21
2021-06-19,17.03099017804764,20923947703.562195,2976536899.865792,126957.48076923077,14832.86078639745,33300,23
2021-06-18,19.02292815925934,23193435416.801388,2803945964.981432,126796091.0,14170.860638297872,33300,25
2021-06-17,18.825886414676063,23029488454.365574,5293796053.404861,126585932.0,14173.86170212766,33300,26
2021-06-16,19.89967885268957,24419932768.936283,4807936230.266607,126222.21153846152,7223.86170212766,33300,33
2021-06-15,18.862626263852764,23083300629.07818,4462308892.651371,126089.94633333333,7224.862619808307,30919,38
2021-06-14,19.079387321903884,23194348865.960384,2884021804.8527503,15319.916666666666,7119.859424920128,30919,28
2021-06-13,16.72660121868233,20583058267.450336,2186606215.684205,125756.0323846154,7119.859424920128,30919,23
2021-06-12,16.99684453108398,20804641227.48648,2431409492.611053,15291.836363636365,8808.860341151387,30919,28
2021-06-11,18.3410702989398,22490888689.720085,3079299979.130178,15267.636363636364,0.0,30919,21
2021-06-10,19.734140916080243,24192362508.954727,5000965355.180083,125313.5,8735.860192102455,30919,21
2021-06-09,19.220486831035487,23607552301.86392,4727492629.824896,125116.18966666669,8634.860192102455,30919,14
2021-06-08,19.08831666930675,23550944760.693504,4460690334.051988,15219.029666666664,7311.860962566845,30919,13
2021-06-07,21.51389454134265,26354273609.400723,2885070981.7755303,15193.448384615383,7249.858823529412,30919,15
2021-06-06,20.76163228067472,25288868972.563835,4228391622.130009,124466.23076923077,7249.860664523044,30919,17
2021-06-05,22.20059885207156,27297990886.23104,7493020732.20984,124270.35633333331,11883.860664523045,30919,24
2021-06-04,26.42713951530557,32408783196.84901,8474943413.302189,123921.41666666669,11875.862513426422,30919,27
2021-06-03,21.262316803444698,26037829329.529182,2926792512.153982,123612.33333333331,11875.863440860216,30919,24
2021-06-02,21.18191157415622,25981108843.42515,4071680739.465768,15095.462666666666,10389.863293864371,30919,23
2021-06-01,21.81036071560804,26780210389163.0,7456698848.374687,15093.948384615383,9363.8619201726,30919,20
2021-05-31,20.382512097613663,25007115155.557247,4132876334.442412,15070.122461538462,9104.862850971922,30974,18
2021-05-30,17.351121681803487,21401561630.815685,3320537439.710591,122235.40133333331,9104.863783783783,30058,10
2021-05-29,18.03299655281329,22117096412.06926,5871938970.968068,122027.83333333331,12589.863783783783,30058,18
2021-05-28,21.3974343187193,26255220952.974934,5384520362.547227,121861.10533333333,12590.861471861472,30058,21
2021-05-27,23.342463594638765,28550621664.99853,5804375767.186292,121597.30769230767,11714.861171366594,30058,27
2021-05-26,22.8012616897918,27973886629.9167,5885973924.962706,14900.896769230769,11714.860086767896,30058,22
2021-05-25,23.00235346000376,28087017442.5308,8123854541.407848,14860.553666666669,10843.851409978308,30058,22
2021-05-24,18.39753323176967,22326265447.56232,7758057029.091494,14833.764333333334,9844.851409978308,30058,10
2021-05-23,22.155383835519725,27107351176.33627,5176703891.109516,120362682.0,9842.852334419107,30058,14
2021-05-22,23.400825847930022,28871165413.38419,8217717356.272787,120187.18866666668,17095.85233441911,30058,12
2021-05-21,25.25854244088442,30669230615.72,9127247028.850803,120022455.0,17024.852173913045,30058,19
2021-05-20,21.33814821447673,26443516077.44591,12901627070.39547,119839.09866666669,16727.852173913045,30058,11
2021-05-19,34.36288532162307,41871863110.20121,5931809144.077178,14820.134615384615,16724.852173913045,30058,23
2021-05-18,33.51024995582406,41394389821.729904,8666872576.17787,14742.264333333333,15113.851086956522,30058,21
2021-05-17,36.41471245218065,44249585727.58431,7050350976.212916,14764.916666666668,14453.851086956522,30058,27
2021-05-16,36.68354632147405,45121466286.37517,11864459325.62674,117670.47469230767,17201.85108695652,30058,20
2021-05-15,38.115064299264574,46678949357.30538,5333209144.402913,117125.31476923075,17201.85108695652,27969,27
2021-05-14,36.62232257985322,44667111133.384605,9287856676.216026,116433.42433333331,17112.852780806978,27969,26
2021-05-13,35.92819282970297,45711479970.776855,9757939834.98355,115900.22469230767,14827.852620087337,27969,31
2021-05-12,40.86712605241016,50206120123.069145,7036270800.949936,114879.22033333332,14812.849344978164,27969,68
2021-05-11,38.49990410922533,47292147062.93656,9270661709.405617,14501.307692307691,14815.849344978164,27969,61
2021-05-10,42.63186210424984,52211000509.48312,6534908369.670474,14482.492333333332,14815.847921225382,27969,72
2021-05-09,43.819893966161295,53482834442.61939,6710272682.09747,113564.99333333332,6330.846827133479,27969,73
2021-05-08,44.30504828081798,54272018417.01798,12479606907.718245,113022.80769230767,9535.847754654984,27969,67
2021-05-07,44.81624483070207,54894108713.35428,12764904811.101929,112618.15233333332,9474.847754654984,27969,64
2021-05-06,42.9132772042824,52675728565.85772,6458787031.729751,112053.21153846152,9443.85054945055,27969,65
2021-05-05,39.81997977675539,49364681494.73192,7839442107.970487,111111.78833333332,9444.849450549453,27969,48
2021-05-04,44.43256615017384,54560171597.571175,6763793271.590961,110774.99090909092,8732.848184818482,27969,68
2021-05-03,44.88059020524189,54981857870.912735,6205926376.491046,14156.083333333334,8748.848184818482,27969,61
2021-05-02,46.25069184856682,56674546419.035484,10599421961.351242,109778917.0,8748.848184818482,27969,66
2021-05-01,43.345893957886936,53008169184.66132,6361542858.34749,109237.34615384616,11501.848184818482,27969,68
