date,price,market_cap,volume,fear_greed
2021-08-01,171.225153,171299080615.330811,9009430140.736996,60.000000
2021-07-31,167.573052,167610573629.973694,8685086342.626413,60.000000
2021-07-30,167.313630,167674502230.563690,9204055229.800943,53.000000
2021-07-29,161.242428,161315420457.581909,11793395951.468023,50.000000
2021-07-28,167.310510,166774708817.508606,15014898527.163538,50.000000
2021-07-27,156.424373,157045322608.620209,19436561741.120853,32.000000
2021-07-26,173.919334,173794685610.619690,25188220301.894863,26.000000
2021-07-25,158.913744,158997191972.528198,16552911489.987955,27.000000
2021-07-24,140.893048,140436944872.909668,9237968693.562042,22.000000
2021-07-23,137.039227,136833071510.703003,9751051196.794186,23.000000
2021-07-22,122.270558,121767913746.255478,9097958135.860439,21.000000
2021-07-21,104.035290,103939343286.927795,8185051070.217605,10.000000
2021-07-20,114.854867,115896548513.792084,5820497886.971431,19.000000
2021-07-19,124.669177,124585156814.495880,5437541814.029628,24.000000
2021-07-18,124.022591,124133845982.926605,5812762752.550646,19.000000
2021-07-17,123.937014,123833031555.510483,6509059579.153912,15.000000
2021-07-16,134.936195,135805666974.180801,5605045949.531309,22.000000
2021-07-15,144.308715,144120975369.058502,7199882858.901342,20.000000
2021-07-14,147.671497,148119762898.824188,5348146252.517535,21.000000
2021-07-13,156.769629,156785068980.100708,5313715544.287250,20.000000
2021-07-12,166.229206,166225787447.375610,4128825178.663539,25.000000
2021-07-11,166.026329,166079981333.766205,4526788380.895394,20.000000
2021-07-10,170.604799,170668936231.841492,6963719515.588854,20.000000
2021-07-09,172.339912,172340263283.856110,14643052981.859320,20.000000
2021-07-08,177.755510,177763001879.751312,7398183418.924895,20.000000
2021-07-07,171.326875,171341736481.096802,5105416195.367719,28.000000
2021-07-06,168.490281,168531921960.726593,5609685874.807888,20.000000
2021-07-05,177.793729,178119049131.574585,4835019172.774611,29.000000
2021-07-04,174.323951,174063812914.234100,4025370639.907919,27.000000
2021-07-03,174.505508,173964507962.932312,6840794824.050354,24.000000
2021-07-02,177.803602,177716870909.619598,6811956093.287359,21.000000
2021-07-01,193.598042,193634752691.330872,7861976744.399206,28.000000
2021-06-30,197.900339,199080724032.324005,7838073742.591512,28.000000
2021-06-29,193.925744,193589119013.849609,6961448762.792532,25.000000
2021-06-28,193.019989,192476771769.002411,6910292957.941388,25.000000
2021-06-27,182.490379,182481630977.425415,8093678603.359415,22.000000
2021-06-26,188.889173,189081126283.311615,10429287157.788685,20.000000
2021-06-25,203.492716,203591132632.818390,9136018779.254404,27.000000
2021-06-24,193.560804,193783318952.009766,13539356084.898912,22.000000
2021-06-23,177.671906,171172414140.351715,19113622032.135983,14.000000
2021-06-22,184.709410,186904588986.547913,12252335486.170492,10.000000
2021-06-21,242.205367,242419879075.439606,7323528159.624638,23.000000
2021-06-20,248.576644,249020294699.574158,6715133153.449695,21.000000
2021-06-19,248.105956,248501297101.765930,14661566419.647610,23.000000
2021-06-18,264.612745,262890939775.297272,11880417377.525120,25.000000
2021-06-17,245.693493,245532474814.080811,6411550946.623342,26.000000
2021-06-16,246.974416,247091956461.911011,6613156898.907886,33.000000
2021-06-15,251.750023,251481439004.008606,11371613110.985483,38.000000
2021-06-14,242.276144,242157169600.240204,9329257253.260490,28.000000
2021-06-13,218.190527,219172657078.212067,10266476298.286903,23.000000
2021-06-12,216.381791,215805968490.956879,9700479042.740273,
2021-06-11,243.145127,243186683938.156555,10465623368.321301,
2021-06-10,259.707367,260953734717.050812,20398210221.073177,
2021-06-09,248.272746,249462605924.757294,21782827396.871811,
2021-06-08,239.565194,242412949003.267761,19227757243.281460,
2021-06-07,243.146362,243328829375.461914,9257701763.402023,
2021-06-06,246.946793,246053673965.998077,19599626236.407745,
2021-06-05,246.571567,246544313197.285187,29946062332.726330,
2021-06-04,264.418491,267923945104.104156,15705766488.036854,
