date,price,market_cap,volume,fear_greed
2021-08-01,2.354703,28987321938.362610,3838650962.925629,60.000000
2021-07-31,2.253364,27665829914.589573,3150614469.639528,60.000000
2021-07-30,2.146521,26347883411.825768,3514739916.026608,53.000000
2021-07-29,2.065898,25351642207.739449,2159772091.119013,50.000000
2021-07-28,2.136595,26213721583.728775,3236278088.669257,50.000000
2021-07-27,2.087389,25688680211.995167,7300931426.041286,32.000000
2021-07-26,2.094742,25761729447.487648,5055336519.889407,26.000000
2021-07-25,1.811443,22236093564.772808,1528611820.858760,27.000000
2021-07-24,1.764756,21647995821.255737,1384653490.247823,22.000000
2021-07-23,1.747118,21421581543.468121,1847527846.674926,23.000000
2021-07-22,1.645467,20097778830.537971,1812973440.801230,21.000000
2021-07-21,1.511583,18522238161.164696,1943727267.568301,10.000000
2021-07-20,1.657145,20346608522.829720,1205412106.790186,19.000000
2021-07-19,1.787973,21875807456.406288,1146031349.429100,24.000000
2021-07-18,1.749219,21419220220.479595,1221915554.252928,19.000000
2021-07-17,1.728044,21122472723.515160,1430611676.263549,15.000000
2021-07-16,1.874092,23005078301.529282,1564026780.732205,22.000000
2021-07-15,1.995093,24365821414.108368,1824466181.269654,20.000000
2021-07-14,1.943046,23839847179.920959,1517707533.506974,21.000000
2021-07-13,2.026746,24754055381.261929,1311415530.043400,20.000000
2021-07-12,2.071228,25321226955.384254,1397498603.306333,25.000000
2021-07-11,2.049306,25058775594.138512,1297801843.445913,20.000000
2021-07-10,2.108815,25751020251.964134,1835252809.280529,20.000000
2021-07-09,2.119209,25890265822.290878,2533030711.070964,20.000000
2021-07-08,2.286963,27932645470.141800,3144364714.838728,20.000000
2021-07-07,2.254160,27503392174.099754,2299853530.768455,28.000000
2021-07-06,2.258403,27569727851.920303,2562829712.323592,20.000000
2021-07-05,2.325984,28428942131.300343,2681380113.518293,29.000000
2021-07-04,2.296284,27969347440.887360,1702864981.957079,27.000000
2021-07-03,2.282035,27793039666.515575,1961536352.001946,24.000000
2021-07-02,2.319628,28256075237.269905,2614140592.801889,21.000000
2021-07-01,2.461998,30066933959.272083,3977410722.764933,28.000000
2021-06-30,2.410003,29475677459.717751,5178436800.823071,28.000000
2021-06-29,2.223328,27069482958.994320,4886480383.183196,25.000000
2021-06-28,2.031973,24694419577.937740,1827864343.343092,25.000000
2021-06-27,1.953137,23757532852.876923,2213159254.077811,22.000000
2021-06-26,1.985032,24182287203.477322,2506041269.972204,20.000000
2021-06-25,2.213135,26978940872.313519,2329730908.736966,27.000000
2021-06-24,2.087139,25366557421.841415,3780895619.721978,22.000000
2021-06-23,1.910731,23115541220.466225,4657661361.153083,14.000000
2021-06-22,2.055930,25520017403.482479,3621955571.143231,10.000000
2021-06-21,2.700095,32737658953.060627,2445603547.517422,23.000000
2021-06-20,2.617929,31838191247.720295,1802880496.031400,21.000000
2021-06-19,2.684914,32744967507.258591,2557632686.489983,23.000000
2021-06-18,2.913132,35117643187.596588,2785101509.686386,25.000000
2021-06-17,2.888866,35079120715.454399,3657547773.693357,26.000000
2021-06-16,2.986196,36267042609.002731,3333643366.767025,33.000000
2021-06-15,3.064456,37181995052.293190,3520288174.498962,38.000000
2021-06-14,2.976078,36082696136.111061,3428555796.182496,28.000000
2021-06-13,2.750906,33365164741.769180,3860827822.467586,23.000000
2021-06-12,2.842071,34457484102.839859,4974796130.176196,28.000000
2021-06-11,3.018034,36634095605.964607,3441699810.199079,21.000000
2021-06-10,3.214503,39012696612.700722,4908579063.158237,
2021-06-09,2.999869,36532581687.120987,5526160501.748083,
2021-06-08,3.022957,37011998370.459244,4341015377.791236,
2021-06-07,3.419872,41438478178.116859,4995637525.352479,
2021-06-06,3.310654,40027214547.810051,5386476155.240207,
2021-06-05,3.503293,42407500599.731590,6542782967.602356,
2021-06-04,3.885213,47285226123.159401,14125877951.628428,
2021-06-03,3.442295,41607231049.599991,4948213684.515814,
2021-06-02,3.262981,39477413177.588806,4343531690.822243,
2021-06-01,3.184261,38514538951.438057,3313537589.613262,
2021-05-31,2.920377,35282739290.529343,3523301076.070122,
2021-05-30,2.783747,33860401021.733860,4164721952.393058,
2021-05-29,3.089989,37308138534.865646,5706841963.755585,
2021-05-28,3.404941,41028930151.612366,4844503920.336658,
2021-05-27,3.708994,44402575036.897209,8281108231.179515,
2021-05-26,3.003436,36319396130.061165,5174086212.811344,
2021-05-25,3.052247,36481541896.790802,5661570875.489878,
2021-05-24,2.472897,29583777741.807888,6745647557.038952,
2021-05-23,3.221614,38880781295.345467,7189135704.577374,
2021-05-22,3.164630,38046718428.356300,6768643121.158966,
2021-05-21,4.079298,49018118111.529778,10357573941.658895,
2021-05-20,3.154411,39251428783.084656,12613299973.099440,
2021-05-19,4.930545,59196421218.196815,5453833277.337084,
2021-05-18,4.751831,57728294319.330254,6601493372.038130,
2021-05-17,5.165694,62185846718.338058,7660474014.482098,
2021-05-16,5.172998,62604897134.104874,6012038796.602362,
2021-05-15,5.630705,67703314519.599113,6238233313.241953,
2021-05-14,5.231058,62654421768.475693,10646941965.546846,
2021-05-13,5.125131,64507839935.460365,8495231029.314245,
2021-05-12,6.176823,73957066085.757584,8618442816.367998,
2021-05-11,5.837350,70142057478.333176,14592130109.119295,
2021-05-10,6.531549,78436598433.632614,11180638551.633961,
2021-05-09,6.532755,78222921065.062790,10078646490.797430,
2021-05-08,6.287919,75490640564.828445,13983725616.275637,
2021-05-07,6.616022,79572327294.666718,31445418740.892918,
2021-05-06,5.933220,71072942527.019699,10107917585.009132,
2021-05-05,5.440685,66158419010.159721,10484638980.419201,
2021-05-04,5.968959,71703114060.854294,10353603474.180492,
2021-05-03,5.713794,68371325845.961823,6182721351.292573,
2021-05-02,5.893152,70966244883.044678,8512060879.604594,
2021-05-01,5.754525,69002339578.593414,7968669240.343851,
2021-04-30,5.376217,64472878942.502632,7982950876.041396,
