,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,10-06-2021,1169.5273131210113,320873549648.8242,35359424815.758644,341839.8113333333,244542.83514986376,8787
1,09-06-2021,1143.6392916814211,314039922640.89154,50400139855.994675,339705.1973333333,243189.83509369678,8787
2,08-06-2021,1055.6107735385683,293994058070.7406,26050777282.758522,337547.5708461539,242456.8349249659,8787
3,28-05-2021,936.4803610109782,256419762666.3031,18420214236.31941,316395.091,251684.82619212163,10872
4,27-05-2021,986.834635492096,266753045137.15356,30964767868.28537,314795.04453846155,251679.82670356278,10872
5,26-05-2021,835.2175199737234,228293142808.7199,26014522553.50375,312840.56799999997,194111.8254243159,10872
6,25-05-2021,868.1353010680176,236925524436.54648,37864065652.98989,309642.89776923077,168567.82524271845,10872
7,24-05-2021,692.5839015341818,188504624596.80026,55593043794.87236,306827.1538461539,165322.8240194377,10872
8,23-05-2021,884.080211759163,242410496195.4181,31732166684.712044,19052.946333333333,161826.82487838776,10872
9,22-05-2021,1074.7128323435975,291670729863.168,50544504325.319374,301794.977,204736.82510431155,10872
10,21-05-2021,1245.2057105689585,340387824243.4064,70455858510.80049,299045.454,203239.82311977714,10872
11,20-05-2021,997.882765019759,276773098483.5509,81515162817.49178,295634.0756666667,189767.8235088943,10872
12,19-05-2021,1572.5659338450173,430106804171.8257,57735048694.890076,291432.5070769231,161833.82465944812,10872
13,18-05-2021,1314.3692613780938,361938143515.8043,59038116997.36173,288035.114,159789.82418734708,10872
14,17-05-2021,1319.720106056316,358319674106.6049,62932969950.2829,281005.273,159309.82429121458,10872
15,16-05-2021,1215.7875251482212,330082374816.27625,17271110518.172756,16895.43015384615,159310.82573632538,10872
16,15-05-2021,1199.2657237668643,326989758306.64465,15009148234.217842,266701.43623076926,147019.82584269665,15641
17,14-05-2021,1149.1058530278594,310172989316.3564,35604187389.84927,262228.10533333337,146795.8260105448,15641
18,13-05-2021,1222.7564632689807,348674066702.1104,38901533040.28554,256926.21761538464,143106.82711267605,15641
19,12-05-2021,1249.2417792888564,341210145257.0706,16422523050.86583,248254.66666666666,142353.82711267605,15641
20,11-05-2021,1192.0245621477927,325313127415.5145,16946504739.26596,241456.34866666666,141038.82699083863,15641
21,10-05-2021,1231.7553877498272,335174728115.936,17531513206.132156,237756.66666666666,137720.82608695654,15641
22,09-05-2021,1266.3885895064461,346028193394.1502,15662194671.407635,14824.090076923076,137532.82725663716,15641
23,08-05-2021,1193.9423348720618,325334415896.61053,17409992421.36175,231327.05061538465,139970.8284296349,15641
24,07-05-2021,1214.6084743248828,330771315592.6764,13887146487.651966,227963.12246153844,138886.82835820894,15641
25,06-05-2021,1252.2030566642425,340201286449.23773,17655942205.294277,224926.53833333333,136652.8291206835,15641
26,05-05-2021,1191.767162315662,326416788364.3877,23749655163.960594,222058.10533333337,111522.82870370371,15641
27,04-05-2021,1287.1219392050366,351793411706.9699,21066212438.532776,218571.21153846153,87372.82822523164,15641
28,03-05-2021,1307.666320163542,354717056903.62354,20513128171.209713,215227.37853846152,83976.82940756602,15641
29,02-05-2021,1383.6966557103678,376287090648.5507,30865082217.439213,13151.416666666668,83978.8293466619,15641
30,01-05-2021,1197.9134493172435,323895686522.5168,19934468545.422646,207151.6093076923,89329.82964285715,15641
31,30-04-2021,1187.061144539513,321171622607.52716,28087641515.635303,203004.3076923077,57697.83053271362,23689
32,29-04-2021,1254.348961147999,338758835901.9107,36997394747.86454,198846.81133333332,53915.83041144902,23689
33,28-04-2021,1206.5548361816855,327481419357.4062,24831579541.333397,194697.90899999999,51393.83094555874,23689
34,27-04-2021,1238.2970099838103,335446683261.8652,50333034961.195816,190182.5,47578.831299353915,23689
35,26-04-2021,1336.7645508979635,363176304354.2387,59345986753.80628,185858.61538461538,46831.8306364617,23689
36,25-04-2021,1142.7809965096671,311942521007.31976,42315420277.4298,10283.5,52554.83087441526,23689
37,24-04-2021,1039.6224689161027,280740423014.5057,60886192718.510735,176346.546,52507.83207207207,23689
38,23-04-2021,1096.0712895067109,296079149146.15857,45460640458.461,173796.6983846154,51685.83207207207,23689
39,22-04-2021,904.6198449018735,247493158195.67355,25658573177.87747,171702.26923076922,49743.83201153569,23689
40,21-04-2021,888.5478894559111,242238453776.62946,27539055700.734093,169019.64466666663,49732.831651045424,23689
41,20-04-2021,893.8052613915029,243477865811.1444,32080757974.216705,166998.18523076925,45833.83243048032,23689
42,19-04-2021,916.7962560338794,249900001492.17444,41170751714.90192,166450.63461538462,41675.8280854144,23689
43,18-04-2021,706.9728422389572,191176660057.3887,7343479707.11326,8242.984666666667,41402.828385228095,23689
44,17-04-2021,714.5846118460853,193561265860.61365,8318889101.831617,163117.5,55370.828385228095,23689
45,16-04-2021,787.3519860550887,212488795096.37204,7580699936.355598,161964.90000000002,51730.82832307135,23689
46,15-04-2021,750.6676092467275,201875193027.25113,12069496302.4323,160710.77272727274,50882.829462989845,29632
47,14-04-2021,783.599834226596,212529823280.61707,9312925255.959848,159370.03833333333,47861.82848837209,29632
48,13-04-2021,810.3063859982094,217850695355.9808,11027219916.813122,157963.341,47404.8284260269,29632
49,12-04-2021,793.2237344434992,213980338761.85217,8378017991.210021,156868.40999999997,41859.8285402257,29632
50,11-04-2021,763.5605579627459,206118964804.08463,9677785322.313866,7570.59,38939.82877959927,29632
51,10-04-2021,790.6469267252684,213686883739.76324,10009586626.101477,153539.705,83305.82871720116,29632
52,09-04-2021,767.507837015835,205561187697.59976,12667834859.624369,152202.42433333336,82805.82835276968,29632
53,08-04-2021,756.620824502935,205484833335.32312,20261295089.43829,150769.67307692306,82670.82865475756,29632
