Length Training Data: 7942
Length Testing Data: 128
Epoch: 1 / 10 | Training Loss: 4.7486 | eta: 0.004995
Epoch: 1 / 10 | Training Loss: 1.4538 | eta: 0.004990
Epoch: 1 / 10 | Training Loss: 2.3770 | eta: 0.004985
Epoch: 1 / 10 | Training Loss: 1.3848 | eta: 0.004980
Epoch: 1 / 10 | Training Loss: 1.7634 | eta: 0.004975
Epoch: 1 / 10 | Training Loss: 1.3592 | eta: 0.004970
Epoch: 1 / 10 | Training Loss: 1.4914 | eta: 0.004965
Epoch: 1 / 10 | Training Loss: 1.5669 | eta: 0.004960
Epoch: 1 / 10 | Training Loss: 1.3510 | eta: 0.004955
Epoch: 1 / 10 | Training Loss: 1.3842 | eta: 0.004950
Epoch: 1 / 10 | Training Loss: 1.5282 | eta: 0.004945
Epoch: 1 / 10 | Training Loss: 1.4489 | eta: 0.004940
Epoch: 1 / 10 | Training Loss: 1.6376 | eta: 0.004935
Epoch: 1 / 10 | Training Loss: 1.3888 | eta: 0.004930
Epoch: 1 / 10 | Training Loss: 1.4123 | eta: 0.004926
Epoch: 1 / 10 | Training Loss: 1.5025 | eta: 0.004921
Epoch: 1 / 10 | Training Loss: 1.3262 | eta: 0.004916
Epoch: 1 / 10 | Training Loss: 1.4314 | eta: 0.004911
Epoch: 1 / 10 | Training Loss: 1.3342 | eta: 0.004906
Epoch: 1 / 10 | Training Loss: 1.4454 | eta: 0.004901
Epoch: 1 / 10 | Training Loss: 1.4006 | eta: 0.004896
Epoch: 1 / 10 | Training Loss: 1.5245 | eta: 0.004891
Epoch: 1 / 10 | Training Loss: 1.2626 | eta: 0.004886
Epoch: 1 / 10 | Training Loss: 1.4292 | eta: 0.004881
Epoch: 1 / 10 | Training Loss: 1.2809 | eta: 0.004877
Epoch: 1 / 10 | Training Loss: 1.4089 | eta: 0.004872
Epoch: 1 / 10 | Training Loss: 1.6290 | eta: 0.004867
Epoch: 1 / 10 | Training Loss: 1.4149 | eta: 0.004862
Epoch: 1 / 10 | Training Loss: 1.3566 | eta: 0.004857
Epoch: 1 / 10 | Training Loss: 1.2924 | eta: 0.004852
Epoch: 1 / 10 | Training Loss: 1.4011 | eta: 0.004847
Epoch: 1 / 10 | Training Loss: 1.3450 | eta: 0.004843
Epoch: 1 / 10 | Training Loss: 1.3428 | eta: 0.004838
Epoch: 1 / 10 | Training Loss: 1.5770 | eta: 0.004833
Epoch: 1 / 10 | Training Loss: 1.7581 | eta: 0.004828
Epoch: 1 / 10 | Training Loss: 1.3465 | eta: 0.004823
Epoch: 1 / 10 | Training Loss: 1.4638 | eta: 0.004818
Epoch: 1 / 10 | Training Loss: 1.3894 | eta: 0.004814
Epoch: 1 / 10 | Training Loss: 2.3714 | eta: 0.004809
Epoch: 1 / 10 | Training Loss: 1.4724 | eta: 0.004804
Epoch: 1 / 10 | Training Loss: 1.3733 | eta: 0.004799
Epoch: 1 / 10 | Training Loss: 1.4145 | eta: 0.004794
Epoch: 1 / 10 | Training Loss: 1.3591 | eta: 0.004790
Epoch: 1 / 10 | Training Loss: 1.4191 | eta: 0.004785
Epoch: 1 / 10 | Training Loss: 1.3818 | eta: 0.004780
Epoch: 1 / 10 | Training Loss: 1.3695 | eta: 0.004775
Epoch: 1 / 10 | Training Loss: 1.3971 | eta: 0.004770
Epoch: 1 / 10 | Training Loss: 1.3632 | eta: 0.004766
Epoch: 1 / 10 | Training Loss: 1.3151 | eta: 0.004761
Epoch: 1 / 10 | Training Loss: 1.2845 | eta: 0.004756
Epoch: 1 / 10 | Training Loss: 1.2665 | eta: 0.004751
Epoch: 1 / 10 | Training Loss: 1.3539 | eta: 0.004747
Epoch: 1 / 10 | Training Loss: 1.4265 | eta: 0.004742
Epoch: 1 / 10 | Training Loss: 1.4021 | eta: 0.004737
Epoch: 1 / 10 | Training Loss: 1.3084 | eta: 0.004732
Epoch: 1 / 10 | Training Loss: 1.4473 | eta: 0.004728
Epoch: 1 / 10 | Training Loss: 1.2991 | eta: 0.004723
