Length Training Data: 16972
Length Testing Data: 128
Epoch: 1 / 10 | Training Loss: 1.6238 | eta: 0.000999
Epoch: 1 / 10 | Training Loss: 1.6150 | eta: 0.000998
Epoch: 1 / 10 | Training Loss: 1.6214 | eta: 0.000997
Epoch: 1 / 10 | Training Loss: 1.6276 | eta: 0.000996
Epoch: 1 / 10 | Training Loss: 1.6146 | eta: 0.000995
Epoch: 1 / 10 | Training Loss: 1.6082 | eta: 0.000994
Epoch: 1 / 10 | Training Loss: 1.5984 | eta: 0.000993
Epoch: 1 / 10 | Training Loss: 1.6308 | eta: 0.000992
Epoch: 1 / 10 | Training Loss: 1.6106 | eta: 0.000991
Epoch: 1 / 10 | Training Loss: 1.6119 | eta: 0.000990
Epoch: 1 / 10 | Training Loss: 1.6095 | eta: 0.000989
Epoch: 1 / 10 | Training Loss: 1.5939 | eta: 0.000988
Epoch: 1 / 10 | Training Loss: 1.6139 | eta: 0.000987
Epoch: 1 / 10 | Training Loss: 1.6107 | eta: 0.000986
Epoch: 1 / 10 | Training Loss: 1.6027 | eta: 0.000985
Epoch: 1 / 10 | Training Loss: 1.6135 | eta: 0.000984
Epoch: 1 / 10 | Training Loss: 1.6002 | eta: 0.000983
Epoch: 1 / 10 | Training Loss: 1.6079 | eta: 0.000982
Epoch: 1 / 10 | Training Loss: 1.6026 | eta: 0.000981
Epoch: 1 / 10 | Training Loss: 1.6105 | eta: 0.000980
Epoch: 1 / 10 | Training Loss: 1.6116 | eta: 0.000979
Epoch: 1 / 10 | Training Loss: 1.5993 | eta: 0.000978
Epoch: 1 / 10 | Training Loss: 1.6384 | eta: 0.000977
Epoch: 1 / 10 | Training Loss: 1.5659 | eta: 0.000976
Epoch: 1 / 10 | Training Loss: 1.6713 | eta: 0.000975
Epoch: 1 / 10 | Training Loss: 1.5074 | eta: 0.000974
Epoch: 1 / 10 | Training Loss: 1.5164 | eta: 0.000973
Epoch: 1 / 10 | Training Loss: 1.5343 | eta: 0.000972
Epoch: 1 / 10 | Training Loss: 1.4572 | eta: 0.000971
Epoch: 1 / 10 | Training Loss: 1.2921 | eta: 0.000970
Epoch: 1 / 10 | Training Loss: 1.3544 | eta: 0.000969
Epoch: 1 / 10 | Training Loss: 1.2459 | eta: 0.000969
Epoch: 1 / 10 | Training Loss: 1.5075 | eta: 0.000968
Epoch: 1 / 10 | Training Loss: 1.3472 | eta: 0.000967
Epoch: 1 / 10 | Training Loss: 1.3736 | eta: 0.000966
Epoch: 1 / 10 | Training Loss: 1.2671 | eta: 0.000965
Epoch: 1 / 10 | Training Loss: 1.3317 | eta: 0.000964
Epoch: 1 / 10 | Training Loss: 1.3404 | eta: 0.000963
Epoch: 1 / 10 | Training Loss: 1.4807 | eta: 0.000962
Epoch: 1 / 10 | Training Loss: 1.3171 | eta: 0.000961
Epoch: 1 / 10 | Training Loss: 1.1729 | eta: 0.000960
Epoch: 1 / 10 | Training Loss: 1.2524 | eta: 0.000959
Epoch: 1 / 10 | Training Loss: 1.2214 | eta: 0.000958
Epoch: 1 / 10 | Training Loss: 1.2437 | eta: 0.000957
Epoch: 1 / 10 | Training Loss: 1.3043 | eta: 0.000956
Epoch: 1 / 10 | Training Loss: 1.2393 | eta: 0.000955
Epoch: 1 / 10 | Training Loss: 1.2010 | eta: 0.000954
Epoch: 1 / 10 | Training Loss: 1.1724 | eta: 0.000953
Epoch: 1 / 10 | Training Loss: 1.1019 | eta: 0.000952
Epoch: 1 / 10 | Training Loss: 1.1024 | eta: 0.000951
Epoch: 1 / 10 | Training Loss: 1.3046 | eta: 0.000950
Epoch: 1 / 10 | Training Loss: 1.1055 | eta: 0.000949
Epoch: 1 / 10 | Training Loss: 1.2567 | eta: 0.000948
Epoch: 1 / 10 | Training Loss: 1.1715 | eta: 0.000947
Epoch: 1 / 10 | Training Loss: 1.2168 | eta: 0.000946
Epoch: 1 / 10 | Training Loss: 1.1152 | eta: 0.000946
Epoch: 1 / 10 | Training Loss: 1.1921 | eta: 0.000945
Epoch: 1 / 10 | Training Loss: 1.2924 | eta: 0.000944
Epoch: 1 / 10 | Training Loss: 1.2559 | eta: 0.000943
Epoch: 1 / 10 | Training Loss: 1.2402 | eta: 0.000942
Epoch: 1 / 10 | Training Loss: 1.0362 | eta: 0.000941
Epoch: 1 / 10 | Training Loss: 1.2380 | eta: 0.000940
Epoch: 1 / 10 | Training Loss: 1.2130 | eta: 0.000939
Epoch: 1 / 10 | Training Loss: 1.2912 | eta: 0.000938
Epoch: 1 / 10 | Training Loss: 1.2096 | eta: 0.000937
Epoch: 1 / 10 | Training Loss: 1.0957 | eta: 0.000936
Epoch: 1 / 10 | Training Loss: 1.1327 | eta: 0.000935
Epoch: 1 / 10 | Training Loss: 1.1844 | eta: 0.000934
Epoch: 1 / 10 | Training Loss: 1.1043 | eta: 0.000933
Epoch: 1 / 10 | Training Loss: 1.0701 | eta: 0.000932
Epoch: 1 / 10 | Training Loss: 1.1308 | eta: 0.000931
Epoch: 1 / 10 | Training Loss: 1.2451 | eta: 0.000931
Epoch: 1 / 10 | Training Loss: 1.1398 | eta: 0.000930
Epoch: 1 / 10 | Training Loss: 1.1721 | eta: 0.000929
Epoch: 1 / 10 | Training Loss: 1.1390 | eta: 0.000928
Epoch: 1 / 10 | Training Loss: 1.0910 | eta: 0.000927
Epoch: 1 / 10 | Training Loss: 1.2211 | eta: 0.000926
Epoch: 1 / 10 | Training Loss: 1.1703 | eta: 0.000925
Epoch: 1 / 10 | Training Loss: 1.1350 | eta: 0.000924
Epoch: 1 / 10 | Training Loss: 1.1668 | eta: 0.000923
Epoch: 1 / 10 | Training Loss: 1.2071 | eta: 0.000922
Epoch: 1 / 10 | Training Loss: 0.9832 | eta: 0.000921
Epoch: 1 / 10 | Training Loss: 1.2550 | eta: 0.000920
Epoch: 1 / 10 | Training Loss: 1.0874 | eta: 0.000919
Epoch: 1 / 10 | Training Loss: 1.3329 | eta: 0.000919
Epoch: 1 / 10 | Training Loss: 1.1949 | eta: 0.000918
Epoch: 1 / 10 | Training Loss: 1.1281 | eta: 0.000917
Epoch: 1 / 10 | Training Loss: 1.0446 | eta: 0.000916
Epoch: 1 / 10 | Training Loss: 0.9541 | eta: 0.000915
Epoch: 1 / 10 | Training Loss: 1.0190 | eta: 0.000914
Epoch: 1 / 10 | Training Loss: 0.9267 | eta: 0.000913
Epoch: 1 / 10 | Training Loss: 1.2767 | eta: 0.000912
Epoch: 1 / 10 | Training Loss: 1.0180 | eta: 0.000911
Epoch: 1 / 10 | Training Loss: 1.2746 | eta: 0.000910
Epoch: 1 / 10 | Training Loss: 1.0914 | eta: 0.000909
Epoch: 1 / 10 | Training Loss: 1.0919 | eta: 0.000908
Epoch: 1 / 10 | Training Loss: 1.0525 | eta: 0.000908
Epoch: 1 / 10 | Training Loss: 0.9530 | eta: 0.000907
Epoch: 1 / 10 | Training Loss: 1.2040 | eta: 0.000906
Epoch: 1 / 10 | Training Loss: 1.1046 | eta: 0.000905
Epoch: 1 / 10 | Training Loss: 1.0162 | eta: 0.000904
Epoch: 1 / 10 | Training Loss: 1.2981 | eta: 0.000903
Epoch: 1 / 10 | Training Loss: 0.9874 | eta: 0.000902
Epoch: 1 / 10 | Training Loss: 1.0151 | eta: 0.000901
Epoch: 1 / 10 | Training Loss: 1.0574 | eta: 0.000900
Epoch: 1 / 10 | Training Loss: 1.1469 | eta: 0.000899
Epoch: 1 / 10 | Training Loss: 1.1079 | eta: 0.000899
Epoch: 1 / 10 | Training Loss: 1.1110 | eta: 0.000898
