Length Training Data: 33222
Length Testing Data: 128
Epoch: 1 / 10 | Training Loss: 1.5768 | eta: 0.000990
Epoch: 1 / 10 | Training Loss: 1.4106 | eta: 0.000980
Epoch: 1 / 10 | Training Loss: 1.2845 | eta: 0.000970
Epoch: 1 / 10 | Training Loss: 1.2424 | eta: 0.000961
Epoch: 1 / 10 | Training Loss: 1.1871 | eta: 0.000951
Epoch: 1 / 10 | Training Loss: 1.1753 | eta: 0.000942
Epoch: 1 / 10 | Training Loss: 1.1897 | eta: 0.000932
Epoch: 1 / 10 | Training Loss: 1.1706 | eta: 0.000923
Epoch: 1 / 10 | Training Loss: 1.1200 | eta: 0.000914
Epoch: 1 / 10 | Training Loss: 1.0678 | eta: 0.000905
Epoch: 1 / 10 | Training Loss: 1.0700 | eta: 0.000896
Epoch: 1 / 10 | Training Loss: 0.9374 | eta: 0.000887
Epoch: 1 / 10 | Training Loss: 0.9798 | eta: 0.000878
Epoch: 1 / 10 | Training Loss: 0.9731 | eta: 0.000869
Epoch: 1 / 10 | Training Loss: 0.9884 | eta: 0.000861
Epoch: 1 / 10 | Training Loss: 0.9562 | eta: 0.000852
Epoch: 1 / 10 | Training Loss: 0.9365 | eta: 0.000844
Epoch: 1 / 10 | Training Loss: 0.8753 | eta: 0.000835
Epoch: 1 / 10 | Training Loss: 0.9139 | eta: 0.000827
Epoch: 1 / 10 | Training Loss: 0.8564 | eta: 0.000819
Epoch: 1 / 10 | Training Loss: 0.8804 | eta: 0.000811
Epoch: 1 / 10 | Training Loss: 0.8153 | eta: 0.000803
Epoch: 1 / 10 | Training Loss: 0.8294 | eta: 0.000795
Epoch: 1 / 10 | Training Loss: 0.8625 | eta: 0.000787
Epoch: 1 / 10 | Training Loss: 0.8830 | eta: 0.000779
Epoch: 1 / 10 | Training Loss: 0.8357 | eta: 0.000771
Epoch: 1 / 10 | Training Loss: 0.7711 | eta: 0.000763
Epoch: 1 / 10 | Training Loss: 0.9225 | eta: 0.000756
Epoch: 1 / 10 | Training Loss: 0.7484 | eta: 0.000748
Epoch: 1 / 10 | Training Loss: 0.8254 | eta: 0.000741
Epoch: 1 / 10 | Training Loss: 0.8038 | eta: 0.000733
Epoch: 1 / 10 | Training Loss: 0.9011 | eta: 0.000726
Epoch: 1 / 10 | Training Loss: 0.8170 | eta: 0.000719
