NN:
only 17 features

Length Training Data: 33222
Length Testing Data: 128
Epoch: 1 / 10 | Training Loss: 1.6203 | eta: 0.000990
Epoch: 1 / 10 | Training Loss: 1.5793 | eta: 0.000980
Epoch: 1 / 10 | Training Loss: 1.4644 | eta: 0.000970
Epoch: 1 / 10 | Training Loss: 1.3343 | eta: 0.000961
Epoch: 1 / 10 | Training Loss: 1.3011 | eta: 0.000951
Epoch: 1 / 10 | Training Loss: 1.2609 | eta: 0.000942
Epoch: 1 / 10 | Training Loss: 1.2278 | eta: 0.000932
Epoch: 1 / 10 | Training Loss: 1.1608 | eta: 0.000923
Epoch: 1 / 10 | Training Loss: 1.1686 | eta: 0.000914
Epoch: 1 / 10 | Training Loss: 1.2356 | eta: 0.000905
Epoch: 1 / 10 | Training Loss: 1.1560 | eta: 0.000896
Epoch: 1 / 10 | Training Loss: 1.1687 | eta: 0.000887
Epoch: 1 / 10 | Training Loss: 1.1309 | eta: 0.000878
Epoch: 1 / 10 | Training Loss: 1.1579 | eta: 0.000869
Epoch: 1 / 10 | Training Loss: 1.1584 | eta: 0.000861
Epoch: 1 / 10 | Training Loss: 1.1495 | eta: 0.000852
Epoch: 1 / 10 | Training Loss: 1.0236 | eta: 0.000844
Epoch: 1 / 10 | Training Loss: 1.0302 | eta: 0.000835
Epoch: 1 / 10 | Training Loss: 0.9896 | eta: 0.000827
Epoch: 1 / 10 | Training Loss: 1.0390 | eta: 0.000819
Epoch: 1 / 10 | Training Loss: 0.9417 | eta: 0.000811
Epoch: 1 / 10 | Training Loss: 1.0000 | eta: 0.000803
Epoch: 1 / 10 | Training Loss: 0.9359 | eta: 0.000795
Epoch: 1 / 10 | Training Loss: 0.9130 | eta: 0.000787
Epoch: 1 / 10 | Training Loss: 0.9522 | eta: 0.000779
Epoch: 1 / 10 | Training Loss: 0.9255 | eta: 0.000771
Epoch: 1 / 10 | Training Loss: 0.9587 | eta: 0.000763
Epoch: 1 / 10 | Training Loss: 0.9300 | eta: 0.000756
Epoch: 1 / 10 | Training Loss: 0.9092 | eta: 0.000748
Epoch: 1 / 10 | Training Loss: 0.9856 | eta: 0.000741
Epoch: 1 / 10 | Training Loss: 0.9015 | eta: 0.000733
Epoch: 1 / 10 | Training Loss: 1.0003 | eta: 0.000726
Epoch: 1 / 10 | Training Loss: 0.8368 | eta: 0.000719
Time elapsed by epoch 1: 15.033333333333333 mins.
Epoch: 2 / 10 | Training Loss: 1.0585 | eta: 0.000710
Epoch: 2 / 10 | Training Loss: 1.0310 | eta: 0.000703
Epoch: 2 / 10 | Training Loss: 0.9065 | eta: 0.000696
Epoch: 2 / 10 | Training Loss: 0.9696 | eta: 0.000689
Epoch: 2 / 10 | Training Loss: 0.8551 | eta: 0.000682
Epoch: 2 / 10 | Training Loss: 0.9031 | eta: 0.000676
Epoch: 2 / 10 | Training Loss: 0.8410 | eta: 0.000669
Epoch: 2 / 10 | Training Loss: 1.0623 | eta: 0.000662
Epoch: 2 / 10 | Training Loss: 1.0086 | eta: 0.000656
Epoch: 2 / 10 | Training Loss: 0.8869 | eta: 0.000649
Epoch: 2 / 10 | Training Loss: 0.8881 | eta: 0.000643
Epoch: 2 / 10 | Training Loss: 0.8202 | eta: 0.000636
Epoch: 2 / 10 | Training Loss: 0.8357 | eta: 0.000630
Epoch: 2 / 10 | Training Loss: 0.9160 | eta: 0.000624
Epoch: 2 / 10 | Training Loss: 0.8668 | eta: 0.000617
Epoch: 2 / 10 | Training Loss: 0.9096 | eta: 0.000611
Epoch: 2 / 10 | Training Loss: 0.9485 | eta: 0.000605
Epoch: 2 / 10 | Training Loss: 0.9034 | eta: 0.000599
Epoch: 2 / 10 | Training Loss: 0.8967 | eta: 0.000593
Epoch: 2 / 10 | Training Loss: 0.8750 | eta: 0.000587
Epoch: 2 / 10 | Training Loss: 0.8199 | eta: 0.000581
Epoch: 2 / 10 | Training Loss: 0.7803 | eta: 0.000576
Epoch: 2 / 10 | Training Loss: 0.9092 | eta: 0.000570
Epoch: 2 / 10 | Training Loss: 0.8884 | eta: 0.000564
Epoch: 2 / 10 | Training Loss: 0.8490 | eta: 0.000559
Epoch: 2 / 10 | Training Loss: 0.7618 | eta: 0.000553
Epoch: 2 / 10 | Training Loss: 1.0005 | eta: 0.000548
Epoch: 2 / 10 | Training Loss: 0.8647 | eta: 0.000542
Epoch: 2 / 10 | Training Loss: 0.8099 | eta: 0.000537
Epoch: 2 / 10 | Training Loss: 0.8489 | eta: 0.000531
Epoch: 2 / 10 | Training Loss: 0.9467 | eta: 0.000526
Epoch: 2 / 10 | Training Loss: 0.7517 | eta: 0.000521
Epoch: 2 / 10 | Training Loss: 0.8435 | eta: 0.000516
